Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,S,EDST,314, ,102,"SCL ISS IN EDUC","",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,314, ,994,"SCL ISS IN EDUC","",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,314, ,OVERALL,"SCL ISS IN EDUC"," ",71,,,,,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,425, ,927,"EDUCTNL ANTHPLGY","",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,425, ,OVERALL,"EDUCTNL ANTHPLGY"," ",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,426, ,922,"HISTORY OF EDUC","",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,426, ,925,"HISTORY OF EDUC","",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,426, ,964,"HISTORY OF EDUC","",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,426, ,971,"HISTORY OF EDUC","",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,426, ,OVERALL,"HISTORY OF EDUC"," ",132,,,,,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,427, ,923,"PHILOSOPHY OF ED","",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,427, ,970,"PHILOSOPHY OF ED","",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,427, ,972,"PHILOSOPHY OF ED","",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,427, ,OVERALL,"PHILOSOPHY OF ED"," ",82,,,,,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,428, ,920,"SOCL FNDTN OF ED","",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,428, ,924,"SOCL FNDTN OF ED","",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,428, ,926,"SOCL FNDTN OF ED","",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,428, ,974,"SOCL FNDTN OF ED","",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,428, ,975,"SOCL FNDTN OF ED","",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,428, ,978,"SOCL FNDTN OF ED","",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,EDST,428, ,97C,"SOCL FNDTN OF ED","",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
