Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,S,EECE,253, ,941,"CIRCUIT ANLY II","",65,64.14,18.77,100,34,50,13,1,0,1,0,0,0,5,8,13,12,5,3,5,3,2,2,5,4,9
UBC,2006,S,EECE,253, ,OVERALL,"CIRCUIT ANLY II"," ",65,64.14,18.77,100,34,50,13,1,0,1,0,0,0,5,8,13,12,5,3,5,3,2,2,5,4,9
UBC,2006,S,EECE,254, ,941,"ELEC CIRCUITS I","",68,60.44,11.85,85,30,57,7,2,0,2,0,0,0,3,4,7,13,11,10,6,7,3,2,2,3,0
UBC,2006,S,EECE,254, ,OVERALL,"ELEC CIRCUITS I"," ",68,60.44,11.85,85,30,57,7,2,0,2,0,0,0,3,4,7,13,11,10,6,7,3,2,2,3,0
UBC,2006,S,EECE,353, ,941,"DIGITL SYS DSGN","",11,77.91,15.13,97,48,10,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2,3,2
UBC,2006,S,EECE,353, ,OVERALL,"DIGITL SYS DSGN"," ",11,77.91,15.13,97,48,10,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,2,3,2
UBC,2006,S,EECE,359, ,941,"SIGNALS & COMMUN","",70,63.39,16.37,99,30,52,9,5,0,4,0,0,0,5,4,9,7,11,4,4,6,6,2,4,1,7
UBC,2006,S,EECE,359, ,OVERALL,"SIGNALS & COMMUN"," ",70,63.39,16.37,99,30,52,9,5,0,4,0,0,0,5,4,9,7,11,4,4,6,6,2,4,1,7
UBC,2006,S,EECE,360, ,941,"SYSTMS & CONTROL","",49,67.63,13.59,90,36,40,3,2,0,4,0,0,0,2,1,3,5,4,3,5,4,6,2,7,2,2
UBC,2006,S,EECE,360, ,OVERALL,"SYSTMS & CONTROL"," ",49,67.63,13.59,90,36,40,3,2,0,4,0,0,0,2,1,3,5,4,3,5,4,6,2,7,2,2
UBC,2006,S,EECE,375, ,941,"INST DESG LAB","",7,89.5,4.46,97,85,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
UBC,2006,S,EECE,375, ,OVERALL,"INST DESG LAB"," ",7,89.5,4.46,97,85,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
UBC,2006,S,EECE,379, ,941,"DSGN DGTL&MCR SY","",55,70.39,14.82,100,42,47,2,3,0,3,0,0,0,0,2,2,5,4,7,6,7,3,3,0,6,6
UBC,2006,S,EECE,379, ,OVERALL,"DSGN DGTL&MCR SY"," ",58,70.39,14.82,100,42,47,2,6,0,3,0,0,0,0,2,2,5,4,7,6,7,3,3,0,6,6
UBC,2006,S,EECE,450, ,941,"ECON ANLYS PROJ","",84,71.68,14.71,96,28,74,8,2,0,0,0,0,1,2,5,8,1,6,7,7,5,9,7,13,14,5
UBC,2006,S,EECE,450, ,OVERALL,"ECON ANLYS PROJ"," ",84,71.68,14.71,96,28,74,8,2,0,0,0,0,1,2,5,8,1,6,7,7,5,9,7,13,14,5
UBC,2006,S,EECE,456, ,941,"COMPUTER COMM","",54,71.4,12.02,97,42,50,2,2,0,0,0,0,0,0,2,2,1,4,8,6,5,5,8,6,4,3
UBC,2006,S,EECE,456, ,OVERALL,"COMPUTER COMM"," ",54,71.4,12.02,97,42,50,2,2,0,0,0,0,0,0,2,2,1,4,8,6,5,5,8,6,4,3
UBC,2006,S,EECE,466, ,941,"DIG SIG PROCESS","",34,76,9.55,97,58,34,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,6,2,5,8,1
UBC,2006,S,EECE,466, ,OVERALL,"DIG SIG PROCESS"," ",34,76,9.55,97,58,34,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,6,2,5,8,1
UBC,2006,S,EECE,474, ,941,"INST DESIGN LAB","",47,85.07,12.54,98,38,42,3,2,0,0,0,0,0,1,2,3,0,0,0,0,0,1,0,4,24,13
