Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,S,PETE,320, ,951,"C&I PETE: ELEM","",22,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,PETE,320, ,OVERALL,"C&I PETE: ELEM"," ",22,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,PETE,380, ,951,"ADVNTR ACT OUTDR","",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,PETE,380, ,952,"ADVNTR ACT OUTDR","",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,PETE,380, ,994,"ADVNTR ACT OUTDR","",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,PETE,380, ,OVERALL,"ADVNTR ACT OUTDR"," ",85,,,,,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,PETE,480, ,951,"ADV MTHD OUTDOOR","",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,PETE,480, ,OVERALL,"ADV MTHD OUTDOOR"," ",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,PETE,585, ,951,"HEALTH PROMO","",7,85.71,1.7,88,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
UBC,2006,S,PETE,585, ,OVERALL,"HEALTH PROMO"," ",7,85.71,1.7,88,83,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0
