Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,S,STAT,200, ,921,"ELEM STAT APPLIC","",88,83.31,10.34,99,55,87,0,0,0,1,0,0,0,0,0,0,0,2,2,6,5,1,8,12,21,30
UBC,2006,S,STAT,200, ,OVERALL,"ELEM STAT APPLIC"," ",88,83.31,10.34,99,55,87,0,0,0,1,0,0,0,0,0,0,0,2,2,6,5,1,8,12,21,30
UBC,2006,S,STAT,241, ,921,"INTRO PROB&STATS","",11,70.2,15.27,97,53,10,0,1,0,0,0,0,0,0,0,0,2,0,3,1,0,1,1,0,0,2
UBC,2006,S,STAT,241, ,OVERALL,"INTRO PROB&STATS"," ",11,70.2,15.27,97,53,10,0,1,0,0,0,0,0,0,0,0,2,0,3,1,0,1,1,0,0,2
UBC,2006,S,STAT,251, ,921,"ELEM STATISTICS","",64,76.19,11.72,98,44,60,2,2,0,0,0,0,0,0,2,2,1,1,6,2,8,6,12,10,8,6
UBC,2006,S,STAT,251, ,922,"ELEM STATISTICS","",52,71.49,15.49,94,20,48,3,1,0,0,0,0,1,0,2,3,5,3,4,4,5,3,6,8,5,5
UBC,2006,S,STAT,251, ,OVERALL,"ELEM STATISTICS"," ",119,74.07,13.69,98,20,108,5,6,0,0,0,0,1,0,4,5,6,4,10,6,13,9,18,18,13,11
UBC,2006,S,STAT,549,A,941,"THESIS FOR MSTRS","",4,95,0,95,95,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBC,2006,S,STAT,549, ,OVERALL,"THESIS FOR MSTRS"," ",4,95,0,95,95,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBC,2006,S,STAT,649, ,941,"PHD THESIS","",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,S,STAT,649, ,OVERALL,"PHD THESIS"," ",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
