Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,BAIT,501, ,801,"SRV INFO TECH AP","Wand, Yair",13,77.54,6.78,86,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,4,0
UBC,2006,W,BAIT,501, ,OVERALL,"SRV INFO TECH AP"," ",13,77.54,6.78,86,68,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,4,0
UBC,2006,W,BAIT,506, ,001,"BUS MDL INFO TEC","Burton-Jones, Andrew",18,80.72,1.96,84,78,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0
UBC,2006,W,BAIT,506, ,OVERALL,"BUS MDL INFO TEC"," ",18,80.72,1.96,84,78,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,0,0
UBC,2006,W,BAIT,510, ,001,"MNG BUS INF TECH","Cavusoglu, Hasan",15,85.07,4.22,90,76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,3
UBC,2006,W,BAIT,510, ,OVERALL,"MNG BUS INF TECH"," ",15,85.07,4.22,90,76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,3
UBC,2006,W,BAIT,511, ,001,"MNG INFO TECH","Cavusoglu, Hasan",35,82.34,4.78,90,72,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,11,12,5
UBC,2006,W,BAIT,511, ,303,"MNG INFO TECH","Cavusoglu, Hasan",17,84.29,3.85,90,80,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4
UBC,2006,W,BAIT,511, ,OVERALL,"MNG INFO TECH"," ",52,82.98,4.56,90,72,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,21,15,9
UBC,2006,W,BAIT,512, ,001,"CTRL&SCR INF RES","Burton-Jones, Andrew",6,80.67,4.97,85,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0
UBC,2006,W,BAIT,512, ,002,"CTRL&SCR INF RES","Burton-Jones, Andrew",8,79.75,3.11,86,77,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0
UBC,2006,W,BAIT,512, ,OVERALL,"CTRL&SCR INF RES"," ",14,80.14,3.86,86,72,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,4,3,0
UBC,2006,W,BAIT,513, ,001,"IMPL E-BUS ORGZT","Cenfetelli, Ronald Timothy",37,83,4.32,90,76,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,15,4
UBC,2006,W,BAIT,513, ,OVERALL,"IMPL E-BUS ORGZT"," ",37,83,4.32,90,76,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,15,4
UBC,2006,W,BAIT,580,A,001,"TPCS INFO TECH","Woo, Carson C",10,85.8,5.77,92,71,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3
UBC,2006,W,BAIT,580, ,OVERALL,"TPCS INFO TECH"," ",20,86.75,5.52,97,71,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,6
UBC,2006,W,BAIT,580,B,001,"TPCS INFO TECH","Wand, Yair",10,87.7,5.4,97,82,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
UBC,2006,W,BAIT,580, ,OVERALL,"TPCS INFO TECH"," ",20,86.75,5.52,97,71,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,6
