Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,CONS,101, ,101,"INTRO TO CONSERV","Arcese, Peter",95,80.05,14.27,100,29,90,3,2,0,0,0,0,1,1,1,3,1,4,2,4,7,8,13,9,19,23
UBC,2006,W,CONS,101, ,OVERALL,"INTRO TO CONSERV"," ",95,80.05,14.27,100,29,90,3,2,0,0,0,0,1,1,1,3,1,4,2,4,7,8,13,9,19,23
UBC,2006,W,CONS,200, ,001,"FNDT CONSERVAT'N","Wood, Paul",136,69.09,13.58,92,22,117,11,5,0,3,0,0,1,6,4,11,3,11,9,20,16,14,11,21,7,5
UBC,2006,W,CONS,200, ,OVERALL,"FNDT CONSERVAT'N"," ",137,68.81,13.91,92,22,117,12,5,0,3,0,0,1,7,4,12,3,11,9,20,16,14,11,21,7,5
UBC,2006,W,CONS,330, ,201,"CONSERVAT'N BIOL","Gergel, Sarah",61,76.29,8.34,91,49,58,1,1,0,1,0,0,0,0,1,1,0,2,0,3,9,11,14,9,6,4
UBC,2006,W,CONS,330, ,OVERALL,"CONSERVAT'N BIOL"," ",61,76.29,8.34,91,49,58,1,1,0,1,0,0,0,0,1,1,0,2,0,3,9,11,14,9,6,4
UBC,2006,W,CONS,340, ,101,"INTR GIS FRS&CON","Meitner, Michael",38,77.63,7.1,91,59,38,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,8,7,8,7,1
UBC,2006,W,CONS,340, ,OVERALL,"INTR GIS FRS&CON"," ",38,77.63,7.1,91,59,38,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,8,7,8,7,1
UBC,2006,W,CONS,370, ,201,"1ST NATIONS & FR","Trosper, Ronald",33,75.69,9.41,90,41,31,1,0,0,1,0,0,0,0,1,1,0,1,0,3,3,4,7,8,4,1
UBC,2006,W,CONS,370, ,OVERALL,"1ST NATIONS & FR"," ",33,75.69,9.41,90,41,31,1,0,0,1,0,0,0,0,1,1,0,1,0,3,3,4,7,8,4,1
UBC,2006,W,CONS,440, ,101,"CONSERVATION POL","Wood, Paul",50,66.1,20.37,95,0,43,6,0,0,1,2,0,1,2,1,6,4,2,3,6,3,7,6,7,3,2
UBC,2006,W,CONS,440, ,OVERALL,"CONSERVATION POL"," ",51,66.08,20.16,95,0,44,6,0,0,1,2,0,1,2,1,6,4,2,3,7,3,7,6,7,3,2
UBC,2006,W,CONS,451, ,101,"INTGRTD FLD SCHL","Lavallee, Susanne",26,79.85,6.07,93,64,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,11,2,2
UBC,2006,W,CONS,451, ,OVERALL,"INTGRTD FLD SCHL"," ",26,79.85,6.07,93,64,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7,11,2,2
UBC,2006,W,CONS,481, ,201,"CONS PLN&REC","Meitner, Michael",51,72.47,13.55,90,0,49,2,0,0,0,1,0,0,0,1,2,0,3,1,4,9,10,7,10,4,1
UBC,2006,W,CONS,481, ,OVERALL,"CONS PLN&REC"," ",51,72.47,13.55,90,0,49,2,0,0,0,1,0,0,0,1,2,0,3,1,4,9,10,7,10,4,1
UBC,2006,W,CONS,486, ,201,"FISH CONS/MGMT","Hinch, Scott",33,73.28,11.46,93,50,32,0,0,1,0,0,0,0,0,0,0,3,0,4,3,3,4,5,5,2,3
UBC,2006,W,CONS,486, ,OVERALL,"FISH CONS/MGMT"," ",33,73.28,11.46,93,50,32,0,0,1,0,0,0,0,0,0,0,3,0,4,3,3,4,5,5,2,3
UBC,2006,W,CONS,495, ,201,"PROBLEM WILDLIFE","Sullivan, Thomas Priestlay",5,65.6,11.67,78,52,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
UBC,2006,W,CONS,495, ,OVERALL,"PROBLEM WILDLIFE"," ",5,65.6,11.67,78,52,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
UBC,2006,W,CONS,498, ,001,"THS OR SPEC PROJ","Marshall, Peter",5,91,7.07,96,86,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UBC,2006,W,CONS,498, ,OVERALL,"THS OR SPEC PROJ"," ",5,91,7.07,96,86,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
UBC,2006,W,CONS,502, ,901,"CONSERV POLICY","Wood, Paul",7,84,7.29,93,74,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
UBC,2006,W,CONS,502, ,OVERALL,"CONSERV POLICY"," ",7,84,7.29,93,74,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
UBC,2006,W,CONS,503,C,901,"TPS CONSERVATION","Grayston, Susan",6,80.33,11.62,92,63,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1
UBC,2006,W,CONS,503, ,OVERALL,"TPS CONSERVATION"," ",6,80.33,11.62,92,63,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1
UBC,2006,W,CONS,503,C,901,"TPS CONSERVATION","Grayston, Susan",6,80.33,11.62,92,63,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1
UBC,2006,W,CONS,503, ,OVERALL,"TPS CONSERVATION"," ",6,80.33,11.62,92,63,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1
