Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,MATH,2, ,OVERALL,"PRE-CALCULUS"," ",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,MATH,100, ,102,"DF CALC AP PH SC","Ramirez, Antonio",115,73.1,13.02,96,35,108,6,0,0,1,0,0,0,1,5,6,3,9,8,4,18,15,11,19,6,15
UBC,2006,W,MATH,100, ,103,"DF CALC AP PH SC","Indurskis, Gabriel",142,80.43,9.96,99,56,142,0,0,0,0,0,0,0,0,0,0,0,5,3,7,13,19,7,32,29,27
UBC,2006,W,MATH,100, ,104,"DF CALC AP PH SC","Karu, Kalle",203,74.22,13.78,99,16,198,4,1,0,0,0,1,2,1,0,4,9,15,15,7,23,28,16,38,25,22
UBC,2006,W,MATH,100, ,105,"DF CALC AP PH SC","Purbhoo, Kevin",106,71.12,12.53,98,29,101,4,1,0,0,0,0,1,1,2,4,5,7,7,14,12,12,15,16,9,4
UBC,2006,W,MATH,100, ,106,"DF CALC AP PH SC","MacLean, Mark Thomson",171,59.74,15.87,95,6,135,30,6,0,0,1,3,2,9,15,30,23,24,22,8,20,12,7,9,6,4
UBC,2006,W,MATH,100, ,107,"DF CALC AP PH SC","Haussmann, Ulrich G",181,72.06,14.47,99,21,169,9,1,0,2,0,0,3,4,2,9,11,11,8,20,16,24,17,27,24,11
UBC,2006,W,MATH,100, ,109,"DF CALC AP PH SC","Sinclair, Chris",79,62.88,18.43,95,12,63,11,4,0,1,0,3,0,4,4,11,15,6,7,3,5,8,4,4,4,7
UBC,2006,W,MATH,100, ,1CH,"DF CALC AP PH SC","",16,,,,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,MATH,100, ,OVERALL,"DF CALC AP PH SC"," ",1013,70.97,15.4,99,6,916,64,13,0,20,1,7,8,20,28,64,66,77,70,63,107,118,77,145,103,90
UBC,2006,W,MATH,101, ,201,"INT CALC AP PH S","Gupta, Rajiv",219,68.42,16.28,97,13,189,25,1,0,4,0,1,2,9,13,25,13,27,14,18,16,24,13,23,25,16
UBC,2006,W,MATH,101, ,202,"INT CALC AP PH S","Rechnitzer, Andrew",109,61.21,16.37,97,8,91,16,0,0,2,1,0,4,6,5,16,17,16,12,11,6,12,3,5,3,6
UBC,2006,W,MATH,101, ,203,"INT CALC AP PH S","Indurskis, Gabriel",154,80.4,11.78,100,37,153,1,0,0,0,0,0,0,1,0,1,3,4,10,3,14,13,12,27,25,42
UBC,2006,W,MATH,101, ,204,"INT CALC AP PH S","Karu, Kalle",218,64.19,17.85,99,0,179,32,2,0,5,2,1,3,12,14,32,29,24,24,5,17,16,5,28,21,10
UBC,2006,W,MATH,101, ,205,"INT CALC AP PH S","MacLean, Mark Thomson",110,64.18,17.28,98,15,96,13,1,0,0,0,1,2,8,2,13,19,11,11,4,10,10,5,14,3,9
UBC,2006,W,MATH,101, ,206,"INT CALC AP PH S","Haussmann, Ulrich G",195,65.57,19.23,98,4,150,34,6,0,5,2,1,4,15,12,34,13,19,12,8,18,11,15,25,15,14
UBC,2006,W,MATH,101, ,207,"INT CALC AP PH S","Ramirez, Antonio",107,65.37,18.09,97,20,87,18,1,0,1,0,0,2,10,6,18,11,11,5,7,9,7,7,14,6,10
UBC,2006,W,MATH,101, ,208,"INT CALC AP PH S","Huang, Hui",38,59.78,17.92,95,24,29,8,0,0,1,0,0,2,3,3,8,4,7,3,4,2,1,1,3,1,3
UBC,2006,W,MATH,101, ,209,"INT CALC AP PH S","Usefi, Hamid",85,58.48,21.01,91,0,62,18,4,0,1,2,4,4,3,5,18,13,5,6,4,9,7,5,10,1,2
UBC,2006,W,MATH,101, ,OVERALL,"INT CALC AP PH S"," ",1235,66.55,18.16,100,0,1036,165,15,0,19,7,8,23,67,60,165,122,124,97,64,101,101,66,149,100,112
UBC,2006,W,MATH,102, ,101,"DF CALC APP LF S","Israel, Robert B",103,65.38,13.29,97,27,91,11,0,0,1,0,0,1,1,9,11,8,14,11,11,15,11,5,5,8,3
UBC,2006,W,MATH,102, ,102,"DF CALC APP LF S","DAS, RAIBATAK",109,66.29,14.61,95,16,91,16,1,0,1,0,1,1,2,12,16,7,7,8,9,17,10,13,11,6,3
UBC,2006,W,MATH,102, ,103,"DF CALC APP LF S","Elmhirst, Toby",111,68.3,13.64,96,33,99,10,1,0,1,0,0,0,2,8,10,6,14,6,7,19,14,9,11,7,6
UBC,2006,W,MATH,102, ,104,"DF CALC APP LF S","Momeni, Abbas",104,70.79,14.95,98,32,88,13,3,0,0,0,0,0,3,10,13,1,5,11,7,12,9,12,13,10,8
UBC,2006,W,MATH,102, ,105,"DF CALC APP LF S","Wang, Lin",76,70.33,15.26,98,25,68,7,0,0,1,0,0,1,0,6,7,6,2,6,8,9,7,7,10,4,9
UBC,2006,W,MATH,102, ,OVERALL,"DF CALC APP LF S"," ",508,68.08,14.41,98,16,437,57,10,0,4,0,1,3,8,45,57,28,42,42,42,72,51,46,50,35,29
UBC,2006,W,MATH,103, ,201,"INT CALC AP LF S","Cytrynbaum, Eric",100,69.44,11.79,94,35,95,4,1,0,0,0,0,0,1,3,4,5,12,12,9,14,15,6,10,9,3
UBC,2006,W,MATH,103, ,202,"INT CALC AP LF S","Israel, Robert B",98,67.96,15.28,97,33,87,11,0,0,0,0,0,0,4,7,11,9,9,11,4,9,13,8,9,6,9
UBC,2006,W,MATH,103, ,203,"INT CALC AP LF S","Israel, Robert B",100,67.87,13.68,93,37,89,8,1,0,2,0,0,0,3,5,8,7,9,13,3,17,10,8,12,5,5
UBC,2006,W,MATH,103, ,204,"INT CALC AP LF S","Elmhirst, Toby",98,66.13,16.52,93,9,86,8,3,0,1,1,1,3,0,3,8,7,11,9,9,14,8,4,15,4,5
UBC,2006,W,MATH,103, ,205,"INT CALC AP LF S","Lalin, Matilde",90,63.92,19.01,96,5,73,15,1,0,1,1,0,0,7,7,15,15,10,4,6,8,6,2,6,3,13
UBC,2006,W,MATH,103, ,206,"INT CALC AP LF S","Mori, Yoichiro",95,66.69,15.33,97,0,88,7,0,0,0,1,0,0,3,3,7,8,13,10,5,18,5,6,13,4,6
UBC,2006,W,MATH,103, ,OVERALL,"INT CALC AP LF S"," ",586,67.07,15.38,97,0,518,53,11,0,4,3,1,3,18,28,53,51,64,59,36,80,57,34,65,31,41
UBC,2006,W,MATH,104, ,101,"DFF CALC AP C&SS","Lamb, Charles W",205,64.97,20.07,100,5,167,31,5,0,2,3,3,5,13,7,31,24,18,15,11,17,20,11,17,10,24
UBC,2006,W,MATH,104, ,102,"DFF CALC AP C&SS","Yan, Yu",104,74.43,22.74,99,3,89,13,2,0,0,1,3,4,1,4,13,5,3,4,4,5,3,6,12,15,32
UBC,2006,W,MATH,104, ,103,"DFF CALC AP C&SS","Anstee, Richard",52,70.65,16.24,98,22,48,3,1,0,0,0,0,1,1,1,3,5,3,5,5,3,5,6,6,3,7
UBC,2006,W,MATH,104, ,104,"DFF CALC AP C&SS","YOUNG, JESSICA MILLAR",91,63.92,18.71,99,19,76,13,2,0,0,0,1,2,8,2,13,15,11,4,8,7,3,4,9,6,9
UBC,2006,W,MATH,104, ,105,"DFF CALC AP C&SS","Liu, Keqin",214,68.83,19.61,99,0,184,22,7,0,1,2,5,4,9,2,22,19,11,17,15,11,21,14,33,19,24
UBC,2006,W,MATH,104, ,106,"DFF CALC AP C&SS","Yang, Christine",79,65.28,18.58,99,25,60,12,5,0,2,0,0,2,5,5,12,11,4,5,8,5,5,3,3,7,9
UBC,2006,W,MATH,104, ,108,"DFF CALC AP C&SS","Woodford, Roger",65,70.27,21.92,99,12,51,8,5,0,1,0,2,3,3,0,8,4,4,3,2,4,3,5,9,5,12
UBC,2006,W,MATH,104, ,OVERALL,"DFF CALC AP C&SS"," ",810,67.92,20.17,100,0,675,102,27,0,6,6,14,21,40,21,102,83,54,53,53,52,60,49,89,65,117
UBC,2006,W,MATH,105, ,201,"INT CALC AP C&SS","Lamb, Charles W",217,71.19,15.59,100,25,202,11,4,0,0,0,0,1,4,6,11,30,13,12,17,24,13,17,27,23,26
UBC,2006,W,MATH,105, ,202,"INT CALC AP C&SS","Liu, Keqin",206,67.85,18.6,100,0,173,22,7,0,4,2,2,4,8,6,22,17,16,16,7,21,26,10,27,14,19
UBC,2006,W,MATH,105, ,203,"INT CALC AP C&SS","Zhai, Kelan",80,72.51,18.21,96,28,70,8,0,0,2,0,0,1,5,2,8,4,7,7,4,1,5,3,13,12,14
UBC,2006,W,MATH,105, ,204,"INT CALC AP C&SS","Goldlist, Amy",81,69.28,16.08,100,29,73,6,0,0,2,0,0,1,1,4,6,12,6,6,7,6,2,7,8,11,8
UBC,2006,W,MATH,105, ,205,"INT CALC AP C&SS","Torres-Giese, Enrique",84,64.84,20.56,99,9,73,9,0,0,2,1,1,2,5,0,9,18,10,4,1,6,8,4,5,5,12
UBC,2006,W,MATH,105, ,207,"INT CALC AP C&SS","Rose, Simon",83,66.99,17.75,98,6,73,8,0,0,2,1,1,1,3,2,8,8,7,4,5,12,9,9,8,6,5
UBC,2006,W,MATH,105, ,OVERALL,"INT CALC AP C&SS"," ",751,69.05,17.7,100,0,664,64,11,0,12,4,4,10,26,20,64,89,59,49,41,70,63,50,88,71,84
UBC,2006,W,MATH,120, ,101,"DIFFER CALCULUS","Gustafson, Stephen James",53,79.69,12,99,51,51,0,0,0,2,0,0,0,0,0,0,2,1,4,1,3,4,8,10,8,10
UBC,2006,W,MATH,120, ,OVERALL,"DIFFER CALCULUS"," ",53,79.69,12,99,51,51,0,0,0,2,0,0,0,0,0,0,2,1,4,1,3,4,8,10,8,10
UBC,2006,W,MATH,121, ,201,"INTEGRAL CALCULU","Gustafson, Stephen James",41,76.9,16.92,99,15,38,2,0,0,1,0,1,0,1,0,2,1,1,1,3,5,3,0,10,4,10
UBC,2006,W,MATH,121, ,OVERALL,"INTEGRAL CALCULU"," ",41,76.9,16.92,99,15,38,2,0,0,1,0,1,0,1,0,2,1,1,1,3,5,3,0,10,4,10
UBC,2006,W,MATH,152, ,201,"LINEAR SYSTEMS","Solymosi, Jozsef",92,64.93,17.43,96,16,79,10,0,0,3,0,1,4,5,0,10,13,5,6,7,13,9,7,12,3,4
UBC,2006,W,MATH,152, ,202,"LINEAR SYSTEMS","Burggraf, David",87,66.87,17.14,99,32,72,11,0,0,4,0,0,0,4,7,11,10,8,6,6,7,6,6,7,6,10
UBC,2006,W,MATH,152, ,203,"LINEAR SYSTEMS","Borowski, Peter",95,67.32,16.79,97,13,80,13,1,0,1,0,1,1,2,9,13,7,8,6,8,13,10,7,5,6,10
UBC,2006,W,MATH,152, ,204,"LINEAR SYSTEMS","Code, Warren",83,72.65,15.1,97,24,77,4,0,0,2,0,0,2,1,1,4,5,6,4,5,10,7,10,11,8,11
UBC,2006,W,MATH,152, ,205,"LINEAR SYSTEMS","Jorati, Hadi",82,65.56,20.49,99,0,70,11,1,0,0,1,1,4,2,3,11,10,8,7,4,6,6,5,9,6,9
UBC,2006,W,MATH,152, ,206,"LINEAR SYSTEMS","Yilmaz, Ozgur",72,69.94,18.85,96,0,63,7,0,0,2,1,0,3,0,3,7,6,3,2,4,10,7,6,10,9,6
UBC,2006,W,MATH,152, ,207,"LINEAR SYSTEMS","Solymosi, Jozsef",82,61.65,19.38,93,12,68,13,0,0,1,0,2,5,5,1,13,14,8,6,4,12,6,3,4,3,8
UBC,2006,W,MATH,152, ,208,"LINEAR SYSTEMS","Silva, Geraldo Nunes",74,63.78,17.72,94,16,58,15,0,0,1,0,1,2,5,7,15,6,4,7,3,11,10,7,1,4,5
UBC,2006,W,MATH,152, ,OVERALL,"LINEAR SYSTEMS"," ",669,66.56,18.08,99,0,567,84,4,0,14,2,6,21,24,31,84,71,50,44,41,82,61,51,59,45,63
UBC,2006,W,MATH,180, ,101,"DIF CALC PHYS AP","Gupta, Rajiv",28,64.54,14.45,89,24,24,2,2,0,0,0,0,1,0,1,2,2,6,3,4,1,2,1,2,3,0
UBC,2006,W,MATH,180, ,102,"DIF CALC PHYS AP","Gupta, Rajiv",23,58.24,20.33,85,16,15,6,1,0,1,0,1,1,3,1,6,2,1,2,1,3,1,1,3,1,0
UBC,2006,W,MATH,180, ,103,"DIF CALC PHYS AP","Gupta, Rajiv",24,63.32,15.14,95,31,19,3,1,0,1,0,0,0,2,1,3,3,1,5,1,3,3,0,1,1,1
UBC,2006,W,MATH,180, ,104,"DIF CALC PHYS AP","Gupta, Rajiv",26,67.8,13.25,91,42,23,2,1,0,0,0,0,0,0,2,2,1,3,4,2,4,3,2,0,2,2
UBC,2006,W,MATH,180, ,105,"DIF CALC PHYS AP","Gupta, Rajiv",26,64,12.08,92,42,23,2,1,0,0,0,0,0,0,2,2,4,5,1,2,3,3,4,0,0,1
UBC,2006,W,MATH,180, ,106,"DIF CALC PHYS AP","Gupta, Rajiv",25,52.73,16.84,89,9,14,8,2,0,1,1,0,1,1,5,8,4,4,2,2,0,0,0,1,1,0
UBC,2006,W,MATH,180, ,107,"DIF CALC PHYS AP","Gupta, Rajiv",26,57.76,16.19,92,21,19,6,1,0,0,0,0,2,1,3,6,3,4,2,4,1,3,1,0,0,1
UBC,2006,W,MATH,180, ,108,"DIF CALC PHYS AP","Gupta, Rajiv",27,62.7,12.17,90,42,21,2,2,0,2,0,0,0,0,2,2,5,4,2,3,2,1,1,2,0,1
UBC,2006,W,MATH,180, ,109,"DIF CALC PHYS AP","Akhtari, Shabnam",46,64.2,12.37,89,17,43,1,1,0,1,0,1,0,0,0,1,8,5,8,3,6,4,4,4,1,0
UBC,2006,W,MATH,180, ,110,"DIF CALC PHYS AP","Chipeniuk, Karsten",53,45.46,19.34,78,8,26,22,3,0,2,1,6,4,7,4,22,9,5,5,0,2,1,4,0,0,0
UBC,2006,W,MATH,180, ,111,"DIF CALC PHYS AP","Donaldson, Jason",36,49.15,18.67,77,13,17,10,8,0,1,0,4,1,2,3,10,5,3,3,2,2,1,1,0,0,0
UBC,2006,W,MATH,180, ,112,"DIF CALC PHYS AP","Rose, Simon",54,62.57,15.45,91,7,42,7,2,0,3,1,0,0,2,4,7,6,7,5,3,7,5,1,6,1,1
UBC,2006,W,MATH,180, ,113,"DIF CALC PHYS AP","Macasieb, Melissa",67,56.76,18.43,92,0,47,15,4,0,1,1,1,2,6,5,15,9,8,8,5,6,2,2,2,3,2
UBC,2006,W,MATH,180, ,114,"DIF CALC PHYS AP","Ghadge, Shilpa",40,52.89,16.09,97,17,23,12,3,0,2,0,1,1,5,5,12,7,3,4,1,6,1,0,0,0,1
UBC,2006,W,MATH,180, ,OVERALL,"DIF CALC PHYS AP"," ",501,58.16,17.28,97,0,356,98,32,0,15,4,14,13,29,38,98,68,59,54,33,46,30,22,21,13,10
UBC,2006,W,MATH,184, ,101,"CALC SOCSCI COMM","Hamel, Mariah",53,62.25,21.52,99,0,44,8,1,0,0,1,2,1,3,1,8,9,5,2,4,3,6,3,7,1,4
UBC,2006,W,MATH,184, ,102,"CALC SOCSCI COMM","Duncan, Alexander",54,60.87,12.41,85,30,47,5,1,0,1,0,0,0,2,3,5,11,9,5,5,7,3,3,3,1,0
UBC,2006,W,MATH,184, ,103,"CALC SOCSCI COMM","Anstee, Richard",53,57.6,18.34,88,21,36,14,2,0,1,0,0,5,4,5,14,7,6,1,3,7,2,4,2,4,0
UBC,2006,W,MATH,184, ,104,"CALC SOCSCI COMM","Chen, Wan",52,56.02,17.04,94,17,42,9,1,0,0,0,2,1,6,0,9,19,4,7,1,3,1,0,3,2,2
UBC,2006,W,MATH,184, ,105,"CALC SOCSCI COMM","Pan, Zhenguo",54,51.89,17.26,94,6,41,12,0,0,1,1,3,0,8,0,12,21,5,5,0,5,1,1,1,1,1
UBC,2006,W,MATH,184, ,106,"CALC SOCSCI COMM","YUE, PENGTAO",70,53.89,19.49,97,5,46,19,3,0,2,1,1,7,6,4,19,15,7,5,5,2,2,3,2,4,1
UBC,2006,W,MATH,184, ,107,"CALC SOCSCI COMM","Tsiang, Michael",55,63.56,13.25,92,33,47,3,4,0,1,0,0,0,3,0,3,9,9,5,4,6,4,2,6,0,2
UBC,2006,W,MATH,184, ,108,"CALC SOCSCI COMM","Soo, Terry",38,53.17,21.03,98,13,19,10,8,0,1,0,2,3,4,1,10,6,2,0,1,3,2,3,1,0,1
