Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,PATH,300, ,001,"BACKGRD MED LAB","",21,81.62,5.94,91,71,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,5,2
UBC,2006,W,PATH,300, ,OVERALL,"BACKGRD MED LAB"," ",21,81.62,5.94,91,71,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,6,5,2
UBC,2006,W,PATH,301, ,001,"BIOCHEM MED LAB","Ong, Corinne",24,82.33,7.37,93,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,8,7,4
UBC,2006,W,PATH,301, ,OVERALL,"BIOCHEM MED LAB"," ",24,82.33,7.37,93,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,8,7,4
UBC,2006,W,PATH,303, ,001,"CYTOGENETICS","Park, Carol",23,79.83,8.55,91,57,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,3,3,6,3
UBC,2006,W,PATH,303, ,OVERALL,"CYTOGENETICS"," ",23,79.83,8.55,91,57,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,3,3,6,3
UBC,2006,W,PATH,304, ,001,"HUM HISTOLOGY","Park, Carol",23,77.13,7.76,90,63,23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,4,4,4,1
UBC,2006,W,PATH,304, ,OVERALL,"HUM HISTOLOGY"," ",23,77.13,7.76,90,63,23,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,4,4,4,1
UBC,2006,W,PATH,305, ,001,"MOD MICROSCOPY","O'Kusky, John",24,78.88,6.22,88,64,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,10,3,0
UBC,2006,W,PATH,305, ,OVERALL,"MOD MICROSCOPY"," ",24,78.88,6.22,88,64,24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,7,10,3,0
UBC,2006,W,PATH,306, ,001,"NUCLEAR MEDICINE","Greene, Wayne M",24,82.46,4.24,90,76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,1
UBC,2006,W,PATH,306, ,OVERALL,"NUCLEAR MEDICINE"," ",24,82.46,4.24,90,76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,6,1
UBC,2006,W,PATH,327, ,001,"BAC,MYC,VIR&PARA","Goh, Swee-Han",24,79.75,5.91,95,68,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,7,5,1
UBC,2006,W,PATH,327, ,OVERALL,"BAC,MYC,VIR&PARA"," ",24,79.75,5.91,95,68,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,7,5,1
UBC,2006,W,PATH,375, ,001,"INTRO HUMAN PATH","Nimmo, Michael",205,85.18,8.66,100,60,201,0,2,0,2,0,0,0,0,0,0,0,0,3,3,10,14,18,32,50,71
UBC,2006,W,PATH,375, ,OVERALL,"INTRO HUMAN PATH"," ",205,85.18,8.66,100,60,201,0,2,0,2,0,0,0,0,0,0,0,0,3,3,10,14,18,32,50,71
UBC,2006,W,PATH,402, ,001,"HAEMATOLOGY","Ford, Jason",22,87.73,3.77,94,78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,8
UBC,2006,W,PATH,402, ,OVERALL,"HAEMATOLOGY"," ",22,87.73,3.77,94,78,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,8
UBC,2006,W,PATH,404, ,001,"HISTOCHEMISTRY","Park, Carol",22,79.82,6.18,89,65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,8,5,0
UBC,2006,W,PATH,404, ,OVERALL,"HISTOCHEMISTRY"," ",22,79.82,6.18,89,65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,8,5,0
UBC,2006,W,PATH,405, ,001,"SEM CURR TOPICS","Godolphin, William;Park, Carol",22,78.86,9.87,90,50,22,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,13,0,5
UBC,2006,W,PATH,405, ,OVERALL,"SEM CURR TOPICS"," ",22,78.86,9.87,90,50,22,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,13,0,5
UBC,2006,W,PATH,406, ,001,"CLIN CHEM","Pudek, Morris",22,84.73,5.58,92,70,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,11,4
UBC,2006,W,PATH,406, ,OVERALL,"CLIN CHEM"," ",22,84.73,5.58,92,70,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,11,4
UBC,2006,W,PATH,407, ,001,"MED LAB TOXICLGY","Godolphin, William",22,77.5,5.25,85,63,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,6,10,1,0
UBC,2006,W,PATH,407, ,OVERALL,"MED LAB TOXICLGY"," ",22,77.5,5.25,85,63,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,6,10,1,0
UBC,2006,W,PATH,408, ,001,"LAB ADMIN","Park, Carol",22,82.77,4.31,88,73,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,12,0
UBC,2006,W,PATH,408, ,OVERALL,"LAB ADMIN"," ",22,82.77,4.31,88,73,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,12,0
UBC,2006,W,PATH,415, ,001,"IMMUNOPATHOLOGY","Tai, Joseph",30,81.8,8.42,93,62,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4,7,7,6
UBC,2006,W,PATH,415, ,OVERALL,"IMMUNOPATHOLOGY"," ",30,81.8,8.42,93,62,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,4,7,7,6
UBC,2006,W,PATH,417, ,99A,"BACT INFCTN HMNS","Kelly, Niamh",21,86.55,3.97,91,77,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,10,5
