Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,RSOT,511, ,001,"THEORY & PRAC","",40,84.15,3.8,91,76,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,14,3
UBC,2006,W,RSOT,511, ,OVERALL,"THEORY & PRAC"," ",40,84.15,3.8,91,76,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,14,3
UBC,2006,W,RSOT,513, ,001,"HLTH & OCCPT I","",41,81.4,4.31,90,72,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,18,6,1
UBC,2006,W,RSOT,513, ,OVERALL,"HLTH & OCCPT I"," ",41,81.4,4.31,90,72,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,18,6,1
UBC,2006,W,RSOT,515, ,001,"PRAC SKILLS I","",40,87.72,3.67,95,78,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,12
UBC,2006,W,RSOT,515, ,OVERALL,"PRAC SKILLS I"," ",40,87.72,3.67,95,78,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,20,12
UBC,2006,W,RSOT,519, ,001,"PRO PRCT I","",41,,,,,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,519, ,OVERALL,"PRO PRCT I"," ",41,,,,,0,0,1,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,521, ,001,"OCCP ANYL","",40,86.08,4.54,94,75,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,15,11
UBC,2006,W,RSOT,521, ,OVERALL,"OCCP ANYL"," ",40,86.08,4.54,94,75,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,15,11
UBC,2006,W,RSOT,525, ,001,"PRAC SKILLS II","",40,87.13,3.43,93,78,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,21,11
UBC,2006,W,RSOT,525, ,OVERALL,"PRAC SKILLS II"," ",40,87.13,3.43,93,78,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,21,11
UBC,2006,W,RSOT,527, ,001,"EVIDENCE PRAC I","",40,79.93,4.81,89,64,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,14,13,7,0
UBC,2006,W,RSOT,527, ,OVERALL,"EVIDENCE PRAC I"," ",40,79.93,4.81,89,64,40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,14,13,7,0
UBC,2006,W,RSOT,537, ,001,"EVIDENCE REASON","",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,537, ,OVERALL,"EVIDENCE REASON"," ",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,541, ,001,"ADV APPL","",39,87.51,3.99,94,79,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,16
UBC,2006,W,RSOT,541, ,OVERALL,"ADV APPL"," ",39,87.51,3.99,94,79,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,16
UBC,2006,W,RSOT,545, ,001,"PRAC SKILLS III","",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,545, ,OVERALL,"PRAC SKILLS III"," ",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,547, ,001,"PRACT PROJECT","",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,547, ,OVERALL,"PRACT PROJECT"," ",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,549, ,001,"PRO PRACTICE II","",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,549, ,OVERALL,"PRO PRACTICE II"," ",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,551, ,001,"SOCI ENVIRON","",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,551, ,OVERALL,"SOCI ENVIRON"," ",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,553, ,001,"DEV EFFECTIVE PR","",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSOT,553, ,OVERALL,"DEV EFFECTIVE PR"," ",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
