Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2006,W,RSPT,512, ,002,"PATHLGY IN REHAB","",40,87.03,3.5,94,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,11
UBC,2006,W,RSPT,512, ,003,"PATHLGY IN REHAB","",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSPT,512, ,OVERALL,"PATHLGY IN REHAB"," ",80,87.03,3.5,94,80,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,11
UBC,2006,W,RSPT,514, ,001,"CLIN PRACTICE I","",40,83.38,3.95,91,76,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,14,2
UBC,2006,W,RSPT,514, ,OVERALL,"CLIN PRACTICE I"," ",40,83.38,3.95,91,76,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,14,2
UBC,2006,W,RSPT,516, ,001,"CLINICAL DEC I","",40,95.54,2.44,100,89,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38
UBC,2006,W,RSPT,516, ,OVERALL,"CLINICAL DEC I"," ",40,95.54,2.44,100,89,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38
UBC,2006,W,RSPT,518, ,001,"EXERCISE MOVE","",41,84.38,4.63,93,74,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13,15,6
UBC,2006,W,RSPT,518, ,OVERALL,"EXERCISE MOVE"," ",41,84.38,4.63,93,74,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13,15,6
UBC,2006,W,RSPT,524, ,001,"CLIN PRAC II","",39,84.38,3.5,93,77,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,13,2
UBC,2006,W,RSPT,524, ,OVERALL,"CLIN PRAC II"," ",39,84.38,3.5,93,77,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,13,2
UBC,2006,W,RSPT,526, ,001,"CLINICAL DEC II","",41,86.7,4.11,97,79,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,19,10
UBC,2006,W,RSPT,526, ,OVERALL,"CLINICAL DEC II"," ",41,86.7,4.11,97,79,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,19,10
UBC,2006,W,RSPT,528, ,001,"CASE INTEGR I","",39,92.44,4.54,97,78,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,33
UBC,2006,W,RSPT,528, ,OVERALL,"CASE INTEGR I"," ",39,92.44,4.54,97,78,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,33
UBC,2006,W,RSPT,544, ,002,"CLIN PRAC IV","",39,87.03,3.29,93,81,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,8
UBC,2006,W,RSPT,544, ,OVERALL,"CLIN PRAC IV"," ",40,87.03,3.25,93,81,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,23,8
UBC,2006,W,RSPT,546, ,001,"CLIN MAKE III","",40,91.48,2.18,95,84,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,35
UBC,2006,W,RSPT,546, ,OVERALL,"CLIN MAKE III"," ",40,91.48,2.18,95,84,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,35
UBC,2006,W,RSPT,548, ,002,"CASE INTGR III","",39,93.97,3.66,99,81,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,36
UBC,2006,W,RSPT,548, ,OVERALL,"CASE INTGR III"," ",40,93.98,3.61,99,81,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,37
UBC,2006,W,RSPT,554, ,002,"CLINCL PRAC V","",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSPT,554, ,OVERALL,"CLINCL PRAC V"," ",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSPT,558, ,001,"CASE INTGR IV","",40,88.08,3.07,93,78,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21,15
UBC,2006,W,RSPT,558, ,OVERALL,"CASE INTGR IV"," ",40,88.08,3.07,93,78,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,21,15
UBC,2006,W,RSPT,564, ,001,"CLIN PRAC VI","",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSPT,564, ,002,"CLIN PRAC VI","",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSPT,564, ,OVERALL,"CLIN PRAC VI"," ",42,,,,,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSPT,566, ,001,"CLIN MAKE IV","",40,93,0,93,93,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBC,2006,W,RSPT,566, ,OVERALL,"CLIN MAKE IV"," ",40,93,0,93,93,1,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBC,2006,W,RSPT,572, ,001,"REHAB RSCH II","",38,88.32,4.27,96,82,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,20
UBC,2006,W,RSPT,572, ,OVERALL,"REHAB RSCH II"," ",38,88.32,4.27,96,82,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,20
UBC,2006,W,RSPT,574, ,001,"CLINCL PRAC VII","",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSPT,574, ,OVERALL,"CLINCL PRAC VII"," ",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2006,W,RSPT,578, ,001,"CASE INTGR V","",38,88.89,4.79,97,84,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,18
UBC,2006,W,RSPT,578, ,OVERALL,"CASE INTGR V"," ",38,88.89,4.79,97,84,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,18
