Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,S,ADHE,327, ,93Q,"TEACH ADULT","",26,81.42,5.57,92,68,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,13,3,2
UBC,2007,S,ADHE,327, ,971,"TEACH ADULT","",8,84.14,4.91,91,76,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1
UBC,2007,S,ADHE,327, ,OVERALL,"TEACH ADULT"," ",34,82,5.48,92,68,33,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,15,6,3
UBC,2007,S,ADHE,329, ,93Q,"DEV WKSHP/SEM","",21,83.1,20.02,94,0,19,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,8,6
UBC,2007,S,ADHE,329, ,OVERALL,"DEV WKSHP/SEM"," ",21,83.1,20.02,94,0,19,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,4,8,6
UBC,2007,S,ADHE,330, ,93Q,"COM ADULT EDUC","",12,84.09,4.57,91,76,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2
UBC,2007,S,ADHE,330, ,OVERALL,"COM ADULT EDUC"," ",12,84.09,4.57,91,76,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,3,2
UBC,2007,S,ADHE,412, ,93Q,"ADUL EDUC","",18,81.61,5.82,90,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,4,2
UBC,2007,S,ADHE,412, ,OVERALL,"ADUL EDUC"," ",18,81.61,5.82,90,68,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,4,2
UBC,2007,S,ADHE,500, ,971,"ADULT EDUC","",10,90.4,1.58,92,88,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
UBC,2007,S,ADHE,500, ,OVERALL,"ADULT EDUC"," ",10,90.4,1.58,92,88,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7
UBC,2007,S,ADHE,517, ,951,"EVA ADU COM EDU","",13,89.08,4.23,94,83,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7
UBC,2007,S,ADHE,517, ,OVERALL,"EVA ADU COM EDU"," ",13,89.08,4.23,94,83,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,7
UBC,2007,S,ADHE,540,B,971,"GLOB LEARN","",15,90.53,2.26,93,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
UBC,2007,S,ADHE,540, ,OVERALL,"GLOB LEARN"," ",15,90.53,2.26,93,85,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
UBC,2007,S,ADHE,542, ,971,"FOS LEA PRAC","",18,85.44,5.06,92,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,14,1
UBC,2007,S,ADHE,542, ,OVERALL,"FOS LEA PRAC"," ",18,85.44,5.06,92,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,14,1
UBC,2007,S,ADHE,565,A,941,"SUB MAT FLD","",12,90.2,3.77,96,83,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6
UBC,2007,S,ADHE,565, ,OVERALL,"SUB MAT FLD"," ",12,90.2,3.77,96,83,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6
UBC,2007,S,ADHE,580, ,OVERALL,"DIR STUDY"," ",6,89.2,2.17,92,87,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
UBC,2007,S,ADHE,580,B,971,"DIR STUDY","",4,88,1.73,90,87,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
UBC,2007,S,ADHE,580, ,OVERALL,"DIR STUDY"," ",6,89.2,2.17,92,87,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
UBC,2007,S,ADHE,580, ,OVERALL,"DIR STUDY"," ",6,89.2,2.17,92,87,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
UBC,2007,S,ADHE,590, ,971,"GRAD PRO","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,S,ADHE,590, ,OVERALL,"GRAD PRO"," ",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,S,ADHE,599,A,944,"MASTER'S THS","",11,87,2.83,89,85,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
UBC,2007,S,ADHE,599, ,OVERALL,"MASTER'S THS"," ",13,85.33,3.51,89,82,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
