Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,S,EADM,505, ,971,"WRK OF SCHL PRIN","",10,87,5.87,96,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
UBC,2007,S,EADM,505, ,OVERALL,"WRK OF SCHL PRIN"," ",10,87,5.87,96,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3
UBC,2007,S,EADM,508,A,952,"REV RES MTH EADM","",20,87.58,2.85,92,81,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,6
UBC,2007,S,EADM,508,A,971,"REV RES MTH EADM","",20,83.6,9.37,96,65,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,3,6,6
UBC,2007,S,EADM,508, ,OVERALL,"REV RES MTH EADM"," ",40,85.54,7.2,96,65,39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,5,17,12
UBC,2007,S,EADM,532, ,93A,"LDRSHP ED ORG","",16,93.38,1.63,96,92,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
UBC,2007,S,EADM,532, ,971,"LDRSHP ED ORG","",20,88.5,2.37,94,85,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8
UBC,2007,S,EADM,532, ,OVERALL,"LDRSHP ED ORG"," ",36,90.67,3.2,96,85,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,24
UBC,2007,S,EADM,554, ,971,"ADM & ED PLCY DV","",11,86.7,2.79,89,81,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
UBC,2007,S,EADM,554, ,OVERALL,"ADM & ED PLCY DV"," ",11,86.7,2.79,89,81,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
UBC,2007,S,EADM,556, ,96A,"ADMIN ED PROG","",18,89,0,89,89,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
UBC,2007,S,EADM,556, ,OVERALL,"ADMIN ED PROG"," ",18,89,0,89,89,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
UBC,2007,S,EADM,560, ,971,"SCHOOL LAW","",21,87.29,3.55,95,83,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5
UBC,2007,S,EADM,560, ,OVERALL,"SCHOOL LAW"," ",21,87.29,3.55,95,83,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12,5
UBC,2007,S,EADM,565,A,96A,"SP CRS SBJCT FLD","",17,89.24,1.6,92,87,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4
UBC,2007,S,EADM,565,A,971,"SP CRS SBJCT FLD","",18,89.67,3.5,93,82,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12
UBC,2007,S,EADM,565, ,OVERALL,"SP CRS SBJCT FLD"," ",53,88.96,2.34,93,82,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,16
UBC,2007,S,EADM,565,B,93A,"SP CRS SBJCT FLD","",18,88,0.77,89,87,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
UBC,2007,S,EADM,565, ,OVERALL,"SP CRS SBJCT FLD"," ",53,88.96,2.34,93,82,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,35,16
UBC,2007,S,EADM,579, ,971,"SCH-COMM RELAT'S","",18,89,2.87,94,84,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9
UBC,2007,S,EADM,579, ,OVERALL,"SCH-COMM RELAT'S"," ",18,89,2.87,94,84,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,9
UBC,2007,S,EADM,581, ,93A," ","",21,86,2.24,90,82,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,2
UBC,2007,S,EADM,581, ,951," ","",22,87.27,1.96,90,85,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6
UBC,2007,S,EADM,581, ,OVERALL," "," ",43,86.65,2.17,90,82,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,32,8
UBC,2007,S,EADM,582, ,921,"ORGZTN EDUC CONT","",19,92.16,2.65,97,86,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
UBC,2007,S,EADM,582, ,OVERALL,"ORGZTN EDUC CONT"," ",19,92.16,2.65,97,86,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16
UBC,2007,S,EADM,590, ,OVERALL,"GRADUATING PAPER"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
