Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,S,GEOG,250, ,951,"CITIES","",20,63.61,18.94,86,0,17,1,2,0,0,1,0,0,0,0,1,2,2,4,1,3,1,1,1,2,0
UBC,2007,S,GEOG,250, ,OVERALL,"CITIES"," ",20,63.61,18.94,86,0,17,1,2,0,0,1,0,0,0,0,1,2,2,4,1,3,1,1,1,2,0
UBC,2007,S,GEOG,281, ,971,"GEOG PACIFIC RIM","",21,73.7,15.24,88,22,19,1,1,0,0,0,0,1,0,0,1,0,1,1,3,2,1,1,5,5,0
UBC,2007,S,GEOG,281, ,OVERALL,"GEOG PACIFIC RIM"," ",21,73.7,15.24,88,22,19,1,1,0,0,0,0,1,0,0,1,0,1,1,3,2,1,1,5,5,0
UBC,2007,S,GEOG,290, ,921,"INTR GEOG CANADA","",49,71.21,8.71,85,34,47,1,1,0,0,0,0,0,1,0,1,0,1,1,11,8,9,8,7,2,0
UBC,2007,S,GEOG,290, ,OVERALL,"INTR GEOG CANADA"," ",49,71.21,8.71,85,34,47,1,1,0,0,0,0,0,1,0,1,0,1,1,11,8,9,8,7,2,0
UBC,2007,S,GEOG,310, ,921,"ENVIR & RESOURCE","",53,69.31,7.51,86,53,51,0,2,0,0,0,0,0,0,0,0,1,5,2,12,12,8,7,2,2,0
UBC,2007,S,GEOG,310, ,OVERALL,"ENVIR & RESOURCE"," ",53,69.31,7.51,86,53,51,0,2,0,0,0,0,0,0,0,0,1,5,2,12,12,8,7,2,2,0
UBC,2007,S,GEOG,328, ,971,"HIST CANADA II","",39,71.13,7.81,83,46,37,1,1,0,0,0,0,0,0,1,1,1,1,2,4,9,7,9,4,0,0
UBC,2007,S,GEOG,328, ,OVERALL,"HIST CANADA II"," ",39,71.13,7.81,83,46,37,1,1,0,0,0,0,0,0,1,1,1,1,2,4,9,7,9,4,0,0
UBC,2007,S,GEOG,350, ,98A,"URBAN GEOG","",23,71.05,13.19,85,23,20,1,2,0,0,0,0,1,0,0,1,0,1,1,3,2,4,5,3,1,0
UBC,2007,S,GEOG,350, ,OVERALL,"URBAN GEOG"," ",23,71.05,13.19,85,23,20,1,2,0,0,0,0,1,0,0,1,0,1,1,3,2,4,5,3,1,0
UBC,2007,S,GEOG,390,A,951,"SELECTED REGIONS","",40,75.2,3.92,80,68,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,5,13,0,0
UBC,2007,S,GEOG,390, ,OVERALL,"SELECTED REGIONS"," ",40,75.2,3.92,80,68,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,5,13,0,0
UBC,2007,S,GEOG,599, ,941,"MASTERS THESIS","",25,86.17,3.87,90,80,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
UBC,2007,S,GEOG,599, ,OVERALL,"MASTERS THESIS"," ",25,86.17,3.87,90,80,6,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1
UBC,2007,S,GEOG,699, ,941,"PHD THESIS","",68,,,,,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,S,GEOG,699, ,OVERALL,"PHD THESIS"," ",68,,,,,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
