Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,S,GERM,100, ,921,"BEGIN GERM I","",25,87.87,5.93,95,71,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,12
UBC,2007,S,GERM,100, ,923,"BEGIN GERM I","",23,81.53,12.8,95,44,18,1,4,0,0,0,0,0,0,1,1,0,1,0,0,0,1,3,3,5,5
UBC,2007,S,GERM,100, ,OVERALL,"BEGIN GERM I"," ",48,85,10.05,95,44,41,1,6,0,0,0,0,0,0,1,1,0,1,0,0,1,1,4,6,11,17
UBC,2007,S,GERM,110, ,921,"BEGIN GERM 2","",22,78.6,10.48,98,61,20,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,4,3,2,3,4
UBC,2007,S,GERM,110, ,OVERALL,"BEGIN GERM 2"," ",22,78.6,10.48,98,61,20,0,0,2,0,0,0,0,0,0,0,0,0,2,1,1,4,3,2,3,4
UBC,2007,S,GERM,200, ,921,"INTER GERM I","",26,80.21,6.06,96,70,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,1
UBC,2007,S,GERM,200, ,OVERALL,"INTER GERM I"," ",26,80.21,6.06,96,70,24,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,4,5,6,7,1
UBC,2007,S,GERM,210, ,921,"INTER GERM II","",16,80.47,7.04,93,67,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,3,5,1
UBC,2007,S,GERM,210, ,OVERALL,"INTER GERM II"," ",16,80.47,7.04,93,67,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,3,1,3,5,1
UBC,2007,S,GERM,433, ,921,"GERM READ KNOW 1","",36,75.26,7.88,93,60,35,0,0,1,0,0,0,0,0,0,0,0,0,1,7,3,6,9,7,0,2
UBC,2007,S,GERM,433, ,923,"GERM READ KNOW 1","",48,79.22,8.32,95,61,45,0,2,1,0,0,0,0,0,0,0,0,0,1,5,3,6,5,11,10,4
UBC,2007,S,GERM,433, ,OVERALL,"GERM READ KNOW 1"," ",84,77.49,8.32,95,60,80,0,2,2,0,0,0,0,0,0,0,0,0,2,12,6,12,14,18,10,6
UBC,2007,S,GERM,434, ,921,"GERM READ KNOW 2","",25,79.54,9.62,94,50,24,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,1,3,7,6,2
UBC,2007,S,GERM,434, ,OVERALL,"GERM READ KNOW 2"," ",25,79.54,9.62,94,50,24,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,1,3,7,6,2
