Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,S,NURS,309, ,98A,"CONTMP NURS PRC","",18,76.65,8.89,86,47,16,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,7,5,1,0
UBC,2007,S,NURS,309, ,OVERALL,"CONTMP NURS PRC"," ",18,76.65,8.89,86,47,16,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,7,5,1,0
UBC,2007,S,NURS,312, ,941,"SUPT ENV HLTH FM","",57,88.23,3.33,96,80,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,19
UBC,2007,S,NURS,312, ,OVERALL,"SUPT ENV HLTH FM"," ",57,88.23,3.33,96,80,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,19
UBC,2007,S,NURS,321, ,941,"NURS RLS&CMP II","",57,87.16,5.7,99,69,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,9,24,20
UBC,2007,S,NURS,321, ,OVERALL,"NURS RLS&CMP II"," ",57,87.16,5.7,99,69,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,9,24,20
UBC,2007,S,NURS,331, ,941,"NURSING CARE FML","",57,72.89,4.71,83,59,57,0,0,0,0,0,0,0,0,0,0,0,1,1,4,14,19,16,2,0,0
UBC,2007,S,NURS,331, ,OVERALL,"NURSING CARE FML"," ",57,72.89,4.71,83,59,57,0,0,0,0,0,0,0,0,0,0,0,1,1,4,14,19,16,2,0,0
UBC,2007,S,NURS,350, ,98A,"SOCIOCLT CNS H&I","",17,82.06,6.46,93,71,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7,2,3
UBC,2007,S,NURS,350, ,OVERALL,"SOCIOCLT CNS H&I"," ",17,82.06,6.46,93,71,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7,2,3
UBC,2007,S,NURS,410,D,98A,"EXPL AVE NURS PR","",13,78,8.4,92,65,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,5,1,1
UBC,2007,S,NURS,410, ,OVERALL,"EXPL AVE NURS PR"," ",46,81.16,14.52,93,0,42,1,3,0,0,1,0,0,0,0,1,0,0,0,2,1,2,4,15,8,10
UBC,2007,S,NURS,410, ,OVERALL,"EXPL AVE NURS PR"," ",46,81.16,14.52,93,0,42,1,3,0,0,1,0,0,0,0,1,0,0,0,2,1,2,4,15,8,10
UBC,2007,S,NURS,410,J,98A,"EXPL AVE NURS PR","",14,84.23,6.41,92,73,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3
UBC,2007,S,NURS,410, ,OVERALL,"EXPL AVE NURS PR"," ",46,81.16,14.52,93,0,42,1,3,0,0,1,0,0,0,0,1,0,0,0,2,1,2,4,15,8,10
UBC,2007,S,NURS,410, ,OVERALL,"EXPL AVE NURS PR"," ",46,81.16,14.52,93,0,42,1,3,0,0,1,0,0,0,0,1,0,0,0,2,1,2,4,15,8,10
UBC,2007,S,NURS,410,Q,98A,"EXPL AVE NURS PR","",16,79.75,21.75,91,0,15,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,7,3,4
UBC,2007,S,NURS,410, ,OVERALL,"EXPL AVE NURS PR"," ",46,81.16,14.52,93,0,42,1,3,0,0,1,0,0,0,0,1,0,0,0,2,1,2,4,15,8,10
UBC,2007,S,NURS,410, ,OVERALL,"EXPL AVE NURS PR"," ",46,81.16,14.52,93,0,42,1,3,0,0,1,0,0,0,0,1,0,0,0,2,1,2,4,15,8,10
UBC,2007,S,NURS,411,A,941,"EXPL AVE NURS PR","",20,88.05,2.58,92,83,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,7
UBC,2007,S,NURS,411, ,OVERALL,"EXPL AVE NURS PR"," ",56,85.39,5.26,95,69,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,12,24,12
UBC,2007,S,NURS,411,B,941,"EXPL AVE NURS PR","",12,83.08,3.23,88,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,0
