Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,BAIM,500, ,001,"INTRL TRDG ENVR","Wosk, Larry",26,79.54,3.15,86,76,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,3,0
UBC,2007,W,BAIM,500, ,002,"INTRL TRDG ENVR","Wosk, Larry",19,79.42,5.04,87,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,5,4,0
UBC,2007,W,BAIM,500, ,306,"INTRL TRDG ENVR","Wosk, Larry",20,78.6,4.77,86,68,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,11,1,0
UBC,2007,W,BAIM,500, ,OVERALL,"INTRL TRDG ENVR"," ",65,79.22,4.24,87,68,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,28,22,8,0
UBC,2007,W,BAIM,501, ,001,"MLTINAT ENTERPRS","Wosk, Larry",15,80.67,7.12,94,68,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,2,2
UBC,2007,W,BAIM,501, ,306,"MLTINAT ENTERPRS","Wosk, Larry",24,82.33,3.5,89,74,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,12,8,0
UBC,2007,W,BAIM,501, ,OVERALL,"MLTINAT ENTERPRS"," ",39,81.69,5.17,94,68,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,18,10,2
UBC,2007,W,BAIM,503, ,001,"ISS INTR TRDG PL","Vertinsky, Ilan Boris",8,83.38,2.62,86,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0
UBC,2007,W,BAIM,503, ,OVERALL,"ISS INTR TRDG PL"," ",8,83.38,2.62,86,78,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,0
UBC,2007,W,BAIM,510, ,001,"INTR FIN ENVIRON","Levi, Maurice David",43,78.37,9.87,96,60,43,0,0,0,0,0,0,0,0,0,0,0,0,4,1,6,7,2,9,9,5
UBC,2007,W,BAIM,510, ,806,"INTR FIN ENVIRON","Levi, Maurice David",39,73.21,11.51,95,50,39,0,0,0,0,0,0,0,0,0,0,3,2,3,1,8,6,5,5,2,4
UBC,2007,W,BAIM,510, ,OVERALL,"INTR FIN ENVIRON"," ",82,75.91,10.93,96,50,82,0,0,0,0,0,0,0,0,0,0,3,2,7,2,14,13,7,14,11,9
UBC,2007,W,BAIM,512, ,001,"INTR FIN MGMT","Levi, Maurice David",27,82.11,9.47,96,60,27,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6,0,7,8
UBC,2007,W,BAIM,512, ,OVERALL,"INTR FIN MGMT"," ",28,82.68,9.77,98,60,28,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,6,0,7,9
UBC,2007,W,BAIM,521, ,001,"INTR MKTG STRTGY","JACKSON, EAN",15,87.13,5.14,93,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,6
UBC,2007,W,BAIM,521, ,OVERALL,"INTR MKTG STRTGY"," ",15,87.13,5.14,93,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,6
