Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,DENT,410, ,001,"DENTISTRY I","",39,85,4.16,90,67,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,24,2
UBC,2007,W,DENT,410, ,OVERALL,"DENTISTRY I"," ",39,85,4.16,90,67,39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,24,2
UBC,2007,W,DENT,420, ,001,"DENT II","Whitney, Eli",42,84.85,6.4,91,48,40,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,11,25,3
UBC,2007,W,DENT,420, ,OVERALL,"DENT II"," ",43,84.83,6.32,91,48,41,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,12,25,3
UBC,2007,W,DENT,430, ,001,"DENTISTRY III","",43,81.63,2.66,87,74,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,29,8,0
UBC,2007,W,DENT,430, ,OVERALL,"DENTISTRY III"," ",43,81.63,2.66,87,74,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,29,8,0
UBC,2007,W,DENT,440, ,001,"DENTISTRY lV","",49,78.57,5.73,85,60,49,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,19,20,3,0
UBC,2007,W,DENT,440, ,OVERALL,"DENTISTRY lV"," ",49,78.57,5.73,85,60,49,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,3,19,20,3,0
UBC,2007,W,DENT,540, ,001,"RS MTH&SEM ORBI","",5,92.4,2.88,97,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2007,W,DENT,540, ,OVERALL,"RS MTH&SEM ORBI"," ",5,92.4,2.88,97,90,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
UBC,2007,W,DENT,543, ,001,"ADV OCCL&ARTICUL","",4,85,0,85,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UBC,2007,W,DENT,543, ,OVERALL,"ADV OCCL&ARTICUL"," ",4,85,0,85,85,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
UBC,2007,W,DENT,544,A,201,"ADV TPCS ORAL MB","Waterfield, John Douglas",5,82.8,3.03,86,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
UBC,2007,W,DENT,544, ,OVERALL,"ADV TPCS ORAL MB"," ",5,82.8,3.03,86,78,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
UBC,2007,W,DENT,555, ,001,"ORAL PATHOLOGY","",4,86.75,4.5,89,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2007,W,DENT,555, ,OVERALL,"ORAL PATHOLOGY"," ",4,86.75,4.5,89,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
UBC,2007,W,DENT,570, ,001,"PRDNTL CASE MGMT","",4,80,0,80,80,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UBC,2007,W,DENT,570, ,OVERALL,"PRDNTL CASE MGMT"," ",4,80,0,80,80,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
UBC,2007,W,DENT,572, ,001,"LIT RVW PRDT I","",5,80.5,9.19,87,74,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
UBC,2007,W,DENT,572, ,OVERALL,"LIT RVW PRDT I"," ",5,80.5,9.19,87,74,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
UBC,2007,W,DENT,575, ,001,"IMPLANT THERAPY","",6,85,0,85,85,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
