Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,NEST,101, ,001,"NEAST&EGYPT ARCH","Cooper, Elisabeth",56,70.04,15.16,96,37,53,3,0,0,0,0,0,0,2,1,3,8,6,2,7,2,4,7,5,8,4
UBC,2007,W,NEST,101, ,002,"NEAST&EGYPT ARCH","Cooper, Elisabeth",59,65.67,15.44,91,0,50,4,4,1,0,1,0,0,0,3,4,9,1,9,5,7,4,3,7,3,2
UBC,2007,W,NEST,101, ,OVERALL,"NEAST&EGYPT ARCH"," ",115,67.89,15.39,96,0,103,7,4,1,0,1,0,0,2,4,7,17,7,11,12,9,8,10,12,11,6
UBC,2007,W,NEST,301, ,001,"ANCIENT NR EAST","Cooper, Elisabeth",25,74.86,17.41,95,17,20,2,1,2,0,0,1,0,0,1,2,0,0,1,1,1,7,0,2,6,2
UBC,2007,W,NEST,301, ,OVERALL,"ANCIENT NR EAST"," ",25,74.86,17.41,95,17,20,2,1,2,0,0,1,0,0,1,2,0,0,1,1,1,7,0,2,6,2
UBC,2007,W,NEST,302, ,001,"ARCH NEAR EAST","Cooper, Elisabeth",16,75.85,10.35,92,60,13,0,3,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,2,1,2
UBC,2007,W,NEST,302, ,OVERALL,"ARCH NEAR EAST"," ",16,75.85,10.35,92,60,13,0,3,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,2,1,2
UBC,2007,W,NEST,303, ,001,"HIST ANC EGYPT","Schneider, Thomas",50,70.82,16.23,100,0,46,3,0,1,0,1,0,0,1,1,3,1,2,3,5,8,11,5,6,1,4
UBC,2007,W,NEST,303, ,OVERALL,"HIST ANC EGYPT"," ",50,70.82,16.23,100,0,46,3,0,1,0,1,0,0,1,1,3,1,2,3,5,8,11,5,6,1,4
UBC,2007,W,NEST,310, ,001,"HIST WMN MUSLIM","Yazigi, Maya",21,69.7,16.38,86,28,17,3,0,1,0,0,0,1,1,1,3,0,0,2,1,2,2,4,2,4,0
UBC,2007,W,NEST,310, ,OVERALL,"HIST WMN MUSLIM"," ",21,69.7,16.38,86,28,17,3,0,1,0,0,0,1,1,1,3,0,0,2,1,2,2,4,2,4,0
UBC,2007,W,NEST,312, ,001,"RELIG ANCT EGYPT","Schneider, Thomas",47,75.43,16.94,100,0,43,1,2,1,0,1,0,0,0,0,1,4,0,1,3,6,2,8,4,4,11
UBC,2007,W,NEST,312, ,OVERALL,"RELIG ANCT EGYPT"," ",47,75.43,16.94,100,0,43,1,2,1,0,1,0,0,0,0,1,4,0,1,3,6,2,8,4,4,11
UBC,2007,W,NEST,313, ,001,"INT MID EGYPTIAN","Schneider, Thomas",13,72.55,15.83,98,38,10,1,1,1,0,0,0,0,1,0,1,0,1,0,1,2,0,2,3,0,1
UBC,2007,W,NEST,313, ,OVERALL,"INT MID EGYPTIAN"," ",13,72.55,15.83,98,38,10,1,1,1,0,0,0,0,1,0,1,0,1,0,1,2,0,2,3,0,1
UBC,2007,W,NEST,501,B,001,"STD NE ARCH IRON","Cooper, Elisabeth",12,83.17,4.67,90,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1
UBC,2007,W,NEST,501, ,OVERALL,"STD NE ARCH IRON"," ",12,83.17,4.67,90,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,1
UBC,2007,W,NEST,502,B,001,"WAR DIPL AN EGYP","Schneider, Thomas",5,84.4,13.01,100,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
UBC,2007,W,NEST,502, ,OVERALL,"WAR DIPL AN EGYP"," ",5,84.4,13.01,100,65,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2
