Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2007,W,SCED,313, ,301,"C&I BIOL SC SEC","Barnes, Barry",16,,,,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,313, ,302,"C&I BIOL SC SEC","Mayer-Smith, Jolie",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,313, ,OVERALL,"C&I BIOL SC SEC"," ",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,314, ,301,"C & I CHEM SEC","Hanson, Eric Peter",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,314, ,OVERALL,"C & I CHEM SEC"," ",13,,,,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,315, ,301,"C&I ER&SP SC SEC","Gurney, Bruce",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,315, ,OVERALL,"C&I ER&SP SC SEC"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,316,A,301,"C&I GEN SC SEC","Gurney, Bruce",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,316,A,302,"C&I GEN SC SEC","Anderson, David",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,316,A,303,"C&I GEN SC SEC","Hanson, Eric Peter",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,316, ,OVERALL,"C&I GEN SC SEC"," ",70,,,,,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,317, ,301,"C&I PHYSICS SEC","Nashon, Samson",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,317, ,OVERALL,"C&I PHYSICS SEC"," ",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,101,"C&I SCIENCE ELEM","AHRENS, ROLF",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,102,"C&I SCIENCE ELEM","Scott, Sandra",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,103,"C&I SCIENCE ELEM","AHRENS, ROLF",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,104,"C&I SCIENCE ELEM","Scott, Sandra",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,105,"C&I SCIENCE ELEM","Lacroix, Remi",27,,,,,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,107,"C&I SCIENCE ELEM","AHRENS, ROLF",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,108,"C&I SCIENCE ELEM","REIMER, LEN",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,109,"C&I SCIENCE ELEM","NICOLSON, CYNTHIA PRATT",29,,,,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,110,"C&I SCIENCE ELEM","REIMER, LEN",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,201,"C&I SCIENCE ELEM","REIMER, LEN",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,202,"C&I SCIENCE ELEM","REIMER, LEN",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,401,"C&I SCIENCE ELEM","Scott, Sandra",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,640,"C&I SCIENCE ELEM","SMYTH, KEITH",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,320, ,OVERALL,"C&I SCIENCE ELEM"," ",434,,,,,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2007,W,SCED,331, ,221,"TEACH PHYSCL SCI","Adler, James Douglas",26,92.19,2.87,96,83,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24
UBC,2007,W,SCED,331, ,OVERALL,"TEACH PHYSCL SCI"," ",26,92.19,2.87,96,83,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24
UBC,2007,W,SCED,421, ,62A,"TCH LIFE SCI","STONEHOUSE, CHARLES",15,88.07,4.89,94,78,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,7
