Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2008,S,CNPS,362, ,922,"BASIC INTVW SKLS","",9,84.22,9.36,95,65,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,1,3
UBC,2008,S,CNPS,362, ,923,"BASIC INTVW SKLS","",10,87.8,3.85,93,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4
UBC,2008,S,CNPS,362, ,951,"BASIC INTVW SKLS","",14,87,1.24,88,85,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
UBC,2008,S,CNPS,362, ,952,"BASIC INTVW SKLS","",16,85.69,5.67,93,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,4,5
UBC,2008,S,CNPS,362, ,OVERALL,"BASIC INTVW SKLS"," ",49,86.22,5.42,95,65,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,9,24,12
UBC,2008,S,CNPS,363, ,921,"CAREER COUNSELNG","",26,79.92,7.89,92,65,24,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,6,7,2
UBC,2008,S,CNPS,363, ,93Q,"CAREER COUNSELNG","",25,81.52,6.09,92,65,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,7,7,6,2
UBC,2008,S,CNPS,363, ,OVERALL,"CAREER COUNSELNG"," ",51,80.73,7,92,65,49,0,2,0,0,0,0,0,0,0,0,0,0,0,5,1,3,10,13,13,4
UBC,2008,S,CNPS,364, ,93Q,"FMLY ED & CONSUL","",30,85.76,8.63,95,52,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,6,9,10
UBC,2008,S,CNPS,364, ,OVERALL,"FMLY ED & CONSUL"," ",30,85.76,8.63,95,52,29,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,6,9,10
UBC,2008,S,CNPS,365, ,93Q,"INT THRY COUNSEL","",40,77.28,18.59,97,0,38,2,0,0,0,1,1,0,0,0,2,0,0,3,0,3,5,3,11,6,7
UBC,2008,S,CNPS,365, ,951,"INT THRY COUNSEL","",32,80.62,9.56,92,50,29,0,3,0,0,0,0,0,0,0,0,1,0,1,1,1,4,3,4,11,3
UBC,2008,S,CNPS,365, ,OVERALL,"INT THRY COUNSEL"," ",72,78.68,15.44,97,0,67,2,3,0,0,1,1,0,0,0,2,1,0,4,1,4,9,6,15,17,10
UBC,2008,S,CNPS,427, ,93Q,"GUID PLN DCSN MK","",33,83.39,8.31,99,51,33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,9,14,4
