Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2008,S,PHIL,120, ,921,"LOG & CRIT THINK","",101,77.04,10.56,97,41,93,1,7,0,0,0,0,0,0,1,1,2,2,5,9,4,13,17,20,12,9
UBC,2008,S,PHIL,120, ,922,"LOG & CRIT THINK","",39,63.97,17.68,91,19,33,6,0,0,0,0,1,1,2,2,6,4,3,6,2,4,4,2,3,1,4
UBC,2008,S,PHIL,120, ,98A,"LOG & CRIT THINK","",13,55.5,36.06,81,30,1,1,4,0,7,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
UBC,2008,S,PHIL,120, ,GIS,"LOG & CRIT THINK","",18,33.2,27.94,75,0,5,5,2,0,6,3,1,0,1,0,5,3,1,0,0,0,1,0,0,0,0
UBC,2008,S,PHIL,120, ,OVERALL,"LOG & CRIT THINK"," ",171,70.21,18.75,97,0,132,13,13,0,13,3,2,1,4,3,13,9,6,11,11,8,18,19,24,13,13
UBC,2008,S,PHIL,125, ,922,"SCIENTIFC REASON","",46,79.14,19.7,97,1,40,3,3,0,0,1,0,0,1,1,3,2,2,0,1,2,3,5,1,5,19
UBC,2008,S,PHIL,125, ,OVERALL,"SCIENTIFC REASON"," ",46,79.14,19.7,97,1,40,3,3,0,0,1,0,0,1,1,3,2,2,0,1,2,3,5,1,5,19
UBC,2008,S,PHIL,220,A,921,"SYMBOLIC LOGIC I","",28,64.52,25.79,96,12,21,6,1,0,0,0,1,4,0,1,6,1,4,2,1,0,1,2,1,3,6
UBC,2008,S,PHIL,220,A,922,"SYMBOLIC LOGIC I","",63,75.7,21.66,98,0,53,4,6,0,0,3,1,0,0,0,4,1,0,1,5,4,6,6,7,12,11
UBC,2008,S,PHIL,220,A,951,"SYMBOLIC LOGIC I","",52,74.62,16.16,94,0,43,2,7,0,0,1,0,0,0,1,2,2,1,2,3,4,3,12,4,7,5
UBC,2008,S,PHIL,220, ,OVERALL,"SYMBOLIC LOGIC I"," ",143,72.98,21.2,98,0,117,12,14,0,0,4,2,4,0,2,12,4,5,5,9,8,10,20,12,22,22
UBC,2008,S,PHIL,230,A,922,"MORAL & POLI I","",18,77.17,7.37,92,65,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,3,1,2,2
UBC,2008,S,PHIL,230,A,951,"MORAL & POLI I","",20,72.63,9.04,90,50,19,0,1,0,0,0,0,0,0,0,0,1,0,1,3,1,5,4,3,0,1
UBC,2008,S,PHIL,230, ,OVERALL,"MORAL & POLI I"," ",38,74.84,8.48,92,50,37,0,1,0,0,0,0,0,0,0,0,1,0,1,4,2,13,7,4,2,3
UBC,2008,S,PHIL,330,A,922," ","",28,69.92,15.62,81,0,23,1,4,0,0,1,0,0,0,0,1,0,0,0,3,5,9,2,4,0,0
UBC,2008,S,PHIL,330, ,OVERALL," "," ",28,69.92,15.62,81,0,23,1,4,0,0,1,0,0,0,0,1,0,0,0,3,5,9,2,4,0,0
UBC,2008,S,PHIL,338,A,922,"PHIL OF LAW","",39,75.29,6.45,92,62,38,0,1,0,0,0,0,0,0,0,0,0,0,2,2,5,12,6,8,1,2
UBC,2008,S,PHIL,338, ,OVERALL,"PHIL OF LAW"," ",39,75.29,6.45,92,62,38,0,1,0,0,0,0,0,0,0,0,0,0,2,2,5,12,6,8,1,2
UBC,2008,S,PHIL,339,A,922,"PHIL OF ART","",58,72.34,7.87,89,56,53,0,5,0,0,0,0,0,0,0,0,0,5,1,8,9,11,9,6,4,0
UBC,2008,S,PHIL,339, ,OVERALL,"PHIL OF ART"," ",58,72.34,7.87,89,56,53,0,5,0,0,0,0,0,0,0,0,0,5,1,8,9,11,9,6,4,0
UBC,2008,S,PHIL,339,A,922,"PHIL OF ART","",58,72.34,7.87,89,56,53,0,5,0,0,0,0,0,0,0,0,0,5,1,8,9,11,9,6,4,0
UBC,2008,S,PHIL,339, ,OVERALL,"PHIL OF ART"," ",58,72.34,7.87,89,56,53,0,5,0,0,0,0,0,0,0,0,0,5,1,8,9,11,9,6,4,0
UBC,2008,S,PHIL,349,A,98A,"PHIL OF RELIGION","",13,46.67,42.77,84,0,2,1,2,0,8,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
UBC,2008,S,PHIL,349,A,98Z,"PHIL OF RELIGION","",18,78.67,15.31,88,61,3,0,1,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
UBC,2008,S,PHIL,349,A,GIS,"PHIL OF RELIGION","",17,44.14,39.92,87,0,8,6,2,0,1,6,0,0,0,0,6,0,0,0,0,1,3,2,0,2,0
UBC,2008,S,PHIL,349, ,OVERALL,"PHIL OF RELIGION"," ",48,49.7,38.27,88,0,13,7,5,0,23,7,0,0,0,0,7,0,1,1,0,1,3,2,1,4,0
UBC,2008,S,PHIL,375, ,922,"PHILOSOPHY & LIT","",69,71.34,6.41,86,50,62,0,5,0,2,0,0,0,0,0,0,1,2,3,8,17,18,8,2,3,0
UBC,2008,S,PHIL,375, ,OVERALL,"PHILOSOPHY & LIT"," ",70,71.3,6.36,86,50,63,0,5,0,2,0,0,0,0,0,0,1,2,3,8,18,18,8,2,3,0
UBC,2008,S,PHIL,375, ,OVERALL,"PHILOSOPHY & LIT"," ",70,71.3,6.36,86,50,63,0,5,0,2,0,0,0,0,0,0,1,2,3,8,18,18,8,2,3,0
UBC,2008,S,PHIL,400,A,98A,"MORAL,POLI&INDIV","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,S,PHIL,400,A,98Z,"MORAL,POLI&INDIV","",7,,,,,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,S,PHIL,400,A,GIS,"MORAL,POLI&INDIV","",6,56,36.42,89,0,4,2,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,2,0,1,0
UBC,2008,S,PHIL,400, ,OVERALL,"MORAL,POLI&INDIV"," ",18,56,36.42,89,0,4,2,1,0,11,1,0,1,0,0,2,0,0,0,0,1,0,2,0,1,0
UBC,2008,S,PHIL,401,A,GIS,"KNWLDGE EXPL NAT","",7,31.67,35.78,75,0,2,4,1,0,0,3,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0
UBC,2008,S,PHIL,401, ,OVERALL,"KNWLDGE EXPL NAT"," ",12,31.67,35.78,75,0,2,4,2,0,4,3,0,0,0,1,4,0,0,0,1,0,1,0,0,0,0
UBC,2008,S,PHIL,433,A,922,"BIOMEDICAL ETHIC","",40,69.45,7.5,88,55,40,0,0,0,0,0,0,0,0,0,0,0,4,7,5,9,6,5,3,1,0
