Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2008,S,SOCI,100, ,921,"INTRO SOCIOLOGY","",63,67.59,12.08,85,0,58,1,4,0,0,1,0,0,0,0,1,3,3,10,9,8,12,7,3,3,0
UBC,2008,S,SOCI,100, ,951,"INTRO SOCIOLOGY","",31,76.37,6.49,88,63,30,0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,8,5,8,3,0
UBC,2008,S,SOCI,100, ,OVERALL,"INTRO SOCIOLOGY"," ",94,70.55,11.29,88,0,88,1,5,0,0,1,0,0,0,0,1,3,3,11,11,11,20,12,11,6,0
UBC,2008,S,SOCI,200, ,951,"SOCI OF FAMILY","",81,73.96,8.04,91,55,79,0,2,0,0,0,0,0,0,0,0,0,4,4,9,14,12,14,16,5,1
UBC,2008,S,SOCI,200, ,OVERALL,"SOCI OF FAMILY"," ",81,73.96,8.04,91,55,79,0,2,0,0,0,0,0,0,0,0,0,4,4,9,14,12,14,16,5,1
UBC,2008,S,SOCI,201,A,921,"ETHNIC RELATIONS","",20,71.72,8.62,87,56,18,0,1,0,1,0,0,0,0,0,0,0,1,0,5,6,0,0,5,1,0
UBC,2008,S,SOCI,201, ,OVERALL,"ETHNIC RELATIONS"," ",20,71.72,8.62,87,56,18,0,1,0,1,0,0,0,0,0,0,0,1,0,5,6,0,0,5,1,0
UBC,2008,S,SOCI,240,A,921,"SOCL INTERACTION","",35,76.85,10.53,90,50,34,0,1,0,0,0,0,0,0,0,0,1,1,2,3,2,3,5,5,9,3
UBC,2008,S,SOCI,240, ,OVERALL,"SOCL INTERACTION"," ",35,76.85,10.53,90,50,34,0,1,0,0,0,0,0,0,0,0,1,1,2,3,2,3,5,5,9,3
UBC,2008,S,SOCI,250,A,951,"CRIME & SOCIETY","",32,72.1,5.74,85,64,31,0,1,0,0,0,0,0,0,0,0,0,0,0,6,10,5,5,4,1,0
UBC,2008,S,SOCI,250, ,OVERALL,"CRIME & SOCIETY"," ",32,72.1,5.74,85,64,31,0,1,0,0,0,0,0,0,0,0,0,0,0,6,10,5,5,4,1,0
UBC,2008,S,SOCI,310, ,921,"CANADIAN SOCIETY","",21,76.35,6.9,90,66,20,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,2,1
UBC,2008,S,SOCI,310, ,OVERALL,"CANADIAN SOCIETY"," ",21,76.35,6.9,90,66,20,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,2,1
UBC,2008,S,SOCI,312,A,951,"GENDER RELATIONS","",32,72.4,8.23,90,53,30,0,2,0,0,0,0,0,0,0,0,1,1,2,4,6,6,2,6,1,1
UBC,2008,S,SOCI,312, ,OVERALL,"GENDER RELATIONS"," ",32,72.4,8.23,90,53,30,0,2,0,0,0,0,0,0,0,0,1,1,2,4,6,6,2,6,1,1
UBC,2008,S,SOCI,342, ,921,"CONSUM&CONSUMPTN","",52,75.3,12.85,91,15,45,1,2,0,4,0,1,0,0,0,1,1,0,1,8,4,3,10,7,9,2
UBC,2008,S,SOCI,342, ,OVERALL,"CONSUM&CONSUMPTN"," ",52,75.3,12.85,91,15,45,1,2,0,4,0,1,0,0,0,1,1,0,1,8,4,3,10,7,9,2
UBC,2008,S,SOCI,350,A,921,"SOCI THEORIES","",16,86.93,8.48,98,65,15,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4,7
UBC,2008,S,SOCI,350, ,OVERALL,"SOCI THEORIES"," ",28,85.88,20,100,0,23,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,5,14
UBC,2008,S,SOCI,350,B,951,"SOCI THEORIES","",12,84.11,31.92,100,0,8,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7
UBC,2008,S,SOCI,350, ,OVERALL,"SOCI THEORIES"," ",28,85.88,20,100,0,23,1,4,0,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,5,14
UBC,2008,S,SOCI,369,A,921,"SOCIO OF SEXUAL","",32,72.9,8.82,88,50,31,0,0,1,0,0,0,0,0,0,0,1,3,1,2,6,6,5,5,2,0
UBC,2008,S,SOCI,369, ,OVERALL,"SOCIO OF SEXUAL"," ",32,72.9,8.82,88,50,31,0,0,1,0,0,0,0,0,0,0,1,3,1,2,6,6,5,5,2,0
UBC,2008,S,SOCI,414,A,921,"FEMINIST THEORY","",35,77.45,9.16,92,42,32,1,2,0,0,0,0,0,0,1,1,0,0,0,1,4,5,8,10,3,1
UBC,2008,S,SOCI,414, ,OVERALL,"FEMINIST THEORY"," ",35,77.45,9.16,92,42,32,1,2,0,0,0,0,0,0,1,1,0,0,0,1,4,5,8,10,3,1
UBC,2008,S,SOCI,476, ,921,"INTERPERS DYNAMC","",32,77.2,10.95,94,44,29,1,2,0,0,0,0,0,0,1,1,1,0,2,1,1,1,6,10,5,2
UBC,2008,S,SOCI,476, ,OVERALL,"INTERPERS DYNAMC"," ",32,77.2,10.95,94,44,29,1,2,0,0,0,0,0,0,1,1,1,0,2,1,1,1,6,10,5,2
UBC,2008,S,SOCI,495, ,921,"ADV STUDIES SOCI","",5,82.4,8.56,92,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1
UBC,2008,S,SOCI,495, ,OVERALL,"ADV STUDIES SOCI"," ",5,82.4,8.56,92,72,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1
UBC,2008,S,SOCI,549, ,OVERALL,"MASTERS THESIS"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,S,SOCI,549, ,OVERALL,"MASTERS THESIS"," ",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
