Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2008,W,ATSC,201, ,101,"Meteor of Storms","",76,83.54,13.28,100,31,70,2,3,0,1,0,0,0,1,1,2,0,2,0,1,7,1,4,13,13,29
UBC,2008,W,ATSC,201, ,OVERALL,"Meteor of Storms"," ",76,83.54,13.28,100,31,70,2,3,0,1,0,0,0,1,1,2,0,2,0,1,7,1,4,13,13,29
UBC,2008,W,ATSC,212, ,201,"INTRO COMPUT LAB","",11,80.27,13.24,92,53,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,5
UBC,2008,W,ATSC,212, ,OVERALL,"INTRO COMPUT LAB"," ",11,80.27,13.24,92,53,11,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,5
UBC,2008,W,ATSC,301, ,101,"ATMS RDT&RMT SNS","",17,74.63,9.63,90,56,16,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,2,4,3,1,1
UBC,2008,W,ATSC,301, ,OVERALL,"ATMS RDT&RMT SNS"," ",17,74.63,9.63,90,56,16,0,1,0,0,0,0,0,0,0,0,0,2,0,1,2,2,4,3,1,1
UBC,2008,W,ATSC,303, ,201,"MTHDS ATMOS SC","",15,77.07,6.69,92,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,1,1,1
UBC,2008,W,ATSC,303, ,OVERALL,"MTHDS ATMOS SC"," ",15,77.07,6.69,92,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,6,1,1,1
UBC,2008,W,ATSC,414, ,201,"GEOPHYS FLD DYNM","",7,69.57,13.58,87,52,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,2,0
UBC,2008,W,ATSC,414, ,OVERALL,"GEOPHYS FLD DYNM"," ",7,69.57,13.58,87,52,7,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,2,0
UBC,2008,W,ATSC,699, ,001,"DOC DISSERTATION","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,ATSC,699, ,OVERALL,"DOC DISSERTATION"," ",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
