Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2008,W,ECED,405, ,221,"EAR CHILD EDUC","",30,89.5,3.95,96,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,17
UBC,2008,W,ECED,405, ,63A,"EAR CHILD EDUC","",23,86.36,6.51,95,62,22,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,11,5
UBC,2008,W,ECED,405, ,OVERALL,"EAR CHILD EDUC"," ",53,88.17,5.36,96,62,52,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,21,22
UBC,2008,W,ECED,415, ,221,"LEARN PRIM YRS","",22,75.45,18.68,96,0,21,1,0,0,0,1,0,0,0,0,1,0,0,1,2,1,1,5,7,2,2
UBC,2008,W,ECED,415, ,OVERALL,"LEARN PRIM YRS"," ",22,75.45,18.68,96,0,21,1,0,0,0,1,0,0,0,0,1,0,0,1,2,1,1,5,7,2,2
UBC,2008,W,ECED,417, ,221,"SUP LRN KNDGRN","",26,87.12,4.37,93,73,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,12,8
UBC,2008,W,ECED,417, ,OVERALL,"SUP LRN KNDGRN"," ",26,87.12,4.37,93,73,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,12,8
UBC,2008,W,ECED,421, ,63C,"HOME/SCHL/CMNTY","",17,84.19,4.93,92,75,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,3
UBC,2008,W,ECED,421, ,OVERALL,"HOME/SCHL/CMNTY"," ",17,84.19,4.93,92,75,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,7,3
UBC,2008,W,ECED,438, ,63A,"OBSVTN & RECRDNG","",21,79.94,8.89,91,62,18,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,4,4,3
UBC,2008,W,ECED,438, ,OVERALL,"OBSVTN & RECRDNG"," ",21,79.94,8.89,91,62,18,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,4,4,3
UBC,2008,W,ECED,508,A,051,"REV RES ED MTHDS","",15,86.13,7.24,95,76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,8
UBC,2008,W,ECED,508, ,OVERALL,"REV RES ED MTHDS"," ",15,86.13,7.24,95,76,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,8
UBC,2008,W,ECED,585,A,051,"RES EARLY CHLDHD","",16,85.69,5.59,95,75,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,5
UBC,2008,W,ECED,585, ,OVERALL,"RES EARLY CHLDHD"," ",16,85.69,5.59,95,75,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,5
UBC,2008,W,ECED,590, ,051,"GRADUATING PAPER","",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,ECED,590, ,OVERALL,"GRADUATING PAPER"," ",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
