Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2008,W,FOOD,500, ,001,"M.SC. SEMINAR","",11,,,,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,FOOD,500, ,OVERALL,"M.SC. SEMINAR"," ",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,FOOD,510, ,001,"ADVANCES FD SCI","",10,80.5,5.28,85,68,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,2,0
UBC,2008,W,FOOD,510, ,OVERALL,"ADVANCES FD SCI"," ",10,80.5,5.28,85,68,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,2,0
UBC,2008,W,FOOD,521, ,001,"ADV FOOD BIOTECH","",18,79.22,9.16,94,65,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,4,0,5
UBC,2008,W,FOOD,521, ,OVERALL,"ADV FOOD BIOTECH"," ",18,79.22,9.16,94,65,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,4,0,5
UBC,2008,W,FOOD,523, ,001,"ADV FOOD MICROBI","",14,85.29,3.63,90,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,1
UBC,2008,W,FOOD,523, ,OVERALL,"ADV FOOD MICROBI"," ",14,85.29,3.63,90,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,1
UBC,2008,W,FOOD,524, ,001,"ADV FOOD PROCESS","",11,81.91,7.85,91,64,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,2
UBC,2008,W,FOOD,524, ,OVERALL,"ADV FOOD PROCESS"," ",11,81.91,7.85,91,64,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,3,2
UBC,2008,W,FOOD,525, ,001,"ADV FOOD TOXICOL","",13,81.62,4.21,87,76,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0
UBC,2008,W,FOOD,525, ,OVERALL,"ADV FOOD TOXICOL"," ",13,81.62,4.21,87,76,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0
UBC,2008,W,FOOD,527,A,002,"SP TPS FOOD SCIE","",16,82.69,5.79,94,75,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,5,4,2
UBC,2008,W,FOOD,527, ,OVERALL,"SP TPS FOOD SCIE"," ",30,85.23,7.73,96,60,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,6,9,9
UBC,2008,W,FOOD,527,B,002,"SP TPS FOOD SCIE","",14,88.14,8.8,96,60,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,7
UBC,2008,W,FOOD,527, ,OVERALL,"SP TPS FOOD SCIE"," ",30,85.23,7.73,96,60,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,6,9,9
UBC,2008,W,FOOD,528, ,001,"INTL FD LAW&REGS","",16,83.25,5.8,92,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,2
UBC,2008,W,FOOD,528, ,OVERALL,"INTL FD LAW&REGS"," ",16,83.25,5.8,92,71,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,2
UBC,2008,W,FOOD,549, ,001,"MASTERS THESIS","",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,FOOD,549, ,OVERALL,"MASTERS THESIS"," ",13,,,,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,FOOD,600, ,001,"PH.D. SEMINAR","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,FOOD,600, ,OVERALL,"PH.D. SEMINAR"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,FOOD,649, ,001,"DOC DISSERTATION","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,FOOD,649, ,OVERALL,"DOC DISSERTATION"," ",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
