Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2008,W,LARC,316, ,001,"TREE SHRB LND","",18,80.65,7.42,89,58,17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,3,6,5,0
UBC,2008,W,LARC,316, ,OVERALL,"TREE SHRB LND"," ",18,80.65,7.42,89,58,17,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,3,6,5,0
UBC,2008,W,LARC,422, ,001,"LARC HISTORY","",15,84.47,4.94,90,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,2
UBC,2008,W,LARC,422, ,OVERALL,"LARC HISTORY"," ",15,84.47,4.94,90,75,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,8,2
UBC,2008,W,LARC,431, ,001,"LAND TECHNLGY I","",6,80.67,2.34,84,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
UBC,2008,W,LARC,431, ,OVERALL,"LAND TECHNLGY I"," ",6,80.67,2.34,84,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0
UBC,2008,W,LARC,440, ,001,"SITE ANALYS 2","",22,79.09,4.15,84,71,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,14,0,0
UBC,2008,W,LARC,440, ,OVERALL,"SITE ANALYS 2"," ",22,79.09,4.15,84,71,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,14,0,0
UBC,2008,W,LARC,501, ,001,"DSGN STD 1: INTR","",14,83.64,3.3,88,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,0
UBC,2008,W,LARC,501, ,OVERALL,"DSGN STD 1: INTR"," ",14,83.64,3.3,88,77,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,8,0
UBC,2008,W,LARC,502, ,001,"DSGN STD 2: D MT","",17,78.71,6.14,86,65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,8,2,0
UBC,2008,W,LARC,502, ,OVERALL,"DSGN STD 2: D MT"," ",17,78.71,6.14,86,65,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,8,2,0
UBC,2008,W,LARC,503, ,001,"DSGN STD 3: DEV","",13,86.69,3.61,92,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4
UBC,2008,W,LARC,503, ,OVERALL,"DSGN STD 3: DEV"," ",13,86.69,3.61,92,80,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,4
UBC,2008,W,LARC,504, ,001,"DSGN STD 4: UR&R","",17,82.18,3.76,87,74,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,5,0
UBC,2008,W,LARC,504, ,002,"DSGN STD 4: UR&R","",16,83.81,3.51,89,75,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,7,0
UBC,2008,W,LARC,504, ,OVERALL,"DSGN STD 4: UR&R"," ",33,82.97,3.68,89,74,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,15,12,0
UBC,2008,W,LARC,510,A,001,"ADV FIELD STDIES","",14,82.07,4.21,85,68,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,1,0
UBC,2008,W,LARC,510, ,OVERALL,"ADV FIELD STDIES"," ",30,81.17,3.1,85,68,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,23,1,0
UBC,2008,W,LARC,510,B,002,"ADV FIELD STDIES","",16,80.38,1.31,82,78,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0
UBC,2008,W,LARC,510, ,OVERALL,"ADV FIELD STDIES"," ",30,81.17,3.1,85,68,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,23,1,0
UBC,2008,W,LARC,511, ,001,"INTR WORKSHOP","",15,87,0,87,87,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
UBC,2008,W,LARC,511, ,OVERALL,"INTR WORKSHOP"," ",15,87,0,87,87,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
UBC,2008,W,LARC,515, ,001,"BEHAV PLNT DESGN","",17,81.36,6.48,92,72,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,2,2
UBC,2008,W,LARC,515, ,OVERALL,"BEHAV PLNT DESGN"," ",17,81.36,6.48,92,72,14,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,2,2
UBC,2008,W,LARC,520, ,001,"THY'S IN EXP&PLC","",30,79.27,4.53,87,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,9,5,0
UBC,2008,W,LARC,520, ,OVERALL,"THY'S IN EXP&PLC"," ",30,79.27,4.53,87,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,9,5,0
UBC,2008,W,LARC,525, ,001,"DSGN-RES MTHDS","",16,79.5,3.54,87,72,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,1,0
UBC,2008,W,LARC,525, ,OVERALL,"DSGN-RES MTHDS"," ",16,79.5,3.54,87,72,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,6,1,0
UBC,2008,W,LARC,531, ,001,"LAND TECH I SITE","",16,81.44,2.8,86,76,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,0
UBC,2008,W,LARC,531, ,OVERALL,"LAND TECH I SITE"," ",16,81.44,2.8,86,76,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,0
UBC,2008,W,LARC,532, ,001,"LDSC TECH II STR","",16,83.19,4.87,91,72,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,6,1
UBC,2008,W,LARC,532, ,OVERALL,"LDSC TECH II STR"," ",16,83.19,4.87,91,72,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,6,1
UBC,2008,W,LARC,535,A,001,"INTR CMPTR LARC","",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,LARC,535, ,OVERALL,"INTR CMPTR LARC"," ",59,,,,,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,LARC,535,B,001,"INTR CMPTR LARC","",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,LARC,535, ,OVERALL,"INTR CMPTR LARC"," ",59,,,,,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,LARC,535,C,001,"INTR CMPTR LARC","",12,,,,,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,LARC,535, ,OVERALL,"INTR CMPTR LARC"," ",59,,,,,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
