Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2008,W,LAW ,100, ,001,"CAN CONST LAW","",45,73.84,9,87,50,45,0,0,0,0,0,0,0,0,0,0,2,2,2,4,5,8,9,10,3,0
UBC,2008,W,LAW ,100, ,002,"CAN CONST LAW","",47,72.82,7.11,86,50,45,0,2,0,0,0,0,0,0,0,0,2,0,1,5,9,14,7,4,3,0
UBC,2008,W,LAW ,100, ,003,"CAN CONST LAW","",45,74.44,7.76,90,52,43,0,2,0,0,0,0,0,0,0,0,1,0,6,1,3,7,15,8,1,1
UBC,2008,W,LAW ,100, ,004,"CAN CONST LAW","",44,74.57,4.2,82,64,42,0,2,0,0,0,0,0,0,0,0,0,0,0,2,10,11,13,6,0,0
UBC,2008,W,LAW ,100, ,OVERALL,"CAN CONST LAW"," ",181,73.9,7.24,90,50,175,0,6,0,0,0,0,0,0,0,0,5,2,9,12,27,40,44,28,7,1
UBC,2008,W,LAW ,110, ,001,"CONTRACTS","",46,74.8,2.98,82,69,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,22,15,3,0,0
UBC,2008,W,LAW ,110, ,002,"CONTRACTS","",43,74.88,5.51,84,50,41,0,2,0,0,0,0,0,0,0,0,1,0,0,0,5,16,12,7,0,0
UBC,2008,W,LAW ,110, ,003,"CONTRACTS","",46,74.58,4.9,87,64,45,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,15,11,4,2,0
UBC,2008,W,LAW ,110, ,004,"CONTRACTS","",39,74.74,3.02,81,68,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,16,1,0,0
UBC,2008,W,LAW ,110, ,OVERALL,"CONTRACTS"," ",174,74.75,4.22,87,50,170,0,4,0,0,0,0,0,0,0,0,1,0,0,2,26,70,54,15,2,0
