Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2008,W,SSED,314,A,301,"C & I SOC ST SEC","",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,314,A,302,"C & I SOC ST SEC","",26,,,,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,314,A,303,"C & I SOC ST SEC","",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,314,A,304,"C & I SOC ST SEC","",25,,,,,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,314,A,61B,"C & I SOC ST SEC","",16,,,,,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,314,A,640,"C & I SOC ST SEC","",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,314, ,OVERALL,"C & I SOC ST SEC"," ",120,,,,,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,317, ,301,"CURR TPCS SS:SEC","",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,317, ,302,"CURR TPCS SS:SEC","",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,317, ,640,"CURR TPCS SS:SEC","",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,317, ,OVERALL,"CURR TPCS SS:SEC"," ",69,,,,,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,101,"C&I SOC STD ELEM","",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,102,"C&I SOC STD ELEM","",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,103,"C&I SOC STD ELEM","",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,104,"C&I SOC STD ELEM","",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,105,"C&I SOC STD ELEM","",22,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,107,"C&I SOC STD ELEM","",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,108,"C&I SOC STD ELEM","",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,109,"C&I SOC STD ELEM","",26,,,,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,110,"C&I SOC STD ELEM","",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,201,"C&I SOC STD ELEM","",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,202,"C&I SOC STD ELEM","",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,401,"C&I SOC STD ELEM","",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,640,"C&I SOC STD ELEM","",23,,,,,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2008,W,SSED,320, ,OVERALL,"C&I SOC STD ELEM"," ",405,,,,,0,0,3,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
