Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,APBI,200, ,001,"INTR SOIL SCIE","Krzic, Maja",151,64.16,18.57,97,10,127,22,1,1,0,0,5,5,9,3,22,13,15,6,9,18,23,18,9,7,9
UBC,2009,W,APBI,200, ,99A,"INTR SOIL SCIE","Hilmer, Martin",21,84.32,7.77,96,67,19,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,5,3,6
UBC,2009,W,APBI,200, ,99C,"INTR SOIL SCIE","Hilmer, Martin",19,74.56,20.98,90,0,17,1,1,0,0,1,0,0,0,0,1,1,0,0,1,2,1,1,6,2,3
UBC,2009,W,APBI,200, ,OVERALL,"INTR SOIL SCIE"," ",193,67.23,19.1,97,0,163,23,5,2,0,1,5,5,9,3,23,14,15,6,11,20,25,22,20,12,18
UBC,2009,W,APBI,235, ,001,"BIOTECH AGR PROD","Lund, Steven;Measday, Vivien",20,74.33,9.99,93,57,18,0,2,0,0,0,0,0,0,0,0,0,2,1,2,1,4,4,1,2,1
UBC,2009,W,APBI,235, ,OVERALL,"BIOTECH AGR PROD"," ",20,74.33,9.99,93,57,18,0,2,0,0,0,0,0,0,0,0,0,2,1,2,1,4,4,1,2,1
UBC,2009,W,APBI,244, ,001,"FRST &AGR CLIMAT","Black, Thomas Andrew;Christen, Andreas",20,69.63,10.17,85,51,19,0,1,0,0,0,0,0,0,0,0,1,2,3,3,1,0,5,3,1,0
UBC,2009,W,APBI,244, ,OVERALL,"FRST &AGR CLIMAT"," ",21,69.63,10.17,85,51,19,0,2,0,0,0,0,0,0,0,0,1,2,3,3,1,0,5,3,1,0
UBC,2009,W,APBI,260, ,001,"FOOD & ENVIRO I","Bomke, Arthur A;McArthur, David",35,78.43,5.35,87,63,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,8,12,4,0
UBC,2009,W,APBI,260, ,OVERALL,"FOOD & ENVIRO I"," ",35,78.43,5.35,87,63,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,8,12,4,0
UBC,2009,W,APBI,311, ,001,"ANIMAL PHYS I","Rajamahendran, Rajadurai",28,76.75,17.56,90,0,27,1,0,0,0,1,0,0,0,0,1,0,1,0,3,2,4,0,6,7,4
UBC,2009,W,APBI,311, ,OVERALL,"ANIMAL PHYS I"," ",28,76.75,17.56,90,0,27,1,0,0,0,1,0,0,0,0,1,0,1,0,3,2,4,0,6,7,4
UBC,2009,W,APBI,312, ,001,"Animal Phys II","Rajamahendran, Rajadurai",18,80.22,10.43,94,58,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,6,1,5
UBC,2009,W,APBI,312, ,OVERALL,"Animal Phys II"," ",18,80.22,10.43,94,58,18,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,1,6,1,5
UBC,2009,W,APBI,314, ,001,"ANIMALS&SOCIETY","Fraser, David;Von Keyserlingk, Marina",30,87.37,6.83,100,71,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,14,10
UBC,2009,W,APBI,314, ,OVERALL,"ANIMALS&SOCIETY"," ",30,87.37,6.83,100,71,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,14,10
UBC,2009,W,APBI,315, ,001,"AN WLFR&ETHC A U","Fraser, David;Weary, Daniel",44,76.09,14.66,94,20,42,2,0,0,0,0,0,1,1,0,2,2,1,1,0,5,5,7,6,9,6
UBC,2009,W,APBI,315, ,OVERALL,"AN WLFR&ETHC A U"," ",44,76.09,14.66,94,20,42,2,0,0,0,0,0,1,1,0,2,2,1,1,0,5,5,7,6,9,6
UBC,2009,W,APBI,318, ,001,"APPL PLANT BREED","Riseman, Andrew",16,87.23,9.32,100,72,13,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,7
UBC,2009,W,APBI,318, ,OVERALL,"APPL PLANT BREED"," ",18,87.23,9.32,100,72,13,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,7
