Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,BASM,501, ,001,"BUS STRATEGY","Michelson, Helen",38,83.61,3.15,89,78,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,18,0
UBC,2009,W,BASM,501, ,002,"BUS STRATEGY","Chandra, Ambarish",51,82.88,6.01,95,68,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,17,13,7
UBC,2009,W,BASM,501, ,302,"BUS STRATEGY","Tappata, Mariano",45,79.24,5.85,93,68,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,13,7,2
UBC,2009,W,BASM,501, ,808,"BUS STRATEGY","Chandra, Ambarish",28,80.43,7.32,95,65,28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,6,7,7,2
UBC,2009,W,BASM,501, ,OVERALL,"BUS STRATEGY"," ",162,81.62,5.93,95,65,162,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,13,29,55,45,11
UBC,2009,W,BASM,502, ,001,"CORPORATE STRTGY","Michelson, Helen",38,83.61,3.15,89,78,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,18,0
UBC,2009,W,BASM,502, ,002,"CORPORATE STRTGY","Chandra, Ambarish",51,82.88,6.01,95,68,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9,17,13,7
UBC,2009,W,BASM,502, ,302,"CORPORATE STRTGY","Tappata, Mariano",45,79.24,5.85,93,68,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,12,13,7,2
UBC,2009,W,BASM,502, ,OVERALL,"CORPORATE STRTGY"," ",134,81.87,5.59,95,68,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,23,48,38,9
UBC,2009,W,BASM,504, ,001,"INTEL PRPTY&BUS","IRVINE, SEAN",19,82,5.07,90,73,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,5,1
UBC,2009,W,BASM,504, ,OVERALL,"INTEL PRPTY&BUS"," ",19,82,5.07,90,73,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,5,1
UBC,2009,W,BASM,530, ,001,"INTRNTL TRDG ENV","Ries, John",14,80.71,1.14,83,80,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0
UBC,2009,W,BASM,530, ,002,"INTRNTL TRDG ENV","Ries, John",12,82,2.34,86,78,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0
UBC,2009,W,BASM,530, ,OVERALL,"INTRNTL TRDG ENV"," ",26,81.31,1.87,86,78,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,1,0
UBC,2009,W,BASM,531, ,001,"MULTI NAT ENTRPR","Vertinsky, Ilan Boris",26,83.19,3.44,92,77,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,6,2
UBC,2009,W,BASM,531, ,302,"MULTI NAT ENTRPR","Ries, John",29,81.41,3.01,87,76,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,18,4,0
UBC,2009,W,BASM,531, ,OVERALL,"MULTI NAT ENTRPR"," ",55,82.25,3.31,92,76,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,35,10,2
UBC,2009,W,BASM,550, ,ECM,"STRAT MGMT","Wosk, Larry",56,77.68,7.08,95,60,56,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,13,13,7,2
UBC,2009,W,BASM,550, ,OVERALL,"STRAT MGMT"," ",56,77.68,7.08,95,60,56,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,11,13,13,7,2
UBC,2009,W,BASM,590, ,OVERALL,"DIR ST STRGC MNG"," ",5,85.6,2.51,88,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
UBC,2009,W,BASM,590, ,OVERALL,"DIR ST STRGC MNG"," ",5,85.6,2.51,88,82,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
