Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,CHEM,111, ,112,"PRINCPLS CHEM I","Wassell, Peter",263,71.85,15.8,97,7,230,25,4,0,4,1,1,2,5,16,25,8,16,17,17,25,24,29,40,26,28
UBC,2009,W,CHEM,111, ,OVERALL,"PRINCPLS CHEM I"," ",267,71.85,15.8,97,7,230,25,8,0,4,1,1,2,5,16,25,8,16,17,17,25,24,29,40,26,28
UBC,2009,W,CHEM,113, ,212,"PRIN CHEMISTRY 2","Wassell, Peter",188,76.09,16.09,100,21,164,18,4,0,2,0,0,2,2,14,18,2,6,6,11,19,15,16,24,24,41
UBC,2009,W,CHEM,113, ,OVERALL,"PRIN CHEMISTRY 2"," ",192,76.09,16.09,100,21,164,18,8,0,2,0,0,2,2,14,18,2,6,6,11,19,15,16,24,24,41
UBC,2009,W,CHEM,121, ,101,"STRUCTURAL CHEM","Gates, Derek;Lekhi, Priya",167,77.4,12.91,98,34,161,6,0,0,0,0,0,0,1,5,6,1,6,12,12,21,13,8,28,22,38
UBC,2009,W,CHEM,121, ,102,"STRUCTURAL CHEM","Gates, Derek;Lekhi, Priya;Thachuk, Mark",226,67.37,12.66,94,37,193,28,4,0,1,0,0,0,2,26,28,3,19,33,14,38,20,22,22,16,6
UBC,2009,W,CHEM,121, ,103,"STRUCTURAL CHEM","Gates, Derek;Lekhi, Priya;Stewart, Jaclyn",234,67.17,13.27,92,28,195,34,3,0,2,0,0,1,6,27,34,0,18,20,24,38,31,19,30,9,6
UBC,2009,W,CHEM,121, ,110,"STRUCTURAL CHEM","Gates, Derek;Lekhi, Priya;McIntosh, Lawrence",236,72.33,13.38,95,31,211,22,3,0,0,0,0,0,5,17,22,2,10,14,17,30,26,26,47,23,16
UBC,2009,W,CHEM,121, ,111,"STRUCTURAL CHEM","Gates, Derek;Krems, Roman;Lekhi, Priya",234,75.16,13.03,100,32,215,14,4,0,1,0,0,0,3,11,14,2,7,14,12,31,27,21,39,27,35
UBC,2009,W,CHEM,121, ,122,"STRUCTURAL CHEM","Burtnick, Leslie D;Gates, Derek;Lekhi, Priya",218,67.46,14.32,98,28,179,35,3,0,1,0,0,2,6,27,35,1,13,20,15,35,30,20,25,10,10
UBC,2009,W,CHEM,121, ,133,"STRUCTURAL CHEM","Gates, Derek;Lekhi, Priya",201,64.21,15.26,96,17,152,42,4,0,3,0,1,3,2,36,42,8,16,20,16,30,11,16,18,10,7
UBC,2009,W,CHEM,121, ,188,"STRUCTURAL CHEM","Burtnick, Leslie D;Gates, Derek;Lekhi, Priya",218,65.72,15.4,100,16,171,38,6,1,2,0,1,2,5,30,38,5,22,17,21,28,25,10,20,11,12
