Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2009,W,FIPR,233, ,001,"VIDEO PROD I","Gallagher, Christopher",21,80.86,5.76,89,69,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,7,0
UBC,2009,W,FIPR,233, ,002,"VIDEO PROD I","Gallagher, Christopher",23,80.32,3.58,87,75,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,3,0
UBC,2009,W,FIPR,233, ,OVERALL,"VIDEO PROD I"," ",44,80.58,4.72,89,69,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,12,15,10,0
UBC,2009,W,FIPR,234, ,001,"PLAN&PROF PRACTC","McGowan, Sharon",62,75.02,17.3,92,0,57,3,1,0,1,2,0,0,0,1,3,0,3,2,1,6,9,5,13,15,3
UBC,2009,W,FIPR,234, ,OVERALL,"PLAN&PROF PRACTC"," ",62,75.02,17.3,92,0,57,3,1,0,1,2,0,0,0,1,3,0,3,2,1,6,9,5,13,15,3
UBC,2009,W,FIPR,235, ,001,"IMAGE CONCEPTS","Gallagher, Christopher",19,78.37,3.56,84,70,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9,0,0
UBC,2009,W,FIPR,235, ,OVERALL,"IMAGE CONCEPTS"," ",19,78.37,3.56,84,70,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,9,0,0
UBC,2009,W,FIPR,333, ,001,"MO PICT PROD I","McGowan, Sharon",19,86.58,11.75,93,40,18,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4,11
UBC,2009,W,FIPR,333, ,OVERALL,"MO PICT PROD I"," ",19,86.58,11.75,93,40,18,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,4,11
UBC,2009,W,FIPR,335, ,001,"DIR FILM & VIDEO","Stopkewich, Lynne",17,76.18,7.41,88,64,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,0,5,0
UBC,2009,W,FIPR,335, ,OVERALL,"DIR FILM & VIDEO"," ",17,76.18,7.41,88,64,17,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,0,5,0
UBC,2009,W,FIPR,337, ,001,"CINMTGRY&LIGHT I","Kerr, Ian",22,80.64,7.03,90,56,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,11,5,1
UBC,2009,W,FIPR,337, ,OVERALL,"CINMTGRY&LIGHT I"," ",22,80.64,7.03,90,56,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,11,5,1
UBC,2009,W,FIPR,338, ,001,"SND REC FILM&VID","Cyr, David",21,88.33,4.87,95,77,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,10
UBC,2009,W,FIPR,338, ,OVERALL,"SND REC FILM&VID"," ",21,88.33,4.87,95,77,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,10
