Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,S,EOSC,110, ,951,"THE SOLID EARTH","Athaide, Dileep",44,74.93,8.08,90,55,41,0,2,0,1,0,0,0,0,0,0,0,1,3,2,4,10,8,7,5,1
UBC,2010,S,EOSC,110, ,OVERALL,"THE SOLID EARTH"," ",44,74.93,8.08,90,55,41,0,2,0,1,0,0,0,0,0,0,0,1,3,2,4,10,8,7,5,1
UBC,2010,S,EOSC,114, ,971,"CATASTROPH EARTH","Gilley, Brett;Mindell, Randal",127,74.68,9,92,48,122,1,3,0,1,0,0,0,0,1,1,3,1,10,8,17,26,15,23,13,6
UBC,2010,S,EOSC,114, ,98A,"CATASTROPH EARTH","Ver, Leah May",191,74.85,14.15,97,31,160,11,10,0,10,0,0,0,7,4,11,1,8,8,15,11,18,16,36,24,23
UBC,2010,S,EOSC,114, ,GIS,"CATASTROPH EARTH","Ver, Leah May",6,71,26.68,93,41,3,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,2
UBC,2010,S,EOSC,114, ,OVERALL,"CATASTROPH EARTH"," ",324,74.72,12.54,97,31,285,14,14,0,11,0,0,0,7,7,14,4,9,18,23,28,44,31,59,38,31
UBC,2010,S,EOSC,116, ,98A,"MESOZOIC EARTH","Longridge, Louise",101,70.79,17.23,98,31,78,14,4,0,5,0,0,0,6,8,14,3,4,2,6,8,15,5,15,11,9
UBC,2010,S,EOSC,116, ,OVERALL,"MESOZOIC EARTH"," ",104,70.3,17.37,98,31,79,15,5,0,5,0,0,0,6,9,15,4,4,2,6,8,15,5,15,11,9
UBC,2010,S,EOSC,118, ,98A,"GOLD & GEMS","Turner, David",106,79.95,13.03,98,32,95,4,6,0,1,0,0,0,3,1,4,4,0,1,2,2,9,14,22,22,19
UBC,2010,S,EOSC,118, ,OVERALL,"GOLD & GEMS"," ",107,79.88,12.99,98,32,96,4,6,0,1,0,0,0,3,1,4,4,0,1,2,2,10,14,22,22,19
UBC,2010,S,EOSC,310, ,98A,"EARTH&SOLAR SYS","Hammer, Philip",103,72.56,12.48,93,30,84,3,12,0,4,0,0,0,1,2,3,3,6,7,6,16,6,8,12,14,6
UBC,2010,S,EOSC,310, ,OVERALL,"EARTH&SOLAR SYS"," ",105,72.42,12.74,93,30,85,4,12,0,4,0,0,0,1,3,4,3,6,7,6,16,6,8,12,15,6
UBC,2010,S,EOSC,314, ,98A,"OCEAN ENVIRONMNT","Ver, Leah May",96,71.63,16.26,100,31,69,10,10,0,7,0,0,0,4,6,10,2,1,4,6,6,14,11,7,6,12
UBC,2010,S,EOSC,314, ,OVERALL,"OCEAN ENVIRONMNT"," ",96,71.63,16.26,100,31,69,10,10,0,7,0,0,0,4,6,10,2,1,4,6,6,14,11,7,6,12
UBC,2010,S,EOSC,315, ,921,"OCEAN ECOSYSTEM","Lipsen, Michael",63,81.47,14.18,97,0,58,1,4,0,0,1,0,0,0,0,1,1,1,1,0,1,6,8,13,13,14
UBC,2010,S,EOSC,315, ,98A,"OCEAN ECOSYSTEM","Lipsen, Michael;Ver, Leah May",44,78.77,9.09,93,50,43,0,0,0,1,0,0,0,0,0,0,1,1,0,1,5,5,9,8,8,5
UBC,2010,S,EOSC,315, ,OVERALL,"OCEAN ECOSYSTEM"," ",109,80.24,12.23,97,0,103,1,4,0,1,1,0,0,0,0,1,2,2,1,1,7,11,17,22,21,19
UBC,2010,S,EOSC,549, ,941,"MASTERS THESIS","",47,,,,,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EOSC,549, ,OVERALL,"MASTERS THESIS"," ",48,,,,,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EOSC,598, ,941,"M.ENG. GRAD PAPR","",4,81.67,2.89,85,80,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
UBC,2010,S,EOSC,598, ,OVERALL,"M.ENG. GRAD PAPR"," ",4,81.67,2.89,85,80,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
UBC,2010,S,EOSC,599, ,941,"MASC THESIS","",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EOSC,599, ,OVERALL,"MASC THESIS"," ",7,,,,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EOSC,649, ,942,"DOC DISSERTATION","",60,,,,,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EOSC,649, ,OVERALL,"DOC DISSERTATION"," ",60,,,,,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EOSC,699, ,941,"DOC DISSERTATION","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,S,EOSC,699, ,OVERALL,"DOC DISSERTATION"," ",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
