Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,CHIN,101, ,001,"BASIC CHIN I 1","Wu, Xinxin",23,75.95,10.3,91,55,21,0,2,0,0,0,0,0,0,0,0,0,1,3,1,0,2,6,4,1,3
UBC,2010,W,CHIN,101, ,002,"BASIC CHIN I 1","Chen, Hsueh-Ni",26,84.24,7.53,95,73,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,3,9
UBC,2010,W,CHIN,101, ,003,"BASIC CHIN I 1","Liu, Diane ",27,77.04,7.6,89,60,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,4,6,8,3,0
UBC,2010,W,CHIN,101, ,004,"BASIC CHIN I 1","Chen, Hsueh-Ni",24,83.79,7.54,95,76,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,1,10
UBC,2010,W,CHIN,101, ,005,"BASIC CHIN I 1","Liu, Diane ",28,78.74,7.68,89,60,27,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,4,9,5,6,0
UBC,2010,W,CHIN,101, ,006,"BASIC CHIN I 1","Li, Tianming",27,76.7,9.25,90,50,27,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,6,3,7,3,2
UBC,2010,W,CHIN,101, ,OVERALL,"BASIC CHIN I 1"," ",155,79.4,8.83,95,50,151,0,4,0,0,0,0,0,0,0,0,1,1,8,2,8,17,49,24,17,24
UBC,2010,W,CHIN,103, ,001,"BASIC CHIN I 2","Wu, Xinxin",21,72.19,13.47,89,35,20,1,0,0,0,0,0,0,1,0,1,2,0,0,4,1,2,5,3,3,0
UBC,2010,W,CHIN,103, ,002,"BASIC CHIN I 2","Chen, Hsueh-Ni",24,82.58,7.88,94,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,2,8
UBC,2010,W,CHIN,103, ,003,"BASIC CHIN I 2","Liu, Diane ",19,77.72,7.44,90,61,18,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,3,7,4,1,1
UBC,2010,W,CHIN,103, ,004,"BASIC CHIN I 2","Chen, Hsueh-Ni",22,80.82,9.03,95,62,22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,8,0,4,5
UBC,2010,W,CHIN,103, ,005,"BASIC CHIN I 2","Liu, Diane ",28,75.81,12.08,90,30,26,1,1,0,0,0,0,0,1,0,1,0,0,1,3,1,3,9,5,3,1
UBC,2010,W,CHIN,103, ,OVERALL,"BASIC CHIN I 2"," ",114,77.88,10.83,95,30,110,2,1,1,0,0,0,0,2,0,2,2,0,4,9,3,10,42,12,13,15
UBC,2010,W,CHIN,104, ,001,"IN BASIC CHIN I","Xia, Wei",23,72.48,22.73,91,0,18,3,2,0,0,1,0,0,0,2,3,1,0,2,1,0,0,1,3,7,3
UBC,2010,W,CHIN,104, ,OVERALL,"IN BASIC CHIN I"," ",23,72.48,22.73,91,0,18,3,2,0,0,1,0,0,0,2,3,1,0,2,1,0,0,1,3,7,3
UBC,2010,W,CHIN,105, ,001,"BASIC CHIN II 1","Lu, Ming Zhu",25,77.91,9.6,90,52,23,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1,3,5,5,4,2
UBC,2010,W,CHIN,105, ,002,"BASIC CHIN II 1","Lu, Ming Zhu",23,77.23,9.08,88,53,22,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,3,3,7,4,0
UBC,2010,W,CHIN,105, ,OVERALL,"BASIC CHIN II 1"," ",48,77.58,9.25,90,52,45,0,0,3,0,0,0,0,0,0,0,2,1,0,5,1,6,8,12,8,2
UBC,2010,W,CHIN,107, ,001,"BASIC CHIN II 2","Lu, Ming Zhu",25,75.65,10.43,88,50,23,0,0,2,0,0,0,0,0,0,0,2,1,0,2,2,1,3,9,3,0
UBC,2010,W,CHIN,107, ,002,"BASIC CHIN II 2","Lu, Ming Zhu",23,74.87,9.86,91,51,23,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,6,1,8,1,1
UBC,2010,W,CHIN,107, ,OVERALL,"BASIC CHIN II 2"," ",48,75.26,10.04,91,50,46,0,0,2,0,0,0,0,0,0,0,4,1,0,3,5,7,4,17,4,1
