Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,EDST,314, ,001,"SCL ISS IN EDUC","Parhar, Anita",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,002,"SCL ISS IN EDUC","RILEY, TASHA ANASTASIA",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,003,"SCL ISS IN EDUC","SAYANI, ANISH",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,004,"SCL ISS IN EDUC","Kelly, Deirdre;MacIntosh, Lori",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,005,"SCL ISS IN EDUC","Fraser, Carolyn",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,006,"SCL ISS IN EDUC","Dillabough, Jo-Anne;Skourtes, Stephanie",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,008,"SCL ISS IN EDUC","Zavalkoff, Anne",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,009,"SCL ISS IN EDUC","Webb, Philip",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,013,"SCL ISS IN EDUC","Brooks, Mary",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,014,"SCL ISS IN EDUC","Vanwynsberghe, Robert",35,,,,,0,0,1,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,015,"SCL ISS IN EDUC","Parhar, Anita",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,016,"SCL ISS IN EDUC","Dillabough, Jo-Anne;Yoon, Ee-Seul",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,020,"SCL ISS IN EDUC","Leone, Helene",26,,,,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,101,"SCL ISS IN EDUC","Phelan, Anne",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,104,"SCL ISS IN EDUC","Chan, Jennifer",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,107,"SCL ISS IN EDUC","PRYER, ALISO",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,108,"SCL ISS IN EDUC","Waithman, Marilynne",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,109,"SCL ISS IN EDUC","Zavalkoff, Anne",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,177,"SCL ISS IN EDUC","Roman, Leslie",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,201,"SCL ISS IN EDUC","Morton, Charlene",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,401,"SCL ISS IN EDUC","Morton, Charlene",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,626,"SCL ISS IN EDUC","POPATIA, DAWN ANNE MICHELLE",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,629,"SCL ISS IN EDUC","Fatemi, Sayyed Mohsen",10,,,,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,640,"SCL ISS IN EDUC","Darling, Linda Farr",26,,,,,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,314, ,OVERALL,"SCL ISS IN EDUC"," ",711,,,,,0,0,1,0,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,426, ,102,"HISTORY OF EDUC","Gleason, Mona",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,426, ,OVERALL,"HISTORY OF EDUC"," ",38,,,,,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,429, ,221,"EDUCTNL SOCIOLGY","Brooks, Mary",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,429, ,OVERALL,"EDUCTNL SOCIOLGY"," ",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,454, ,221,"Critical Thinkng","Webb, Philip",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,454, ,OVERALL,"Critical Thinkng"," ",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,455, ,107,"HIS CHOOD YOUTH","Gleason, Mona",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,455, ,OVERALL,"HIS CHOOD YOUTH"," ",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDST,501, ,021,"RSC TRD EDU ADMN","Waithman, Marilynne",15,82.62,5.97,93,71,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,6,1
UBC,2010,W,EDST,501, ,61A,"RSC TRD EDU ADMN","Waithman, Marilynne",17,85.06,2.49,90,83,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,3
UBC,2010,W,EDST,501, ,67A,"RSC TRD EDU ADMN","Gill, Hartej",19,89.05,1.39,92,87,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7
UBC,2010,W,EDST,501, ,OVERALL,"RSC TRD EDU ADMN"," ",51,85.96,4.33,93,71,49,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,12,23,11
UBC,2010,W,EDST,503, ,021,"TRAD ADULT EDU","Butterwick, Shauna",21,88.95,4.84,95,80,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10
UBC,2010,W,EDST,503, ,OVERALL,"TRAD ADULT EDU"," ",21,88.95,4.84,95,80,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10
UBC,2010,W,EDST,505, ,082,"FN & EDUC CHANGE","Marker, Michael",10,95.78,2.11,98,93,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
UBC,2010,W,EDST,505, ,OVERALL,"FN & EDUC CHANGE"," ",10,95.78,2.11,98,93,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
UBC,2010,W,EDST,508,A,081,"REV RES ED STUDS","Marker, Michael",6,94,3.81,98,88,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
UBC,2010,W,EDST,508, ,OVERALL,"REV RES ED STUDS"," ",29,87.82,3.89,98,82,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,6
UBC,2010,W,EDST,508,B,082,"REV RES ED STUDS","Cole, Peter",10,88.1,1.85,92,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
UBC,2010,W,EDST,508, ,OVERALL,"REV RES ED STUDS"," ",29,87.82,3.89,98,82,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,6
UBC,2010,W,EDST,508,D,083,"REV RES ED STUDS","Wright, Handel",13,85.23,1.83,88,82,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0
UBC,2010,W,EDST,508, ,OVERALL,"REV RES ED STUDS"," ",29,87.82,3.89,98,82,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,18,6
UBC,2010,W,EDST,509, ,081,"CND EDUC PAST","Gleason, Mona",8,84.25,4.43,90,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1
UBC,2010,W,EDST,509, ,OVERALL,"CND EDUC PAST"," ",8,84.25,4.43,90,76,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,1
UBC,2010,W,EDST,511, ,021,"ORG&ADMIN HI EDU","Metcalfe, Amy",10,85.6,7.73,90,64,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1
UBC,2010,W,EDST,511, ,OVERALL,"ORG&ADMIN HI EDU"," ",10,85.6,7.73,90,64,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,1
UBC,2010,W,EDST,515, ,082,"SRVY RSRCH METH","Andres, Lesley Coral",8,84,5,89,74,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0
UBC,2010,W,EDST,515, ,OVERALL,"SRVY RSRCH METH"," ",8,84,5,89,74,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0
UBC,2010,W,EDST,520, ,022,"ADLT EDU PRACT","Butterwick, Shauna;Chan, Jennifer",14,91.36,4.62,98,80,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9
UBC,2010,W,EDST,520, ,OVERALL,"ADLT EDU PRACT"," ",14,91.36,4.62,98,80,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,9
UBC,2010,W,EDST,521, ,022,"FDNS HIGHR EDUC","Metcalfe, Amy",9,83.56,7.09,89,65,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0
UBC,2010,W,EDST,521, ,OVERALL,"FDNS HIGHR EDUC"," ",9,83.56,7.09,89,65,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0
UBC,2010,W,EDST,523,A,081,"COMPARATIVE ED","Chan, Jennifer",11,86.5,1.58,88,84,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
UBC,2010,W,EDST,523, ,OVERALL,"COMPARATIVE ED"," ",11,86.5,1.58,88,84,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0
UBC,2010,W,EDST,532, ,021,"LDRSHP EDUC ORG","Webb, Philip",12,90,5.27,98,79,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,8
UBC,2010,W,EDST,532, ,62A,"LDRSHP EDUC ORG","Shamsher, Mohammed",17,91.47,1.42,93,89,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14
UBC,2010,W,EDST,532, ,OVERALL,"LDRSHP EDUC ORG"," ",29,90.86,3.55,98,79,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,22
UBC,2010,W,EDST,535, ,021,"INT ADULT EDUC","Walter, Pierre",13,88.38,0.87,90,87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
UBC,2010,W,EDST,535, ,OVERALL,"INT ADULT EDUC"," ",13,88.38,0.87,90,87,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
UBC,2010,W,EDST,540,A,021,"GLOB LEARN","Grosjean, Garnet",10,85.3,0.95,88,85,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
UBC,2010,W,EDST,540, ,OVERALL,"GLOB LEARN"," ",19,87.11,3.51,92,78,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,8
UBC,2010,W,EDST,540,B,022,"GLOB LEARN","Grosjean, Garnet",9,89.11,4.26,92,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8
UBC,2010,W,EDST,540, ,OVERALL,"GLOB LEARN"," ",19,87.11,3.51,92,78,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,8
UBC,2010,W,EDST,541, ,021,"ADU LEA CON PER","",9,86.33,3.28,91,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3
UBC,2010,W,EDST,541, ,OVERALL,"ADU LEA CON PER"," ",9,86.33,3.28,91,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,3
UBC,2010,W,EDST,543, ,022,"UND RESEARCH","",10,83.9,4.82,90,76,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1
UBC,2010,W,EDST,543, ,OVERALL,"UND RESEARCH"," ",10,83.9,4.82,90,76,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1
UBC,2010,W,EDST,544, ,021,"GLO/LOC LEARN","",8,85.25,7.42,93,74,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2
UBC,2010,W,EDST,544, ,OVERALL,"GLO/LOC LEARN"," ",8,85.25,7.42,93,74,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,2
UBC,2010,W,EDST,552, ,021,"SCHOOL LAW","Harris, Wendy",11,86.82,3.19,90,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3
UBC,2010,W,EDST,552, ,OVERALL,"SCHOOL LAW"," ",11,86.82,3.19,90,80,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3
UBC,2010,W,EDST,553,A,022,"GRP INQ ED ADMIN","Waithman, Marilynne",9,88.44,3.81,92,82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4
UBC,2010,W,EDST,553,A,62A,"GRP INQ ED ADMIN","Waithman, Marilynne",17,90.12,3.94,95,86,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7
UBC,2010,W,EDST,553,A,62B,"GRP INQ ED ADMIN","Gill, Hartej",18,90.5,1.76,93,87,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14
UBC,2010,W,EDST,553, ,OVERALL,"GRP INQ ED ADMIN"," ",44,89.93,3.21,95,82,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,25
UBC,2010,W,EDST,557, ,022,"ETH&SCH LEADRSHP","Vokey, Daniel",7,88.43,1.13,90,87,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
UBC,2010,W,EDST,557, ,OVERALL,"ETH&SCH LEADRSHP"," ",7,88.43,1.13,90,87,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2
UBC,2010,W,EDST,561,A,67A,"PRACTICUM","White, Vincent",19,87.47,5.44,95,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,8
UBC,2010,W,EDST,561, ,OVERALL,"PRACTICUM"," ",22,87.91,5.22,95,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,10
UBC,2010,W,EDST,561, ,OVERALL,"PRACTICUM"," ",22,87.91,5.22,95,68,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10,10
UBC,2010,W,EDST,565,A,083,"SP CRS SBJCT FLD","Loutzenheiser, Lisa",6,89.33,1.21,91,88,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
