Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,EDUC,140, ,177,"INTR FIRST NATNS","Point, Marny",8,73.38,13.97,93,55,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,0,2
UBC,2010,W,EDUC,140, ,626,"INTR FIRST NATNS","",6,89.33,1.86,91,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
UBC,2010,W,EDUC,140, ,OVERALL,"INTR FIRST NATNS"," ",14,80.21,13.17,93,55,14,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,1,3,5
UBC,2010,W,EDUC,141, ,626,"CULTURAL STUDIES","",6,89.67,2.58,93,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
UBC,2010,W,EDUC,141, ,629,"CULTURAL STUDIES","REID, CARRIE",9,75.56,9.5,87,60,9,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,2,2,0
UBC,2010,W,EDUC,141, ,OVERALL,"CULTURAL STUDIES"," ",18,78.17,13.96,93,50,18,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,2,6,3
UBC,2010,W,EDUC,244, ,277,"SEM&CLSRM OBSRVN","",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,244, ,626,"SEM&CLSRM OBSRVN","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,244, ,629,"SEM&CLSRM OBSRVN","",9,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,244, ,OVERALL,"SEM&CLSRM OBSRVN"," ",27,,,,,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,101,"TEACh PRINC","Collins, Steve;Paterson, Misty",16,,,,,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,102,"TEACh PRINC","Baillie, Traci;Helmer, Sylvia",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,103,"TEACh PRINC","",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,104,"TEACh PRINC","",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,105,"TEACh PRINC","",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,107,"TEACh PRINC","MacKay, Heather",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,108,"TEACh PRINC","",17,,,,,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,109,"TEACh PRINC","Baumann, Frank;Clouston, Dorothy;Lamb, Brenda",30,,,,,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,110,"TEACh PRINC","Lee, Wendy",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,111,"TEACh PRINC","Collins, Steve;Paterson, Misty",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,112,"TEACh PRINC","Helmer, Sylvia",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,113,"TEACh PRINC","Harcott, James",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,114,"TEACh PRINC","Maguire, Noreen",17,,,,,0,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,117,"TEACh PRINC","ROBERTSON, HELEN",17,,,,,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,EDUC,310, ,118,"TEACh PRINC","Beck, Denise ",16,,,,,0,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
