Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,FISH,500, ,001,"FISHERIES MNGMT","Pauly, Daniel;Trites, Andrew",8,86.5,3.25,90,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
UBC,2010,W,FISH,500, ,OVERALL,"FISHERIES MNGMT"," ",8,86.5,3.25,90,80,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
UBC,2010,W,FISH,501, ,001,"ECOSYS MODELLING","Christensen, Villy",6,88,3.54,93,83,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2010,W,FISH,501, ,OVERALL,"ECOSYS MODELLING"," ",6,88,3.54,93,83,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2010,W,FISH,504, ,001,"QUANT AN FISH I","Martell, Steve",6,86,4.85,90,78,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
UBC,2010,W,FISH,504, ,OVERALL,"QUANT AN FISH I"," ",6,86,4.85,90,78,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1
UBC,2010,W,FISH,505, ,001,"QUANT AN FISH II","Martell, Steve",4,94.33,1.53,96,93,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UBC,2010,W,FISH,505, ,OVERALL,"QUANT AN FISH II"," ",4,94.33,1.53,96,93,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UBC,2010,W,FISH,506,A,001,"TOPICS FISHERIES","McAllister, Murdoch",5,74,4.58,79,70,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
UBC,2010,W,FISH,506, ,OVERALL,"TOPICS FISHERIES"," ",8,83.67,11.36,96,70,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2
UBC,2010,W,FISH,506, ,OVERALL,"TOPICS FISHERIES"," ",8,83.67,11.36,96,70,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2
