Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,FMST,210, ,001,"FMLY HUMAN DVLPM","Weatherby, Maria",82,71.09,12.79,93,29,77,3,0,1,0,0,0,1,2,0,3,5,4,7,3,14,11,15,8,4,6
UBC,2010,W,FMST,210, ,002,"FMLY HUMAN DVLPM","Weatherby, Maria",100,67.57,15.79,92,8,93,6,1,0,0,1,2,0,2,1,6,9,10,12,8,10,10,9,14,8,3
UBC,2010,W,FMST,210, ,003,"FMLY HUMAN DVLPM","Weatherby, Maria",100,69.89,12.23,95,36,94,4,1,0,0,0,0,0,2,2,4,4,12,13,4,14,10,14,12,8,3
UBC,2010,W,FMST,210, ,004,"FMLY HUMAN DVLPM","Weatherby, Maria",97,69.07,12.81,94,31,93,2,1,0,0,0,0,0,1,1,2,13,8,5,14,13,8,5,17,6,4
UBC,2010,W,FMST,210, ,005,"FMLY HUMAN DVLPM","Weatherby, Maria",77,66.97,14.71,93,32,68,8,1,0,0,0,0,0,5,3,8,4,10,9,5,5,9,9,7,9,1
UBC,2010,W,FMST,210, ,OVERALL,"FMLY HUMAN DVLPM"," ",456,68.92,13.74,95,8,425,23,4,1,0,1,2,1,12,7,23,35,44,46,34,56,48,52,58,35,17
UBC,2010,W,FMST,238, ,001,"FAM RESRC MNGMT","Wing, Deanna",30,79.57,8.36,90,56,28,0,1,0,0,0,0,0,0,0,0,0,1,0,3,1,3,2,7,10,1
UBC,2010,W,FMST,238, ,002,"FAM RESRC MNGMT","Johnson, Phyllis",75,71.36,9.76,88,44,73,2,0,0,0,0,0,0,0,2,2,1,6,8,4,16,10,11,11,6,0
UBC,2010,W,FMST,238, ,OVERALL,"FAM RESRC MNGMT"," ",105,73.59,10.05,90,44,101,2,1,0,0,0,0,0,0,2,2,1,7,8,7,17,13,13,18,16,1
UBC,2010,W,FMST,312, ,001,"PARENT-CHILD REL","Ponzetti, James Joseph",21,62.58,17.01,83,13,16,3,2,0,0,0,1,0,1,1,3,1,1,2,3,3,2,2,2,0,0
UBC,2010,W,FMST,312, ,002,"PARENT-CHILD REL","Ponzetti, James Joseph",39,69.82,16.18,87,20,35,3,0,0,0,0,0,2,0,1,3,0,3,3,8,3,1,3,8,6,0
UBC,2010,W,FMST,312, ,OVERALL,"PARENT-CHILD REL"," ",60,67.4,16.67,87,13,51,6,2,0,0,0,1,2,1,2,6,1,4,5,11,6,3,5,10,6,0
UBC,2010,W,FMST,314, ,001,"RELATION DEVELOP","Ponzetti, James Joseph",29,71.96,7.49,85,58,26,0,1,0,0,0,0,0,0,0,0,0,1,1,6,6,5,1,4,2,0
UBC,2010,W,FMST,314, ,901,"RELATION DEVELOP","Bartolic, Silvia",90,74.69,7.12,90,58,90,0,0,0,0,0,0,0,0,0,0,0,1,5,10,12,10,22,23,6,1
UBC,2010,W,FMST,314, ,OVERALL,"RELATION DEVELOP"," ",119,74.08,7.26,90,58,116,0,1,0,0,0,0,0,0,0,0,0,2,6,16,18,15,23,27,8,1
UBC,2010,W,FMST,316, ,002,"HUMAN SEXUALITY","Wiebe, Brandy",78,69.97,9.52,88,50,76,0,1,0,0,0,0,0,0,0,0,4,9,7,11,13,7,8,14,3,0
UBC,2010,W,FMST,316, ,004,"HUMAN SEXUALITY","Wiebe, Brandy",78,71.83,10.55,91,33,74,3,1,0,0,0,0,0,1,2,3,1,5,6,10,8,12,10,16,5,1
UBC,2010,W,FMST,316, ,99A,"HUMAN SEXUALITY","Hannah, Ted",80,74.95,6.87,92,58,74,0,3,0,0,0,0,0,0,0,0,0,2,1,5,12,16,15,16,5,2
UBC,2010,W,FMST,316, ,99C,"HUMAN SEXUALITY","Hannah, Ted",77,74.57,9.78,91,53,75,0,0,0,0,0,0,0,0,0,0,1,6,4,9,3,13,9,16,11,3
UBC,2010,W,FMST,316, ,OVERALL,"HUMAN SEXUALITY"," ",313,72.81,9.48,92,33,299,3,5,0,0,0,0,0,1,2,3,6,22,18,35,36,48,42,62,24,6
UBC,2010,W,FMST,436, ,001,"FAMILY LIFE EDUC","Ponzetti, James Joseph",4,76.75,2.22,80,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
UBC,2010,W,FMST,436, ,OVERALL,"FAMILY LIFE EDUC"," ",4,76.75,2.22,80,75,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
UBC,2010,W,FMST,440, ,001,"FAM ECON ISSUES","Johnson, Phyllis",13,74.08,7.04,84,65,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,4,0,0
UBC,2010,W,FMST,440, ,OVERALL,"FAM ECON ISSUES"," ",13,74.08,7.04,84,65,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,4,0,0
