Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,SCIE,1, ,001,"SCIENCE ONE","",74,77.75,8.71,96,43,71,1,2,0,0,0,0,0,0,1,1,0,0,1,7,9,10,8,21,9,6
UBC,2010,W,SCIE,1, ,OVERALL,"SCIENCE ONE"," ",78,77.75,8.71,96,43,71,1,6,0,0,0,0,0,0,1,1,0,0,1,7,9,10,8,21,9,6
UBC,2010,W,SCIE,113, ,100,"SCIE SEMINAR","Fox, Joanne Alison;Hoos, Holger;Samuels, Anne Lacey",24,79.75,8.03,92,62,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,6,6,3,4
UBC,2010,W,SCIE,113, ,101,"SCIE SEMINAR","Fox, Joanne Alison;Peacock, Simon;Samuels, Anne Lacey",24,76.04,6.23,88,61,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,8,5,2,0
UBC,2010,W,SCIE,113, ,102,"SCIE SEMINAR","Fox, Joanne Alison;Samuels, Anne Lacey",25,75.4,8.74,91,55,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,6,4,2,5,4,1
UBC,2010,W,SCIE,113, ,103,"SCIE SEMINAR","De Wreede, Robert;Fox, Joanne Alison;Samuels, Anne Lacey",22,79.9,7.27,90,66,21,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,4,3
UBC,2010,W,SCIE,113, ,200,"SCIE SEMINAR","Fox, Joanne Alison;Samuels, Anne Lacey",26,76.65,9.6,90,52,26,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,5,9,3,2
UBC,2010,W,SCIE,113, ,201,"SCIE SEMINAR","Berger, James;Fox, Joanne Alison;Samuels, Anne Lacey",25,74.29,6.77,84,60,24,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,6,4,7,0,0
UBC,2010,W,SCIE,113, ,202,"SCIE SEMINAR","Fox, Joanne Alison;Ng, David;Samuels, Anne Lacey",23,74.09,5.16,86,65,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,7,6,2,1,0
UBC,2010,W,SCIE,113, ,203,"SCIE SEMINAR","Fox, Joanne Alison;Hallam, Steven;Samuels, Anne Lacey",23,73.57,7.97,93,55,23,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,8,3,2,1,1
UBC,2010,W,SCIE,113, ,OVERALL,"SCIE SEMINAR"," ",192,76.18,7.82,93,52,190,0,1,0,1,0,0,0,0,0,0,1,4,6,10,28,34,38,40,18,11
UBC,2010,W,SCIE,300, ,200,"COMMUNICATE SCIE","Dunham, Bruce;Jandciu, Eric;Trites, Andrew",26,77.23,7.24,89,57,26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,3,11,3,0
UBC,2010,W,SCIE,300, ,OVERALL,"COMMUNICATE SCIE"," ",26,77.23,7.24,89,57,26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,3,11,3,0
