Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,WMST,101, ,001,"GDR,KNWL,SEX&PWR","Orbaugh, Sharalyn",72,69.67,11.04,92,30,67,2,3,0,0,0,0,0,1,1,2,2,6,9,12,6,10,10,6,3,3
UBC,2010,W,WMST,101, ,002,"GDR,KNWL,SEX&PWR","Thobani, Sunera",58,77.1,11.78,88,0,51,1,5,0,0,1,0,0,0,0,1,0,0,0,1,2,9,14,20,5,0
UBC,2010,W,WMST,101, ,OVERALL,"GDR,KNWL,SEX&PWR"," ",130,72.86,11.9,92,0,118,3,8,0,0,1,0,0,1,1,3,2,6,9,13,8,19,24,26,8,3
UBC,2010,W,WMST,102, ,001,"FEM PERSPCTV ISS","Orbaugh, Sharalyn",57,70.11,14.13,86,0,54,2,1,0,0,2,0,0,0,0,2,0,1,4,5,9,20,9,2,4,0
UBC,2010,W,WMST,102, ,002,"FEM PERSPCTV ISS","Angeles, Leonora",58,80.26,7.82,92,50,57,0,1,0,0,0,0,0,0,0,0,1,1,1,0,3,4,10,20,13,4
UBC,2010,W,WMST,102, ,OVERALL,"FEM PERSPCTV ISS"," ",115,75.23,12.43,92,0,111,2,2,0,0,2,0,0,0,0,2,1,2,5,5,12,24,19,22,17,4
UBC,2010,W,WMST,201, ,001,"CON COMP SCI","",17,76.71,7.64,88,63,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,4,3,0
UBC,2010,W,WMST,201, ,OVERALL,"CON COMP SCI"," ",18,76.71,7.64,88,63,17,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,3,4,3,0
UBC,2010,W,WMST,205, ,001,"WOM CA 16th-1920","Mennill, Sally",13,77.08,6.88,90,65,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,1,1
UBC,2010,W,WMST,205, ,OVERALL,"WOM CA 16th-1920"," ",13,77.08,6.88,90,65,12,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,1,1
UBC,2010,W,WMST,210, ,001,"Wom Ca 1920-Pres","Mennill, Sally",22,79.32,10.37,95,53,22,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,3,4,5,3
UBC,2010,W,WMST,210, ,OVERALL,"Wom Ca 1920-Pres"," ",22,79.32,10.37,95,53,22,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,3,4,5,3
UBC,2010,W,WMST,224,A,001,"WOMEN IN LITRTRE","HUANG, XIN;LIN, HUI-LING",37,76.82,7.68,90,62,34,0,2,0,0,0,0,0,0,0,0,0,0,1,4,4,5,2,13,4,1
UBC,2010,W,WMST,224,A,002,"WOMEN IN LITRTRE","Chatzivasileiou, Evangelia",36,77.18,10.69,96,51,34,0,2,0,0,0,0,0,0,0,0,1,1,3,2,2,4,3,10,3,5
UBC,2010,W,WMST,224,A,003,"WOMEN IN LITRTRE","Snowden, Kim",29,81.93,4.98,92,72,27,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,6,7,2
UBC,2010,W,WMST,224, ,OVERALL,"WOMEN IN LITRTRE"," ",271,75.83,12.33,96,0,240,7,11,0,12,2,0,2,1,2,7,5,6,6,16,16,28,45,79,25,14
UBC,2010,W,WMST,224,B,002,"WOMEN IN LITRTRE","SEMPER, SAMANTHA",36,77.61,5.08,86,67,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,10,11,4,0
UBC,2010,W,WMST,224, ,OVERALL,"WOMEN IN LITRTRE"," ",271,75.83,12.33,96,0,240,7,11,0,12,2,0,2,1,2,7,5,6,6,16,16,28,45,79,25,14
UBC,2010,W,WMST,224,C,001,"WOMEN IN LITRTRE","Stewart, Janice",39,78.76,7.96,91,50,37,0,2,0,0,0,0,0,0,0,0,1,0,1,1,0,5,8,14,4,3
UBC,2010,W,WMST,224,C,002,"WOMEN IN LITRTRE","Snowden, Kim",40,79.56,7.49,91,50,39,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,5,7,20,2,3
UBC,2010,W,WMST,224,C,99A,"WOMEN IN LITRTRE","Brooks, Carellin",16,61.67,19.01,81,4,13,2,0,0,1,1,0,0,0,1,2,2,1,1,3,2,0,2,2,0,0
UBC,2010,W,WMST,224,C,99C,"WOMEN IN LITRTRE","Brooks, Carellin",13,71,0,71,71,1,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
UBC,2010,W,WMST,224,C,GIS,"WOMEN IN LITRTRE","Brooks, Carellin",25,61.5,21.51,85,0,19,5,1,0,0,1,0,2,1,1,5,0,3,0,5,3,1,3,3,1,0
UBC,2010,W,WMST,224, ,OVERALL,"WOMEN IN LITRTRE"," ",271,75.83,12.33,96,0,240,7,11,0,12,2,0,2,1,2,7,5,6,6,16,16,28,45,79,25,14
UBC,2010,W,WMST,300, ,901,"INTR GENDER RELA","Shelley, Christopher",56,80.63,9.42,96,53,51,0,1,4,0,0,0,0,0,0,0,1,0,2,3,1,7,5,10,12,10
UBC,2010,W,WMST,300, ,902,"INTR GENDER RELA","Shelley, Christopher",51,79.69,5.96,88,55,49,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,6,11,21,8,0
UBC,2010,W,WMST,300, ,99A,"INTR GENDER RELA","Bunjun, Benita",45,66.83,19.91,89,0,39,3,2,0,0,2,1,0,0,0,3,2,2,6,3,4,6,10,2,4,0
UBC,2010,W,WMST,300, ,99C,"INTR GENDER RELA","Bunjun, Benita",47,62.88,22.4,90,0,29,5,7,0,3,3,0,0,0,2,5,1,1,6,2,5,6,4,2,1,1
UBC,2010,W,WMST,300, ,OVERALL,"INTR GENDER RELA"," ",199,73.65,16.75,96,0,168,8,12,4,3,5,1,0,0,2,8,4,4,14,8,12,25,30,35,25,11
UBC,2010,W,WMST,301, ,001,"Rol Ab Wom Can","Rymhs, Deena",36,74.54,8.48,86,40,34,1,1,0,0,0,0,0,0,1,1,0,0,2,1,3,9,10,7,2,0
