Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2010,W,ZOOL,500, ,OVERALL,"DST IN ZOOLOGY"," ",13,87.46,5.88,95,77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,6
UBC,2010,W,ZOOL,500,C,201,"DST IN ZOOLOGY","Milsom, William",4,88.75,6.7,95,82,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
UBC,2010,W,ZOOL,500, ,OVERALL,"DST IN ZOOLOGY"," ",13,87.46,5.88,95,77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,6
UBC,2010,W,ZOOL,500,D,101,"DST IN ZOOLOGY","Milsom, William",6,86.33,6.22,94,77,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3
UBC,2010,W,ZOOL,500, ,OVERALL,"DST IN ZOOLOGY"," ",13,87.46,5.88,95,77,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,6
UBC,2010,W,ZOOL,502, ,001,"ECOLOGY SEMINAR","Pavel, Kratina  ;Petermann, Jana",12,90.42,3.82,96,85,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
UBC,2010,W,ZOOL,502, ,OVERALL,"ECOLOGY SEMINAR"," ",12,90.42,3.82,96,85,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
UBC,2010,W,ZOOL,549, ,001,"MASTERS THESIS","",52,83.67,3.21,86,80,3,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
UBC,2010,W,ZOOL,549, ,101,"MASTERS THESIS","",9,89,3.52,94,84,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4
UBC,2010,W,ZOOL,549, ,201,"MASTERS THESIS","",5,87,0,87,87,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
UBC,2010,W,ZOOL,549, ,OVERALL,"MASTERS THESIS"," ",66,87.2,3.94,94,80,10,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4
UBC,2010,W,ZOOL,553, ,001,"ENVIRON PHYS","Galli, Gina ;Shadwick, Robert Edward",8,85.88,2.1,90,84,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1
UBC,2010,W,ZOOL,553, ,OVERALL,"ENVIRON PHYS"," ",8,85.88,2.1,90,84,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1
UBC,2010,W,ZOOL,649, ,001,"DOC DISSERTATION","",81,,,,,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,ZOOL,649, ,101,"DOC DISSERTATION","",4,,,,,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,ZOOL,649, ,201,"DOC DISSERTATION","",8,,,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2010,W,ZOOL,649, ,OVERALL,"DOC DISSERTATION"," ",93,,,,,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
