Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,S,FMST,210, ,001,"FMLY HUMAN DVLPM","Weatherby, Maria",67,72.65,13.57,95,39,64,1,2,0,0,0,0,0,1,0,1,5,5,5,5,11,6,8,4,5,10
UBC,2011,S,FMST,210, ,921,"FMLY HUMAN DVLPM","Weatherby, Maria",53,69.82,10.63,89,33,49,1,2,0,0,0,0,0,1,0,1,1,5,7,4,5,11,8,5,3,0
UBC,2011,S,FMST,210, ,941,"FMLY HUMAN DVLPM","Weatherby, Maria",65,72.74,13.69,96,34,60,1,2,0,0,0,0,0,1,0,1,3,11,2,1,9,8,4,8,6,8
UBC,2011,S,FMST,210, ,OVERALL,"FMLY HUMAN DVLPM"," ",185,71.88,12.84,96,33,173,3,6,0,0,0,0,0,3,0,3,9,21,14,10,25,25,20,17,14,18
UBC,2011,S,FMST,314, ,921,"RELATION DEVELOP","Bartolic, Silvia",94,74.78,8.32,88,37,88,2,2,0,0,0,0,0,1,1,2,0,1,5,2,12,16,22,22,8,0
UBC,2011,S,FMST,314, ,941,"RELATION DEVELOP","Bartolic, Silvia",72,76.08,7.59,90,51,65,0,5,0,0,0,0,0,0,0,0,1,0,2,5,8,6,15,19,8,1
UBC,2011,S,FMST,314, ,OVERALL,"RELATION DEVELOP"," ",166,75.32,8.02,90,37,153,2,7,0,0,0,0,0,1,1,2,1,1,7,7,20,22,37,41,16,1
UBC,2011,S,FMST,316, ,921,"HUMAN SEXUALITY","CRINGAN, JOHN",57,69.42,9.51,88,41,52,1,1,0,0,0,0,0,0,1,1,2,5,5,10,8,8,6,5,3,0
UBC,2011,S,FMST,316, ,98A,"HUMAN SEXUALITY","Hannah, Ted",68,74.16,11.05,95,44,63,1,1,0,0,0,0,0,0,1,1,2,3,4,6,7,10,11,4,10,6
UBC,2011,S,FMST,316, ,98B,"HUMAN SEXUALITY","Hannah, Ted",67,71.06,13.35,92,28,62,5,0,0,0,0,0,1,1,3,5,4,1,5,6,9,8,6,14,6,3
UBC,2011,S,FMST,316, ,OVERALL,"HUMAN SEXUALITY"," ",192,71.66,11.65,95,28,177,7,2,0,0,0,0,1,1,5,7,8,9,14,22,24,26,23,23,19,9
