Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,S,LLED,301, ,92A,"L & C MLTLNG CLS","Meredith, Kimberly",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,301, ,92B,"L & C MLTLNG CLS","SCHROETER, SARA",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,301, ,92C,"L & C MLTLNG CLS","Halpern, Honey",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,301, ,92D,"L & C MLTLNG CLS","Stendardo, Fabrizio",32,,,,,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,301, ,92E,"L & C MLTLNG CLS","Webb, Andrea",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,301, ,92F,"L & C MLTLNG CLS","Halpern, Honey",33,,,,,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,301, ,92H,"L & C MLTLNG CLS","McPherson, Keith",36,,,,,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,301, ,92J,"L & C MLTLNG CLS","McPherson, Keith",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,301, ,92K,"L & C MLTLNG CLS","Lamonde, Anne-Marie",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,301, ,OVERALL,"L & C MLTLNG CLS"," ",298,,,,,0,0,0,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,310, ,107,"INTR EL RD & LA","MALLETT, GRAHAM",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,310, ,OVERALL,"INTR EL RD & LA"," ",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,324, ,951,"T & L FSL ELEM","Golinsky, Ann",29,,,,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,324, ,OVERALL,"T & L FSL ELEM"," ",29,,,,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,399, ,96A,"TESL PRACTICUM","Fouladi, Dianne",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,399, ,OVERALL,"TESL PRACTICUM"," ",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,433, ,951,"DRAMA ELEMENTARY","Wager, Amanda Claudia",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,433, ,OVERALL,"DRAMA ELEMENTARY"," ",31,,,,,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,434, ,952,"DRAMA SECONDARY","Beare, David;SCHROETER, SARA",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,434, ,OVERALL,"DRAMA SECONDARY"," ",37,,,,,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,438, ,951,"TCH WRITING","James, Kedrick",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,438, ,OVERALL,"TCH WRITING"," ",34,,,,,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,439, ,951,"SHKSPR IN CLSRM","James, Kedrick",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,439, ,OVERALL,"SHKSPR IN CLSRM"," ",39,,,,,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,LLED,441, ,921,"INTR TCH CH LIT","Shoemaker, Kathryn",23,86.18,2.89,92,81,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,3
UBC,2011,S,LLED,441, ,OVERALL,"INTR TCH CH LIT"," ",23,86.18,2.89,92,81,22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,3
UBC,2011,S,LLED,446, ,952,"TCH ILLUS MATER","Shoemaker, Kathryn",34,86.65,2.75,92,80,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,5
UBC,2011,S,LLED,446, ,OVERALL,"TCH ILLUS MATER"," ",34,86.65,2.75,92,80,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,22,5
UBC,2011,S,LLED,449, ,951,"TCH ADOLESC LIT","Hill, Peter;Spector, Hannah",29,84.66,5.6,97,76,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,7
UBC,2011,S,LLED,449, ,OVERALL,"TCH ADOLESC LIT"," ",29,84.66,5.6,97,76,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,9,7
UBC,2011,S,LLED,469, ,951,"RESOURCE-BSD TCH","Wilson, Carole",34,84.65,2.78,92,81,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3
UBC,2011,S,LLED,469, ,OVERALL,"RESOURCE-BSD TCH"," ",34,84.65,2.78,92,81,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,3
UBC,2011,S,LLED,478,A,951,"INTRO TO ESL","D'Silva, Reginald;Odo, Dennis Murphy",22,87,6.39,94,65,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,6,10
UBC,2011,S,LLED,478, ,OVERALL,"INTRO TO ESL"," ",95,86.27,5.14,94,65,94,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,9,17,38,28
