Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,S,PLAN,503, ,001,"COMM ECON DEV PL","Trousdale, William",18,89.56,0.51,90,89,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10
UBC,2011,S,PLAN,503, ,OVERALL,"COMM ECON DEV PL"," ",18,89.56,0.51,90,89,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10
UBC,2011,S,PLAN,547,C,941,"Prof Proj Rep","",44,90.2,4.71,95,81,10,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7
UBC,2011,S,PLAN,547, ,OVERALL,"Prof Proj Rep"," ",44,90.2,4.71,95,81,10,0,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7
UBC,2011,S,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",47,90.63,4.23,98,84,41,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,25
UBC,2011,S,PLAN,548,C,001,"CURRENT ISSUES","Shiffer, Michael",9,94,3.71,98,89,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
UBC,2011,S,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",47,90.63,4.23,98,84,41,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,25
UBC,2011,S,PLAN,548,X,941,"CURRENT ISSUES","",21,92,2.74,97,88,17,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15
UBC,2011,S,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",47,90.63,4.23,98,84,41,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,25
UBC,2011,S,PLAN,548,Z,001,"CURRENT ISSUES","Mendes, Wendy",12,85.5,0.9,87,84,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0
UBC,2011,S,PLAN,548, ,OVERALL,"CURRENT ISSUES"," ",47,90.63,4.23,98,84,41,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,25
UBC,2011,S,PLAN,549,C,941,"MASTERS THESIS","",27,,,,,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,PLAN,549, ,OVERALL,"MASTERS THESIS"," ",28,93,0,93,93,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
UBC,2011,S,PLAN,550,A,941,"DIRECTED STUDIES","",11,90,2.83,94,86,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
UBC,2011,S,PLAN,550, ,OVERALL,"DIRECTED STUDIES"," ",16,90.44,2.07,94,86,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
UBC,2011,S,PLAN,550,B,942,"DIRECTED STUDIES","",4,91,0,91,91,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
UBC,2011,S,PLAN,550, ,OVERALL,"DIRECTED STUDIES"," ",16,90.44,2.07,94,86,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
UBC,2011,S,PLAN,550, ,OVERALL,"DIRECTED STUDIES"," ",16,90.44,2.07,94,86,9,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
UBC,2011,S,PLAN,583, ,971,"HOUSING","Gordon, Michael",21,90.15,2.62,94,85,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
UBC,2011,S,PLAN,583, ,OVERALL,"HOUSING"," ",21,90.15,2.62,94,85,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,13
UBC,2011,S,PLAN,649, ,941,"DOC DISSERTATION","",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,S,PLAN,649, ,OVERALL,"DOC DISSERTATION"," ",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
