Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,CICS,500, ,001,"SFTWAR SYS INTRN","",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,CICS,500, ,OVERALL,"SFTWAR SYS INTRN"," ",28,,,,,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,CICS,505, ,001,"INTRO SOFT SYS","Bagheri, Ardeshir",32,62.9,20.99,84,0,25,6,1,0,0,1,0,2,3,0,6,0,0,2,2,6,9,1,5,0,0
UBC,2011,W,CICS,505, ,OVERALL,"INTRO SOFT SYS"," ",33,62.9,20.99,84,0,25,6,2,0,0,1,0,2,3,0,6,0,0,2,2,6,9,1,5,0,0
UBC,2011,W,CICS,510, ,001,"THEORY COMP SCI","Stouraitis, Thanos",30,79.24,18.72,100,0,28,1,1,0,0,1,0,0,0,0,1,0,0,1,0,5,4,2,4,3,9
UBC,2011,W,CICS,510, ,OVERALL,"THEORY COMP SCI"," ",30,79.24,18.72,100,0,28,1,1,0,0,1,0,0,0,0,1,0,0,1,0,5,4,2,4,3,9
UBC,2011,W,CICS,520, ,001,"DATABASE SYSTEMS","Tsiknis, Georgios",27,76.88,18.7,98,0,25,1,1,0,0,1,0,0,0,0,1,0,0,2,0,5,1,2,5,3,7
UBC,2011,W,CICS,520, ,OVERALL,"DATABASE SYSTEMS"," ",28,76.88,18.7,98,0,25,1,2,0,0,1,0,0,0,0,1,0,0,2,0,5,1,2,5,3,7
UBC,2011,W,CICS,530, ,001,"AD SOFTWARE PROJ","Tsiknis, Georgios",31,88.68,7.3,98,70,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,12,15
UBC,2011,W,CICS,530, ,OVERALL,"AD SOFTWARE PROJ"," ",31,88.68,7.3,98,70,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,12,15
