Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,GEOG,121, ,101,"GEOG MOD GLOB I","Glassman, James Francis",177,68.19,11.13,85,13,168,6,2,0,0,0,1,3,1,1,6,7,11,14,14,52,39,7,20,4,0
UBC,2011,W,GEOG,121, ,102,"GEOG MOD GLOB I","Glassman, James Francis",91,67.18,14.04,92,0,81,4,5,0,0,2,0,0,1,1,4,3,5,12,8,20,15,6,8,3,1
UBC,2011,W,GEOG,121, ,OVERALL,"GEOG MOD GLOB I"," ",276,67.86,12.14,92,0,249,10,15,0,0,2,1,3,2,2,10,10,16,26,22,72,54,13,28,7,1
UBC,2011,W,GEOG,122, ,201,"GEOG MOD GLOB II","Barnes, Trevor;Ley, David Frederick",221,65.51,13.57,93,23,189,24,6,0,1,0,0,3,7,14,24,11,21,20,23,39,23,13,28,7,4
UBC,2011,W,GEOG,122, ,299,"GEOG MOD GLOB II","Barnes, Trevor;Ley, David Frederick",89,62.75,13.41,86,35,74,13,1,0,0,0,0,0,8,5,13,8,8,11,11,10,8,7,9,2,0
UBC,2011,W,GEOG,122, ,OVERALL,"GEOG MOD GLOB II"," ",318,64.71,13.56,93,23,263,37,15,0,1,0,0,3,15,19,37,19,29,31,34,49,31,20,37,9,4
UBC,2011,W,GEOG,210, ,101,"VANC AND REGION","Hermansen, Sally;McKendry, Ian",197,74.32,7.05,91,50,193,0,3,0,1,0,0,0,0,0,0,2,5,4,15,37,45,34,36,13,2
UBC,2011,W,GEOG,210, ,OVERALL,"VANC AND REGION"," ",197,74.32,7.05,91,50,193,0,3,0,1,0,0,0,0,0,0,2,5,4,15,37,45,34,36,13,2
UBC,2011,W,GEOG,250, ,101,"CITIES","Wyly, Elvin",54,75.54,10.27,88,50,54,0,0,0,0,0,0,0,0,0,0,3,1,3,4,5,8,3,15,12,0
UBC,2011,W,GEOG,250, ,OVERALL,"CITIES"," ",54,75.54,10.27,88,50,54,0,0,0,0,0,0,0,0,0,0,3,1,3,4,5,8,3,15,12,0
UBC,2011,W,GEOG,281, ,201,"GEOG PACIFIC RIM","PENDLETON, BRIAN",29,73.32,8.48,88,52,28,0,1,0,0,0,0,0,0,0,0,1,2,0,3,2,7,8,3,2,0
UBC,2011,W,GEOG,281, ,OVERALL,"GEOG PACIFIC RIM"," ",30,73.32,8.48,88,52,28,0,2,0,0,0,0,0,0,0,0,1,2,0,3,2,7,8,3,2,0
UBC,2011,W,GEOG,290, ,201,"INTR GEOG CANADA","DYCE, MATTHEW",57,74.75,14.43,95,16,53,3,1,0,0,0,1,1,0,1,3,1,0,2,5,7,7,5,13,9,4
UBC,2011,W,GEOG,290, ,OVERALL,"INTR GEOG CANADA"," ",58,74.75,14.43,95,16,53,3,2,0,0,0,1,1,0,1,3,1,0,2,5,7,7,5,13,9,4
UBC,2011,W,GEOG,310, ,101,"ENVIR & SUST","Bakker, Karen Jessica;Moore, Robert Daniel",198,71.18,12.89,97,0,187,6,5,0,0,1,0,1,1,3,6,14,8,20,13,26,29,17,38,11,11
UBC,2011,W,GEOG,310, ,201,"ENVIR & SUST","Brown, Loch",135,70.58,10.71,98,42,125,2,6,0,2,0,0,0,0,2,2,9,9,11,15,22,16,15,16,7,5
UBC,2011,W,GEOG,310, ,OVERALL,"ENVIR & SUST"," ",333,70.94,12.06,98,0,312,8,11,0,2,1,0,1,1,5,8,23,17,31,28,48,45,32,54,18,16
UBC,2011,W,GEOG,312, ,201,"CLMT CHNG SC SOC","Donner, Simon",73,78.07,10.54,94,18,68,1,3,0,0,0,1,0,0,0,1,0,1,0,4,6,10,13,22,6,6
UBC,2011,W,GEOG,312, ,OVERALL,"CLMT CHNG SC SOC"," ",73,78.07,10.54,94,18,68,1,3,0,0,0,1,0,0,0,1,0,1,0,4,6,10,13,22,6,6
UBC,2011,W,GEOG,316, ,101,"GEOG NATURAL HAZ","Brown, Loch",94,73.04,9.32,91,50,94,0,0,0,0,0,0,0,0,0,0,2,6,9,4,14,15,16,18,7,3
UBC,2011,W,GEOG,316, ,OVERALL,"GEOG NATURAL HAZ"," ",94,73.04,9.32,91,50,94,0,0,0,0,0,0,0,0,0,0,2,6,9,4,14,15,16,18,7,3
UBC,2011,W,GEOG,318, ,201,"SUST CHNG ENVR","Brown, Loch",70,72.72,6.22,90,55,67,0,1,0,2,0,0,0,0,0,0,0,1,3,10,11,20,15,4,2,1
UBC,2011,W,GEOG,318, ,OVERALL,"SUST CHNG ENVR"," ",70,72.72,6.22,90,55,67,0,1,0,2,0,0,0,0,0,0,0,1,3,10,11,20,15,4,2,1
UBC,2011,W,GEOG,319, ,201,"ENV IMPACT ASSMT","Brown, Loch",66,73.86,6.35,87,60,65,0,0,1,0,0,0,0,0,0,0,0,0,4,9,6,20,15,7,4,0
UBC,2011,W,GEOG,319, ,OVERALL,"ENV IMPACT ASSMT"," ",66,73.86,6.35,87,60,65,0,0,1,0,0,0,0,0,0,0,0,0,4,9,6,20,15,7,4,0
UBC,2011,W,GEOG,321, ,101,"HIST GEOG URBANZ","Gregory, Derek John",69,69.4,12.87,88,30,59,6,2,0,2,0,0,0,2,4,6,3,2,5,5,10,10,7,13,4,0
UBC,2011,W,GEOG,321, ,OVERALL,"HIST GEOG URBANZ"," ",69,69.4,12.87,88,30,59,6,2,0,2,0,0,0,2,4,6,3,2,5,5,10,10,7,13,4,0
UBC,2011,W,GEOG,327, ,101,"CREATING CANADA","Galois, Robert",74,68.94,8.34,85,51,72,0,2,0,0,0,0,0,0,0,0,6,6,10,3,15,19,6,5,2,0
UBC,2011,W,GEOG,327, ,OVERALL,"CREATING CANADA"," ",74,68.94,8.34,85,51,72,0,2,0,0,0,0,0,0,0,0,6,6,10,3,15,19,6,5,2,0
UBC,2011,W,GEOG,328, ,201,"CONSTRUCT CANADA","Evenden, Matthew Dominic",106,72.21,14.17,91,0,97,3,5,0,0,2,0,0,1,0,3,4,3,3,8,10,24,10,27,7,1
UBC,2011,W,GEOG,328, ,OVERALL,"CONSTRUCT CANADA"," ",106,72.21,14.17,91,0,97,3,5,0,0,2,0,0,1,0,3,4,3,3,8,10,24,10,27,7,1
UBC,2011,W,GEOG,329, ,101,"INTR POLI GEOG","Le Billon, Philippe",60,71.79,7.17,85,54,56,0,2,0,2,0,0,0,0,0,0,1,1,6,6,11,15,8,5,3,0
UBC,2011,W,GEOG,329, ,OVERALL,"INTR POLI GEOG"," ",60,71.79,7.17,85,54,56,0,2,0,2,0,0,0,0,0,0,1,1,6,6,11,15,8,5,3,0
UBC,2011,W,GEOG,345, ,101,"THRY&PRAC H GEOG","Gregory, Derek John",67,72.53,12.24,94,31,61,3,2,0,1,0,0,0,3,0,3,2,0,4,8,9,7,6,19,5,1
UBC,2011,W,GEOG,345, ,OVERALL,"THRY&PRAC H GEOG"," ",67,72.53,12.24,94,31,61,3,2,0,1,0,0,0,3,0,3,2,0,4,8,9,7,6,19,5,1
UBC,2011,W,GEOG,350, ,101,"URBAN GEOG","Wyly, Elvin",78,74.82,7.88,87,55,73,0,3,0,1,0,0,0,0,0,0,0,4,1,4,14,16,5,20,9,0
UBC,2011,W,GEOG,350, ,201,"URBAN GEOG","Barnes, Trevor",77,69.38,11.34,90,3,72,2,2,0,0,1,0,0,0,1,2,3,5,5,8,16,18,6,8,2,1
