Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,MEDG,410, ,001,"IMMUNOGENETICS","Jefferies, Wilfred Arthur",7,54.43,27.28,78,0,5,2,0,0,0,1,0,0,1,0,2,0,1,0,1,2,0,1,0,0,0
UBC,2011,W,MEDG,410, ,OVERALL,"IMMUNOGENETICS"," ",7,54.43,27.28,78,0,5,2,0,0,0,1,0,0,1,0,2,0,1,0,1,2,0,1,0,0,0
UBC,2011,W,MEDG,419, ,001,"HUMAN CYTOGENET","Hoodless, Pamela;Juriloff, Diana M;Lefebvre, Louis;Robinson, Wendy",20,81.53,5.68,94,73,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,3,2
UBC,2011,W,MEDG,419, ,OVERALL,"HUMAN CYTOGENET"," ",21,81.53,5.68,94,73,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,7,5,3,2
UBC,2011,W,MEDG,420, ,001,"HUMAN BIOC GENET","Conibear, Elizabeth;Kay, Robert;Marra, Marco",12,81.18,5.58,90,73,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1
UBC,2011,W,MEDG,420, ,OVERALL,"HUMAN BIOC GENET"," ",12,81.18,5.58,90,73,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,1
UBC,2011,W,MEDG,421, ,001,"GN&CL BIOL CANCR","Jiang, Xiaoyan;McNagny, Kelly Marshall;Wasserman, Wyeth",34,87.47,5.35,95,75,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,13,13
UBC,2011,W,MEDG,421, ,OVERALL,"GN&CL BIOL CANCR"," ",34,87.47,5.35,95,75,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,13,13
UBC,2011,W,MEDG,448, ,OVERALL,"DIRECTED STUDIES"," ",6,88.8,8.17,98,76,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
UBC,2011,W,MEDG,448, ,OVERALL,"DIRECTED STUDIES"," ",6,88.8,8.17,98,76,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2
