Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,ONCO,502, ,001,"CONCEPTS IN ONCO","Yip, Stephen",20,92.61,4.3,100,85,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
UBC,2011,W,ONCO,502, ,OVERALL,"CONCEPTS IN ONCO"," ",20,92.61,4.3,100,85,18,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15
UBC,2011,W,ONCO,510, ,001,"SEMINARS IN ONCO","",25,,,,,0,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,ONCO,510, ,OVERALL,"SEMINARS IN ONCO"," ",27,,,,,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,ONCO,548,A,001,"ONCO ROTATION","",4,91.67,2.89,95,90,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UBC,2011,W,ONCO,548, ,OVERALL,"ONCO ROTATION"," ",4,91.67,2.89,95,90,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UBC,2011,W,ONCO,548, ,OVERALL,"ONCO ROTATION"," ",4,91.67,2.89,95,90,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
UBC,2011,W,ONCO,549, ,001,"M.SC. THESIS","",12,,,,,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,ONCO,549, ,OVERALL,"M.SC. THESIS"," ",15,,,,,0,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,ONCO,649, ,001,"DOC DISSERTATION","",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2011,W,ONCO,649, ,OVERALL,"DOC DISSERTATION"," ",24,,,,,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
