Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,PHAR,201, ,001,"PHARM PAT SOC","Brady, Colleen",225,86.07,5.74,95,62,225,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,13,46,70,86
UBC,2011,W,PHAR,201, ,OVERALL,"PHARM PAT SOC"," ",225,86.07,5.74,95,62,225,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,13,46,70,86
UBC,2011,W,PHAR,202, ,L01,"PHARM SKL I","Pearson, Marion;Seet, Tony;Seto, Katherine",25,78.76,6.31,90,60,25,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,9,5,1
UBC,2011,W,PHAR,202, ,L02,"PHARM SKL I","Pearson, Marion;Seet, Tony;Seto, Katherine",25,73.88,9.48,91,55,25,0,0,0,0,0,0,0,0,0,0,0,3,0,1,5,4,5,3,3,1
UBC,2011,W,PHAR,202, ,L03,"PHARM SKL I","Pearson, Marion;Seet, Tony;Seto, Katherine",25,78.71,9.93,91,50,24,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,5,4,7,2
UBC,2011,W,PHAR,202, ,L04,"PHARM SKL I","Pearson, Marion;Seet, Tony;Seto, Katherine",25,74.32,8.16,91,57,25,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,5,6,1,1
UBC,2011,W,PHAR,202, ,L05,"PHARM SKL I","Pearson, Marion;Seet, Tony;Seto, Katherine",25,73.52,6.32,85,57,25,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,8,5,4,1,0
UBC,2011,W,PHAR,202, ,L06,"PHARM SKL I","Pearson, Marion;Seet, Tony;Seto, Katherine",25,77.28,6.53,88,60,25,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,8,4,0
UBC,2011,W,PHAR,202, ,L07,"PHARM SKL I","Pearson, Marion;Seet, Tony;Seto, Katherine",25,76.6,6.71,90,60,25,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,7,8,1,1
UBC,2011,W,PHAR,202, ,L08,"PHARM SKL I","Pearson, Marion;Seet, Tony;Seto, Katherine",25,73.44,8.91,87,51,25,0,0,0,0,0,0,0,0,0,0,1,0,1,4,5,3,2,6,3,0
UBC,2011,W,PHAR,202, ,L09,"PHARM SKL I","Pearson, Marion;Seet, Tony;Seto, Katherine",25,75.12,6.57,85,64,25,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,8,5,2,0
UBC,2011,W,PHAR,202, ,OVERALL,"PHARM SKL I"," ",226,75.72,7.9,91,50,224,0,2,0,0,0,0,0,0,0,0,2,5,8,15,24,38,46,53,27,6
UBC,2011,W,PHAR,220, ,001,"PHYSICOCHEM","Albon, Simon",226,85.93,6.76,96,51,225,0,1,0,0,0,0,0,0,0,0,1,1,1,1,5,7,15,39,79,76
UBC,2011,W,PHAR,220, ,OVERALL,"PHYSICOCHEM"," ",226,85.93,6.76,96,51,225,0,1,0,0,0,0,0,0,0,0,1,1,1,1,5,7,15,39,79,76
UBC,2011,W,PHAR,241, ,001,"FOUND PHARMAC","Chang, Thomas",219,79.82,8,94,54,217,0,2,0,0,0,0,0,0,0,0,2,2,3,9,12,28,29,76,30,26
UBC,2011,W,PHAR,241, ,OVERALL,"FOUND PHARMAC"," ",219,79.82,8,94,54,217,0,2,0,0,0,0,0,0,0,0,2,2,3,9,12,28,29,76,30,26
UBC,2011,W,PHAR,299, ,001,"CASES PHARM I","Price, Ingrid",225,84.13,5.01,95,60,224,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,5,25,74,91,24
UBC,2011,W,PHAR,299, ,OVERALL,"CASES PHARM I"," ",226,84.13,5.01,95,60,224,0,2,0,0,0,0,0,0,0,0,0,0,1,0,4,5,25,74,91,24
UBC,2011,W,PHAR,303, ,L01,"PHARMACY II","Brady, Colleen;Seto, Katherine",26,82.77,5.64,91,72,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,9,5
UBC,2011,W,PHAR,303, ,L02,"PHARMACY II","Brady, Colleen;Seto, Katherine",26,76.96,6.76,89,62,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,6,7,4,0
UBC,2011,W,PHAR,303, ,L03,"PHARMACY II","Brady, Colleen;Seto, Katherine",26,81.85,6.24,92,68,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,8,6,4
UBC,2011,W,PHAR,303, ,L04,"PHARMACY II","Brady, Colleen;Seto, Katherine",26,82.54,5.34,94,66,26,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,11,9,2
