Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,PHYS,100, ,101,"INTRO PHYSICS","Rieger, Georg",277,75.38,13.01,96,29,251,19,4,0,3,0,0,1,7,11,19,1,4,5,12,29,50,29,53,43,25
UBC,2011,W,PHYS,100, ,102,"INTRO PHYSICS","Pavan, Marcello;Rieger, Georg",257,78.82,12.28,98,27,241,13,1,0,2,0,0,1,3,9,13,1,1,6,7,23,25,23,71,47,37
UBC,2011,W,PHYS,100, ,103,"INTRO PHYSICS","Reinsberg, Stefan;Rieger, Georg",297,75.06,13.01,97,27,265,24,6,0,2,0,0,1,4,19,24,2,2,5,12,39,40,32,71,38,24
UBC,2011,W,PHYS,100, ,OVERALL,"INTRO PHYSICS"," ",842,76.34,12.88,98,27,757,56,22,0,7,0,0,3,14,39,56,4,7,16,31,91,115,84,195,128,86
UBC,2011,W,PHYS,101, ,101,"ENERGY & WAVES","Iqbal, Javed",232,76.74,12.62,97,25,219,8,2,0,3,0,0,1,1,6,8,4,9,13,11,21,22,31,39,38,31
UBC,2011,W,PHYS,101, ,102,"ENERGY & WAVES","Heiner, Cynthia",215,75.2,11.95,98,29,201,9,2,0,3,0,0,1,1,7,9,1,10,13,15,20,26,19,54,28,15
UBC,2011,W,PHYS,101, ,103,"ENERGY & WAVES","Bates, Frances",226,74.22,14.93,99,14,198,22,5,0,1,0,1,0,1,20,22,5,1,13,21,19,22,19,38,32,28
UBC,2011,W,PHYS,101, ,104,"ENERGY & WAVES","MacKay, Alexander",165,79.35,10.92,97,25,161,4,0,0,0,0,0,1,0,3,4,0,1,5,9,12,20,17,37,35,25
UBC,2011,W,PHYS,101, ,201,"ENERGY & WAVES","Oser, Scott",250,65.3,14.78,94,23,199,49,2,0,0,0,0,2,12,35,49,8,15,29,19,37,24,19,29,12,7
UBC,2011,W,PHYS,101, ,202,"ENERGY & WAVES","Milner, Valery",290,66.09,13.97,98,21,234,48,4,0,3,0,0,2,4,42,48,9,34,28,29,27,32,26,21,20,8
UBC,2011,W,PHYS,101, ,203,"ENERGY & WAVES","Eldridge, John E",222,67.31,14.04,93,18,183,31,5,0,3,0,1,0,6,24,31,4,17,25,26,21,27,18,23,14,8
UBC,2011,W,PHYS,101, ,OVERALL,"ENERGY & WAVES"," ",1619,71.43,14.46,99,14,1395,171,39,0,13,0,2,7,25,137,171,31,87,126,130,157,173,149,241,179,122
UBC,2011,W,PHYS,102, ,201,"ELEC LIGHT & RAD","Sossi, Vesna",202,71.39,13.85,97,16,176,20,4,0,2,0,1,0,3,16,20,4,7,15,22,20,33,20,20,19,16
UBC,2011,W,PHYS,102, ,203,"ELEC LIGHT & RAD","Bates, Frances",190,71.66,15.03,96,31,165,21,2,0,2,0,0,0,6,15,21,4,12,11,16,19,14,22,30,18,19
