Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2011,W,SCAN,100, ,001,"ELEM SWEDISH 1","Karlstrom, Lena",30,78.07,15.18,96,21,28,1,0,1,0,0,0,1,0,0,1,0,1,1,3,1,3,1,7,5,6
UBC,2011,W,SCAN,100, ,002,"ELEM SWEDISH 1","Karlstrom, Lena",30,85.37,8.08,96,64,30,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,3,7,12
UBC,2011,W,SCAN,100, ,OVERALL,"ELEM SWEDISH 1"," ",60,81.78,12.55,96,21,58,1,0,1,0,0,0,1,0,0,1,0,1,1,4,1,5,6,10,12,18
UBC,2011,W,SCAN,110, ,001,"ELEM SWEDISH 2","Karlstrom, Lena",31,82.9,8.49,93,65,30,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,2,9,9
UBC,2011,W,SCAN,110, ,OVERALL,"ELEM SWEDISH 2"," ",31,82.9,8.49,93,65,30,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,2,9,9
UBC,2011,W,SCAN,150, ,001,"ELEM DANISH 1","Monrad, Jens",17,82.64,7.9,92,67,14,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,4,3
UBC,2011,W,SCAN,150, ,OVERALL,"ELEM DANISH 1"," ",17,82.64,7.9,92,67,14,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,4,3
UBC,2011,W,SCAN,160, ,001,"ELEM DANISH 2","Monrad, Jens",10,83.44,5.9,91,73,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1
UBC,2011,W,SCAN,160, ,OVERALL,"ELEM DANISH 2"," ",10,83.44,5.9,91,73,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1
UBC,2011,W,SCAN,200, ,001,"INT SWEDISH 1","Karlstrom, Lena",12,81.38,6.12,93,73,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1
UBC,2011,W,SCAN,200, ,OVERALL,"INT SWEDISH 1"," ",12,81.38,6.12,93,73,8,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,1,1
UBC,2011,W,SCAN,210, ,001,"INT SWEDISH 2","Karlstrom, Lena",9,77.29,17.59,90,38,6,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1,1
UBC,2011,W,SCAN,210, ,OVERALL,"INT SWEDISH 2"," ",9,77.29,17.59,90,38,6,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,1,1
UBC,2011,W,SCAN,250, ,001,"INT DANISH 1","Monrad, Jens",4,78.5,9.95,92,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1
UBC,2011,W,SCAN,250, ,OVERALL,"INT DANISH 1"," ",4,78.5,9.95,92,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1
UBC,2011,W,SCAN,260, ,001,"INT DANISH 2","Monrad, Jens",4,78,9.56,92,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
UBC,2011,W,SCAN,260, ,OVERALL,"INT DANISH 2"," ",4,78,9.56,92,71,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
UBC,2011,W,SCAN,333, ,001,"MAJOR SCAN LIT","Monrad, Jens",43,81.02,8,93,52,43,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,8,13,10,5
UBC,2011,W,SCAN,333, ,OVERALL,"MAJOR SCAN LIT"," ",43,81.02,8,93,52,43,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,8,13,10,5
UBC,2011,W,SCAN,334, ,001,"COMTEMP SCAN FIC","Karlstrom, Lena",41,81,8.04,91,42,39,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5,6,11,14,3
UBC,2011,W,SCAN,334, ,OVERALL,"COMTEMP SCAN FIC"," ",41,81,8.04,91,42,39,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,5,6,11,14,3
UBC,2011,W,SCAN,411,A,101,"DRAMA & FILM TRN","Stenberg, Peter A",63,79.08,6.4,91,60,63,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,10,11,23,10,3
UBC,2011,W,SCAN,411, ,OVERALL,"DRAMA & FILM TRN"," ",63,79.08,6.4,91,60,63,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,10,11,23,10,3
UBC,2011,W,SCAN,412, ,001,"NRTHRN EURO EPIC","Stenberg, Peter A",27,77.7,9.16,88,51,27,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,5,8,7,0
UBC,2011,W,SCAN,412, ,OVERALL,"NRTHRN EURO EPIC"," ",27,77.7,9.16,88,51,27,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,4,5,8,7,0
UBC,2011,W,SCAN,413,A,001,"LIT BLT ENG TRAN","Stenberg, Peter A",27,83.44,6.19,94,72,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,10,5,6
UBC,2011,W,SCAN,413, ,OVERALL,"LIT BLT ENG TRAN"," ",27,83.44,6.19,94,72,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,10,5,6
UBC,2011,W,SCAN,414, ,001,"TOP DAN & N EURO","Monrad, Jens",22,79.85,8.93,93,60,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,5,4,3
UBC,2011,W,SCAN,414, ,OVERALL,"TOP DAN & N EURO"," ",22,79.85,8.93,93,60,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,5,4,3
