Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,S,PHTH,531, ,001,"PATH FOR PT 3","",77,,,,,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,S,PHTH,531, ,OVERALL,"PATH FOR PT 3"," ",77,,,,,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,S,PHTH,532, ,001,"REHAB RSRCH I","",77,78.75,6.03,91,64,77,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,13,22,19,12,3
UBC,2012,S,PHTH,532, ,OVERALL,"REHAB RSRCH I"," ",77,78.75,6.03,91,64,77,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,13,22,19,12,3
UBC,2012,S,PHTH,534, ,001,"CLINCL PRAC III","",77,,,,,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,S,PHTH,534, ,OVERALL,"CLINCL PRAC III"," ",77,,,,,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,S,PHTH,538, ,001,"CASE INTEG II","",77,88.47,5.36,97,75,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,18,41
UBC,2012,S,PHTH,538, ,OVERALL,"CASE INTEG II"," ",77,88.47,5.36,97,75,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,14,18,41
UBC,2012,S,PHTH,544, ,921,"CLIN PRAC IV","",77,,,,,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,S,PHTH,544, ,OVERALL,"CLIN PRAC IV"," ",77,,,,,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,S,PHTH,546, ,921,"CLIN MAKE III","",77,91.6,2.29,96,86,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,67
UBC,2012,S,PHTH,546, ,OVERALL,"CLIN MAKE III"," ",77,91.6,2.29,96,86,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,67
UBC,2012,S,PHTH,558, ,001,"CASE INTGR IV","",78,86.55,4.31,97,77,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,37,17
UBC,2012,S,PHTH,558, ,OVERALL,"CASE INTGR IV"," ",78,86.55,4.31,97,77,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21,37,17
UBC,2012,S,PHTH,572, ,001,"REHAB RSCH II","",78,92.92,1.49,96,90,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
UBC,2012,S,PHTH,572, ,OVERALL,"REHAB RSCH II"," ",78,92.92,1.49,96,90,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78
UBC,2012,S,PHTH,574, ,001,"CLINCL PRAC VII","",78,,,,,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2012,S,PHTH,574, ,OVERALL,"CLINCL PRAC VII"," ",78,,,,,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
