Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,W,ANTH,100,A,001,"INTRO CULT ANTH","Menzies, Charles",236,68.75,11.3,100,33,214,6,7,0,6,0,0,0,4,2,6,15,17,26,25,37,27,33,16,10,8
UBC,2012,W,ANTH,100,A,002,"INTRO CULT ANTH","Geary, David",233,75.81,9.44,98,46,220,1,7,0,5,0,0,0,0,1,1,5,10,11,9,20,44,37,46,24,14
UBC,2012,W,ANTH,100,A,003,"INTRO CULT ANTH","Robertson, Leslie",80,70.67,14.15,92,22,70,5,4,0,0,0,0,2,1,2,5,4,5,3,7,12,9,6,10,10,4
UBC,2012,W,ANTH,100,A,005,"INTRO CULT ANTH","Ryniker, David",46,70.79,8.95,92,40,42,1,0,0,3,0,0,0,0,1,1,0,1,6,5,8,10,6,4,0,2
UBC,2012,W,ANTH,100, ,OVERALL,"INTRO CULT ANTH"," ",612,71.95,11.32,100,22,546,13,35,0,14,0,0,2,5,6,13,24,33,46,46,77,90,82,76,44,28
UBC,2012,W,ANTH,100, ,OVERALL,"INTRO CULT ANTH"," ",612,71.95,11.32,100,22,546,13,35,0,14,0,0,2,5,6,13,24,33,46,46,77,90,82,76,44,28
UBC,2012,W,ANTH,103, ,002,"INTR ARCHAEOLOGY","LA SALLE, MARINA",138,73.58,7.33,91,51,131,0,3,0,1,0,0,0,0,0,0,2,3,4,18,21,32,26,17,6,2
UBC,2012,W,ANTH,103, ,004,"INTR ARCHAEOLOGY","Pokotylo, David",152,65.66,14.19,90,0,138,14,0,0,0,1,1,3,1,8,14,7,17,17,20,21,19,14,16,5,2
UBC,2012,W,ANTH,103, ,OVERALL,"INTR ARCHAEOLOGY"," ",292,69.33,12.18,91,0,269,14,5,0,1,1,1,3,1,8,14,9,20,21,38,42,51,40,33,11,4
UBC,2012,W,ANTH,201,A,001,"ETHNIC RELATIONS","Ryniker, David",43,73.61,7.64,88,56,41,0,2,0,0,0,0,0,0,0,0,0,2,1,8,2,11,7,7,3,0
UBC,2012,W,ANTH,201,A,002,"ETHNIC RELATIONS","Ryniker, David",36,69.53,8.66,83,40,33,1,1,0,1,0,0,0,0,1,1,2,1,2,2,9,12,2,3,0,0
