Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,W,FNH ,200, ,101,"EXPLOR OUR FOOD","",175,77.87,11.36,96,15,172,1,2,0,0,0,1,0,0,0,1,1,4,10,11,13,33,16,23,33,28
UBC,2012,W,FNH ,200, ,102,"EXPLOR OUR FOOD","",146,74.55,10.67,90,0,142,2,0,0,0,1,1,0,0,0,2,1,2,7,14,11,30,32,33,11,1
UBC,2012,W,FNH ,200, ,99A,"EXPLOR OUR FOOD","",25,72.17,13.56,96,45,23,1,1,0,0,0,0,0,0,1,1,1,3,2,2,1,2,3,6,1,2
UBC,2012,W,FNH ,200, ,99B,"EXPLOR OUR FOOD","",34,75.06,14.93,95,42,30,2,1,0,0,0,0,0,0,2,2,1,3,2,1,4,3,1,4,4,7
UBC,2012,W,FNH ,200, ,99C,"EXPLOR OUR FOOD","",30,78.73,14.25,99,39,29,1,0,0,0,0,0,0,1,0,1,2,1,0,0,3,3,3,2,12,3
UBC,2012,W,FNH ,200, ,99D,"EXPLOR OUR FOOD","",30,74.93,12.29,94,50,28,0,1,0,1,0,0,0,0,0,0,4,1,0,1,3,5,2,6,4,2
UBC,2012,W,FNH ,200, ,99E,"EXPLOR OUR FOOD","",24,67.82,16.57,91,26,16,1,1,0,1,0,0,1,0,0,1,2,2,2,1,2,0,3,1,2,1
UBC,2012,W,FNH ,200, ,99F,"EXPLOR OUR FOOD","",30,80.93,11.53,98,50,28,0,1,0,1,0,0,0,0,0,0,1,1,0,2,1,1,1,8,8,5
UBC,2012,W,FNH ,200, ,99G,"EXPLOR OUR FOOD","",33,74,20.25,94,0,26,3,2,0,0,1,0,0,1,1,3,0,3,1,0,1,4,1,6,5,5
UBC,2012,W,FNH ,200, ,99H,"EXPLOR OUR FOOD","",25,77.4,14.62,94,43,24,1,0,0,0,0,0,0,0,1,1,1,2,2,0,1,3,1,3,4,7
UBC,2012,W,FNH ,200, ,OVERALL,"EXPLOR OUR FOOD"," ",552,76.04,12.88,99,0,518,12,9,0,3,2,2,1,2,5,12,14,22,26,32,40,84,63,92,84,61
UBC,2012,W,FNH ,250, ,001,"NUTR CONC & CONT","",97,73.15,11.92,90,18,91,3,3,0,0,0,1,0,1,1,3,4,4,3,8,15,12,11,22,11,1
UBC,2012,W,FNH ,250, ,002,"NUTR CONC & CONT","",68,74.07,10.53,91,44,65,2,1,0,0,0,0,0,0,2,2,1,4,4,5,7,8,15,13,6,2
UBC,2012,W,FNH ,250, ,003,"NUTR CONC & CONT","",77,70.81,11.59,91,39,74,3,0,0,0,0,0,0,1,2,3,8,0,7,5,11,16,8,10,8,1
UBC,2012,W,FNH ,250, ,99A,"NUTR CONC & CONT","",29,77.52,9.86,92,53,27,0,1,0,0,0,0,0,0,0,0,1,1,2,0,1,5,2,9,5,1
UBC,2012,W,FNH ,250, ,99C,"NUTR CONC & CONT","",29,79.71,9.91,92,56,28,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,4,4,5,7,4
UBC,2012,W,FNH ,250, ,OVERALL,"NUTR CONC & CONT"," ",300,73.77,11.41,92,18,285,8,5,0,0,0,1,0,2,5,8,14,11,16,20,34,45,40,59,37,9
UBC,2012,W,FNH ,300, ,001,"PRNC FOOD ENG","",44,72.86,11.41,88,41,43,1,0,0,0,0,0,0,0,1,1,3,3,1,6,5,5,4,9,7,0
UBC,2012,W,FNH ,300, ,OVERALL,"PRNC FOOD ENG"," ",44,72.86,11.41,88,41,43,1,0,0,0,0,0,0,0,1,1,3,3,1,6,5,5,4,9,7,0
UBC,2012,W,FNH ,301, ,001,"FOOD CHEMISTRY I","",63,73,9.51,90,53,61,0,1,0,0,0,0,0,0,0,0,1,5,5,8,9,7,9,8,8,1
UBC,2012,W,FNH ,301, ,OVERALL,"FOOD CHEMISTRY I"," ",64,73,9.51,90,53,61,0,2,0,0,0,0,0,0,0,0,1,5,5,8,9,7,9,8,8,1
UBC,2012,W,FNH ,302, ,001,"FOOD ANALYSIS","",38,76.92,7.05,93,56,37,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6,7,6,13,2,1
UBC,2012,W,FNH ,302, ,OVERALL,"FOOD ANALYSIS"," ",39,76.92,7.05,93,56,37,0,2,0,0,0,0,0,0,0,0,0,1,1,0,6,7,6,13,2,1
UBC,2012,W,FNH ,309, ,001,"FOOD PROC SC","",63,73.9,11.22,92,50,63,0,0,0,0,0,0,0,0,0,0,2,7,5,4,4,12,10,8,5,6
UBC,2012,W,FNH ,309, ,OVERALL,"FOOD PROC SC"," ",63,73.9,11.22,92,50,63,0,0,0,0,0,0,0,0,0,0,2,7,5,4,4,12,10,8,5,6
UBC,2012,W,FNH ,313, ,001,"Microorg in Food","",53,79.21,7.58,95,63,53,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,9,7,13,12,4
UBC,2012,W,FNH ,313, ,OVERALL,"Microorg in Food"," ",53,79.21,7.58,95,63,53,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,9,7,13,12,4
UBC,2012,W,FNH ,325, ,001,"FOOD SCI LAB 1","",15,73.33,4.64,80,63,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,3,1,0,0
UBC,2012,W,FNH ,325, ,OVERALL,"FOOD SCI LAB 1"," ",15,73.33,4.64,80,63,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,3,1,0,0
