Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,W,MECH,220, ,101,"TECH SKILLS PRAC","Fengler, Markus;Green, Sheldon;Ollivier-Gooch, Carl;Schajer, Gary;TBA",123,79.53,6.62,98,65,122,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11,23,29,28,20,9
UBC,2012,W,MECH,220, ,OVERALL,"TECH SKILLS PRAC"," ",123,79.53,6.62,98,65,122,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11,23,29,28,20,9
UBC,2012,W,MECH,221, ,101,"ENGIN SCIENCE I","Cripton, Peter;Ollivier-Gooch, Carl;Schajer, Gary;TBA",128,72.32,10.53,100,41,122,4,1,1,0,0,0,0,0,4,4,3,9,6,13,22,27,15,14,7,6
UBC,2012,W,MECH,221, ,OVERALL,"ENGIN SCIENCE I"," ",132,72.32,10.53,100,41,122,4,3,3,0,0,0,0,0,4,4,3,9,6,13,22,27,15,14,7,6
UBC,2012,W,MECH,222, ,201,"ENGIN SCIENCE II","Bushe, William Kendal;Evans, Robert;Ollivier-Gooch, Carl",131,69.32,12.71,100,35,117,14,0,0,0,0,0,0,2,12,14,1,6,11,19,23,22,11,9,5,10
UBC,2012,W,MECH,222, ,OVERALL,"ENGIN SCIENCE II"," ",131,69.32,12.71,100,35,117,14,0,0,0,0,0,0,2,12,14,1,6,11,19,23,22,11,9,5,10
UBC,2012,W,MECH,223, ,201,"MECH DESIGN","Fengler, Markus;Ollivier-Gooch, Carl;Ostafichuk, Peter",125,72.42,11.39,98,42,121,4,0,0,0,0,0,0,0,4,4,8,9,2,9,7,21,33,19,9,4
UBC,2012,W,MECH,223, ,OVERALL,"MECH DESIGN"," ",125,72.42,11.39,98,42,121,4,0,0,0,0,0,0,0,4,4,8,9,2,9,7,21,33,19,9,4
UBC,2012,W,MECH,224, ,101,"ENG CONCEPTS I","Ollivier-Gooch, Carl",128,69.09,14.04,100,32,106,21,1,0,0,0,0,0,3,18,21,1,3,3,17,21,25,10,13,7,6
UBC,2012,W,MECH,224, ,OVERALL,"ENG CONCEPTS I"," ",129,69.09,14.04,100,32,106,21,2,0,0,0,0,0,3,18,21,1,3,3,17,21,25,10,13,7,6
UBC,2012,W,MECH,225, ,201,"ENG CONCEPTS II","Ollivier-Gooch, Carl",131,68.15,14.13,100,35,107,24,0,0,0,0,0,0,2,22,24,0,3,6,19,22,22,11,9,5,10
UBC,2012,W,MECH,225, ,OVERALL,"ENG CONCEPTS II"," ",131,68.15,14.13,100,35,107,24,0,0,0,0,0,0,2,22,24,0,3,6,19,22,22,11,9,5,10
UBC,2012,W,MECH,260, ,101,"MECH OF MATERIAL","De Silva, Clarence Wilfred",116,71.77,13.56,99,27,115,1,0,0,0,0,0,1,0,0,1,13,7,13,12,14,11,8,17,5,15
UBC,2012,W,MECH,260, ,102,"MECH OF MATERIAL","Sassani, Farrokh",117,74.56,14.17,100,40,110,7,0,0,0,0,0,0,0,7,7,7,3,7,7,10,14,14,20,9,19
UBC,2012,W,MECH,260, ,OVERALL,"MECH OF MATERIAL"," ",233,73.17,13.91,100,27,225,8,0,0,0,0,0,1,0,7,8,20,10,20,19,24,25,22,37,14,34
UBC,2012,W,MECH,280, ,201,"FLUID MECHANICS","Frigaard, Ian",74,70.97,14.84,97,20,66,6,2,0,0,0,0,2,1,3,6,0,5,9,6,7,8,9,9,9,4
UBC,2012,W,MECH,280, ,OVERALL,"FLUID MECHANICS"," ",76,70.97,14.84,97,20,66,6,4,0,0,0,0,2,1,3,6,0,5,9,6,7,8,9,9,9,4
UBC,2012,W,MECH,305, ,201,"DATA ANL&MCH ENG","Mikkelsen, Jon",118,78.19,8.98,95,44,114,2,2,0,0,0,0,0,0,2,2,2,1,3,6,6,14,15,43,18,6
UBC,2012,W,MECH,305, ,OVERALL,"DATA ANL&MCH ENG"," ",120,78.19,8.98,95,44,114,2,4,0,0,0,0,0,0,2,2,2,1,3,6,6,14,15,43,18,6
UBC,2012,W,MECH,306, ,201,"DATA ANL MEC LAB","Mikkelsen, Jon",28,77.89,11.38,95,34,26,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,7,4,7,4,2
UBC,2012,W,MECH,306, ,OVERALL,"DATA ANL MEC LAB"," ",28,77.89,11.38,95,34,26,1,0,0,1,0,0,0,1,0,1,0,0,1,1,0,7,4,7,4,2
UBC,2012,W,MECH,325, ,101,"MECH DESIGN I","Van der Loos, Hendrik",82,73.48,12.36,98,41,76,5,1,0,0,0,0,0,0,5,5,1,1,7,8,7,15,11,12,4,10
UBC,2012,W,MECH,325, ,102,"MECH DESIGN I","Van der Loos, Hendrik",87,71.77,13.91,99,31,81,5,1,0,0,0,0,0,3,2,5,6,1,4,10,19,7,7,13,5,9
UBC,2012,W,MECH,325, ,OVERALL,"MECH DESIGN I"," ",170,72.6,13.17,99,31,157,10,3,0,0,0,0,0,3,7,10,7,2,11,18,26,22,18,25,9,19
UBC,2012,W,MECH,326, ,101,"MECH DESIGN II","Mikkelsen, Jon",135,72.24,11.98,97,43,129,6,0,0,0,0,0,0,0,6,6,0,13,10,25,12,15,9,19,13,13
UBC,2012,W,MECH,326, ,OVERALL,"MECH DESIGN II"," ",135,72.24,11.98,97,43,129,6,0,0,0,0,0,0,0,6,6,0,13,10,25,12,15,9,19,13,13
UBC,2012,W,MECH,327, ,101,"THERM SYS DESIGN","Rogak, Steven",102,71.52,12.74,100,40,98,2,1,0,1,0,0,0,0,2,2,7,8,11,9,12,19,5,9,9,9
UBC,2012,W,MECH,327, ,OVERALL,"THERM SYS DESIGN"," ",103,71.36,12.78,100,40,99,2,1,0,1,0,0,0,0,2,2,7,9,11,9,12,19,5,9,9,9
UBC,2012,W,MECH,328, ,101,"MECH ENG PROJECT","Dunwoody, A Bruce;Fengler, Markus;Sassani, Farrokh",132,83.55,5.27,95,65,131,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,18,43,47,14
UBC,2012,W,MECH,328, ,OVERALL,"MECH ENG PROJECT"," ",132,83.55,5.27,95,65,131,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,4,18,43,47,14
UBC,2012,W,MECH,329, ,101,"MTRL MECH DESIGN","Romilly, Douglas",46,73.31,10.91,96,50,45,0,1,0,0,0,0,0,0,0,0,1,5,4,4,5,6,5,10,1,4
UBC,2012,W,MECH,329, ,OVERALL,"MTRL MECH DESIGN"," ",46,73.31,10.91,96,50,45,0,1,0,0,0,0,0,0,0,0,1,5,4,4,5,6,5,10,1,4
UBC,2012,W,MECH,356, ,101,"MACHINE COMPONTS","Cramond, Pat",16,74.94,8.09,86,58,16,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,3,6,1,0
UBC,2012,W,MECH,356, ,OVERALL,"MACHINE COMPONTS"," ",16,74.94,8.09,86,58,16,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,3,6,1,0
UBC,2012,W,MECH,358, ,201,"ENGINEERING ANYL","Homsy, Bud",119,77.97,12.91,97,22,111,3,2,0,3,0,0,1,1,1,3,1,6,4,8,9,8,14,23,15,23
UBC,2012,W,MECH,358, ,OVERALL,"ENGINEERING ANYL"," ",121,77.97,12.91,97,22,111,3,4,0,3,0,0,1,1,1,3,1,6,4,8,9,8,14,23,15,23
UBC,2012,W,MECH,360, ,101,"MECH MATERIALS","Chiao, Mu",132,66.15,16.18,100,0,112,17,1,2,0,1,0,0,3,13,17,12,11,15,11,11,12,12,12,5,11
UBC,2012,W,MECH,360, ,201,"MECH MATERIALS","Schajer, Gary",103,74.96,13.63,100,38,97,5,1,0,0,0,0,0,1,4,5,6,4,4,7,8,9,17,18,13,11
UBC,2012,W,MECH,360, ,OVERALL,"MECH MATERIALS"," ",239,70.04,15.7,100,0,209,22,4,4,0,1,0,0,4,17,22,18,15,19,18,19,21,29,30,18,22
UBC,2012,W,MECH,366, ,101,"MECHATRONIC SYST","Rohling, Robert",36,78.11,10.57,98,56,36,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,7,8,2,6
UBC,2012,W,MECH,366, ,OVERALL,"MECHATRONIC SYST"," ",36,78.11,10.57,98,56,36,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,4,7,8,2,6
UBC,2012,W,MECH,368, ,101,"MSRMNTS&INSTRMNT","Karim, Faizal",78,79.26,10.16,94,44,75,3,0,0,0,0,0,0,0,3,3,0,0,2,3,3,12,10,18,13,14
UBC,2012,W,MECH,368, ,OVERALL,"MSRMNTS&INSTRMNT"," ",78,79.26,10.16,94,44,75,3,0,0,0,0,0,0,0,3,3,0,0,2,3,3,12,10,18,13,14
UBC,2012,W,MECH,375, ,101,"HEAT TRANSFER I","Atabaki, Nima",133,66.93,20.08,99,5,107,22,4,0,0,3,1,1,6,11,22,11,6,8,17,5,13,4,21,2,20
UBC,2012,W,MECH,375, ,201,"HEAT TRANSFER I","Atabaki, Nima",139,73.46,14.47,100,37,128,8,2,0,1,0,0,0,1,7,8,5,9,11,12,12,16,9,19,12,23
UBC,2012,W,MECH,375, ,T1A,"HEAT TRANSFER I","Atabaki, Nima",4,,,,,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
