Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,W,PERS,100, ,001,"BASIC PERSIAN 1","Zolfi-Sistani, Fahimeh",14,82.9,19.08,92,30,9,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,6
UBC,2012,W,PERS,100, ,OVERALL,"BASIC PERSIAN 1"," ",14,82.9,19.08,92,30,9,1,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,6
UBC,2012,W,PERS,101, ,001,"BASIC PERSIAN 2","Zolfi-Sistani, Fahimeh",5,87.2,2.77,90,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
UBC,2012,W,PERS,101, ,OVERALL,"BASIC PERSIAN 2"," ",5,87.2,2.77,90,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
UBC,2012,W,PERS,104, ,001,"PERS WRIT & READ","Zolfi-Sistani, Fahimeh",23,85.43,6.54,90,63,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,5,10
UBC,2012,W,PERS,104, ,OVERALL,"PERS WRIT & READ"," ",23,85.43,6.54,90,63,21,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,5,10
UBC,2012,W,PERS,200, ,002,"INT PERSIAN 1","Zolfi-Sistani, Fahimeh",6,82.4,2.3,85,79,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
UBC,2012,W,PERS,200, ,OVERALL,"INT PERSIAN 1"," ",6,82.4,2.3,85,79,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0
UBC,2012,W,PERS,201, ,002,"INT PERSIAN 2","Zolfi-Sistani, Fahimeh",5,79.2,11.86,90,60,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1
UBC,2012,W,PERS,201, ,OVERALL,"INT PERSIAN 2"," ",5,79.2,11.86,90,60,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1
UBC,2012,W,PERS,300, ,002,"ADV PERSIAN 1","Zolfi-Sistani, Fahimeh",11,89.2,2.44,93,85,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
UBC,2012,W,PERS,300, ,OVERALL,"ADV PERSIAN 1"," ",11,89.2,2.44,93,85,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
