Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,W,THTR,120, ,001,"INTRO TO THEATRE","Gardiner, Robert;Scholte, Tom;Wasserman, Jerry",115,73.1,12.29,90,31,100,6,2,1,6,0,0,0,3,3,6,3,3,7,10,10,13,14,24,15,1
UBC,2012,W,THTR,120, ,OVERALL,"INTRO TO THEATRE"," ",118,73.1,12.29,90,31,100,6,4,2,6,0,0,0,3,3,6,3,3,7,10,10,13,14,24,15,1
UBC,2012,W,THTR,205,A,001,"GRAPHICS: T&F D","Arnett, Tara",22,68.7,13.94,93,50,20,0,0,0,2,0,0,0,0,0,0,3,3,4,0,2,1,2,1,2,2
UBC,2012,W,THTR,205, ,OVERALL,"GRAPHICS: T&F D"," ",22,68.7,13.94,93,50,20,0,0,0,2,0,0,0,0,0,0,3,3,4,0,2,1,2,1,2,2
UBC,2012,W,THTR,205, ,OVERALL,"GRAPHICS: T&F D"," ",22,68.7,13.94,93,50,20,0,0,0,2,0,0,0,0,0,0,3,3,4,0,2,1,2,1,2,2
UBC,2012,W,THTR,210, ,001,"DRAMA IDEAS I","Liu, Siyuan",73,79.58,12.31,93,0,70,1,2,0,0,1,0,0,0,0,1,1,1,1,2,3,3,13,20,21,5
UBC,2012,W,THTR,210, ,OVERALL,"DRAMA IDEAS I"," ",75,79.58,12.31,93,0,70,1,4,0,0,1,0,0,0,0,1,1,1,1,2,3,3,13,20,21,5
UBC,2012,W,THTR,211, ,001,"DRAMA IDEAS II","Dawson, Anthony B",68,79.82,7.97,94,56,66,0,1,0,1,0,0,0,0,0,0,0,1,2,3,1,13,8,21,9,8
UBC,2012,W,THTR,211, ,OVERALL,"DRAMA IDEAS II"," ",69,79.82,7.97,94,56,66,0,2,0,1,0,0,0,0,0,0,0,1,2,3,1,13,8,21,9,8
UBC,2012,W,THTR,230, ,001,"PERF STUDY I","Ferens, Sandra",24,79.92,11.14,93,42,23,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,4,3,2,7,4
