Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2012,W,VISA,110, ,001,"FND COMP VIS ART","D'Onofrio, Christine",214,69.77,10.77,85,0,203,7,1,0,0,1,1,3,1,1,7,3,6,4,33,40,58,41,16,2,0
UBC,2012,W,VISA,110, ,002,"FND COMP VIS ART","D'Onofrio, Christine",168,70.94,14.32,87,0,149,10,3,1,0,3,0,2,1,4,10,1,5,5,6,30,33,37,22,10,0
UBC,2012,W,VISA,110, ,OVERALL,"FND COMP VIS ART"," ",386,70.27,12.42,87,0,352,17,7,2,0,4,1,5,2,5,17,4,11,9,39,70,91,78,38,12,0
UBC,2012,W,VISA,180, ,001,"INTRO STUDI ONE","Prince, Richard",118,69.23,10.53,85,12,104,3,3,0,0,0,1,1,1,0,3,3,7,8,10,23,28,11,13,1,0
UBC,2012,W,VISA,180, ,002,"INTRO STUDI ONE","Prince, Richard",45,69.14,13.19,83,0,41,1,2,0,0,1,0,0,0,0,1,2,2,3,3,5,16,5,5,0,0
UBC,2012,W,VISA,180, ,902,"INTRO STUDI ONE","Claxton, Dana",22,77.52,3.39,83,71,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,5,0,0
UBC,2012,W,VISA,180, ,OVERALL,"INTRO STUDI ONE"," ",190,70.24,10.98,85,0,166,4,10,0,0,1,1,1,1,0,4,5,9,11,13,29,50,25,23,1,0
UBC,2012,W,VISA,182, ,001,"STUDIO ONE","Prince, Richard",100,73.41,8.08,91,44,99,1,0,0,0,0,0,0,0,1,1,4,0,1,9,15,28,16,20,4,2
UBC,2012,W,VISA,182, ,002,"STUDIO ONE","Prince, Richard",40,66.55,22.46,85,0,33,5,1,0,0,2,1,2,0,0,5,0,0,1,3,4,9,6,9,1,0
UBC,2012,W,VISA,182, ,OVERALL,"STUDIO ONE"," ",141,71.52,13.89,91,0,132,6,2,0,0,2,1,2,0,1,6,4,0,2,12,19,37,22,29,5,2
UBC,2012,W,VISA,183, ,001,"STUDIO TWO","James, Gareth",54,74.35,8.7,87,51,51,0,1,0,1,0,0,0,0,0,0,3,0,2,4,8,10,5,14,5,0
UBC,2012,W,VISA,183, ,002,"STUDIO TWO","D'Onofrio, Christine",115,69.62,12.1,85,9,109,5,1,0,0,1,1,1,1,1,5,4,3,2,13,18,34,21,12,2,0
UBC,2012,W,VISA,183, ,OVERALL,"STUDIO TWO"," ",171,71.08,11.35,87,9,160,5,4,0,1,1,1,1,1,1,5,7,3,4,17,26,44,26,26,7,0
UBC,2012,W,VISA,210, ,001,"DIGITAL ARTS","Claxton, Dana",29,71.11,6.22,80,45,26,1,2,0,0,0,0,0,0,1,1,0,0,0,2,9,12,2,1,0,0
UBC,2012,W,VISA,210, ,002,"DIGITAL ARTS","Pina, Manuel",21,76.84,7.85,91,62,19,0,1,0,1,0,0,0,0,0,0,0,0,2,1,1,4,2,7,1,1
UBC,2012,W,VISA,210, ,OVERALL,"DIGITAL ARTS"," ",53,73.48,7.42,91,45,45,1,6,0,1,0,0,0,0,1,1,0,0,2,3,10,16,4,8,1,1
UBC,2012,W,VISA,220, ,001,"DRAWING","Roy, Marina",19,79.68,5.02,87,68,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,6,4,0
UBC,2012,W,VISA,220, ,002,"DRAWING","Zeigler, Barbara",15,79.87,4.44,87,74,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,3,0
UBC,2012,W,VISA,220, ,003,"DRAWING","McCrum, Phillip",18,75.76,7.15,85,62,17,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,2,3,6,2,0
UBC,2012,W,VISA,220, ,901,"DRAWING","Gu, Xiong",17,71.06,14.42,85,25,16,1,0,0,0,0,0,1,0,0,1,1,0,0,1,4,4,1,4,1,0
UBC,2012,W,VISA,220, ,OVERALL,"DRAWING"," ",69,76.59,9.26,87,25,67,1,1,0,0,0,0,1,0,0,1,1,0,1,3,6,12,14,20,10,0
UBC,2012,W,VISA,230, ,001,"PAINTING","Gu, Xiong",15,76.07,5.66,87,68,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,3,2,2,0
UBC,2012,W,VISA,230, ,002,"PAINTING","McCrum, Phillip",20,74.05,10.35,86,47,18,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,5,4,5,2,0
UBC,2012,W,VISA,230, ,003,"PAINTING","Gu, Xiong",8,78,7.63,88,65,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0
UBC,2012,W,VISA,230, ,901,"PAINTING","Roy, Marina",19,78.44,4.37,85,70,18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,4,6,2,0
UBC,2012,W,VISA,230, ,OVERALL,"PAINTING"," ",62,76.4,7.49,88,47,59,1,2,0,0,0,0,0,0,1,1,1,0,0,2,5,16,12,16,7,0
UBC,2012,W,VISA,240, ,001,"INTRO PHOTO","Hite, Joshua",18,76.06,7.81,88,50,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,6,3,2,0
UBC,2012,W,VISA,240, ,002,"INTRO PHOTO","Jones, Barrie",15,78.09,4.06,85,73,11,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,3,4,2,2,0
