Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,S,MICB,201, ,921,"INT ENV MICRBIOL","Sibley, Jennifer",71,70.49,9.63,91,39,66,1,4,0,0,0,0,0,1,0,1,0,6,10,9,9,13,7,7,3,2
UBC,2013,S,MICB,201, ,OVERALL,"INT ENV MICRBIOL"," ",71,70.49,9.63,91,39,66,1,4,0,0,0,0,0,1,0,1,0,6,10,9,9,13,7,7,3,2
UBC,2013,S,MICB,202, ,971,"MED MICB & IMMUN","Kion, Tracy",156,76.95,11.79,97,39,147,5,4,0,0,0,0,0,1,4,5,2,5,9,11,6,20,23,30,17,24
UBC,2013,S,MICB,202, ,OVERALL,"MED MICB & IMMUN"," ",156,76.95,11.79,97,39,147,5,4,0,0,0,0,0,1,4,5,2,5,9,11,6,20,23,30,17,24
UBC,2013,S,MICB,399, ,941,"COOP WRK PLCMT 2","",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,MICB,399, ,OVERALL,"COOP WRK PLCMT 2"," ",21,,,,,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,MICB,498, ,941,"COOP WRK PLCMT 3","",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,MICB,498, ,OVERALL,"COOP WRK PLCMT 3"," ",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,MICB,499, ,941,"COOP WRK PLCMT 4","",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,MICB,499, ,OVERALL,"COOP WRK PLCMT 4"," ",14,,,,,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,MICB,549, ,941,"M.SC. THESIS","",22,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,MICB,549, ,OVERALL,"M.SC. THESIS"," ",22,,,,,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,MICB,649, ,941,"DOC DISSERTATION","",64,,,,,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,S,MICB,649, ,OVERALL,"DOC DISSERTATION"," ",64,,,,,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
