Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,BOTA,501, ,001,"SEM IN BOTANY","Bradfield, Gary;Keeling, Naomi",14,84.86,4.15,93,80,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3
UBC,2013,W,BOTA,501, ,OVERALL,"SEM IN BOTANY"," ",14,84.86,4.15,93,80,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3
UBC,2013,W,BOTA,502, ,201,"THESIS SEMINAR","",12,,,,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,BOTA,502, ,OVERALL,"THESIS SEMINAR"," ",15,,,,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,BOTA,546, ,OVERALL,"TOPICS IN BOTANY"," ",9,90,5.41,98,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6
UBC,2013,W,BOTA,546,B,202,"TOPICS IN BOTANY","",4,87.5,4.8,92,81,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
UBC,2013,W,BOTA,546, ,OVERALL,"TOPICS IN BOTANY"," ",9,90,5.41,98,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6
UBC,2013,W,BOTA,546, ,OVERALL,"TOPICS IN BOTANY"," ",9,90,5.41,98,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6
UBC,2013,W,BOTA,546, ,OVERALL,"TOPICS IN BOTANY"," ",9,90,5.41,98,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6
UBC,2013,W,BOTA,546, ,OVERALL,"TOPICS IN BOTANY"," ",9,90,5.41,98,81,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6
UBC,2013,W,BOTA,549, ,001,"MASTERS THESIS","",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,BOTA,549, ,OVERALL,"MASTERS THESIS"," ",29,,,,,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,BOTA,649, ,001,"DOC DISSERTATION","",63,,,,,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,BOTA,649, ,201,"DOC DISSERTATION","",6,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,BOTA,649, ,OVERALL,"DOC DISSERTATION"," ",72,,,,,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
