Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,CEEN,501, ,001,"THERML ENRGY SYS","Mazzi, Eric",26,78.42,8.28,95,60,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,3,5,5,2
UBC,2013,W,CEEN,501, ,OVERALL,"THERML ENRGY SYS"," ",26,78.42,8.28,95,60,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8,3,5,5,2
UBC,2013,W,CEEN,502, ,002,"ALT ENERGY TECH","TBA",25,85.96,3.36,93,80,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,3
UBC,2013,W,CEEN,502, ,OVERALL,"ALT ENERGY TECH"," ",25,85.96,3.36,93,80,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,3
UBC,2013,W,CEEN,523, ,003,"ENERGY&ENVIRNMNT","Bi, Xiaotao",26,85.69,4.82,94,76,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,6
UBC,2013,W,CEEN,523, ,OVERALL,"ENERGY&ENVIRNMNT"," ",26,85.69,4.82,94,76,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,12,6
UBC,2013,W,CEEN,550, ,006,"ENRGY EFF & CONS","Mazzi, Eric",24,86.21,4.61,96,78,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,6
UBC,2013,W,CEEN,550, ,OVERALL,"ENRGY EFF & CONS"," ",24,86.21,4.61,96,78,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,9,6
UBC,2013,W,CEEN,590,A,007,"TPCS CLN ENERGY","Hoberg, George",23,81.91,5.5,92,74,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,5,2
UBC,2013,W,CEEN,590, ,OVERALL,"TPCS CLN ENERGY"," ",23,81.91,5.5,92,74,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,8,5,2
UBC,2013,W,CEEN,596, ,005,"PROJECT & REPORT","Mazzi, Eric",9,89.5,9.06,95,68,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6
UBC,2013,W,CEEN,596, ,305,"PROJECT & REPORT","Mazzi, Eric",16,94.27,3.37,99,86,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
UBC,2013,W,CEEN,596, ,OVERALL,"PROJECT & REPORT"," ",25,92.61,6.22,99,68,23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,20
UBC,2013,W,CEEN,597, ,004,"SEMINAR","Mazzi, Eric",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,CEEN,597, ,OVERALL,"SEMINAR"," ",23,,,,,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
