Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,CELL,501, ,001,"CLL&DEV BIO LIT","Allan, Douglas;Bamji, Shernaz;Loewen, Christopher",9,86.44,2.6,90,82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2
UBC,2013,W,CELL,501, ,OVERALL,"CLL&DEV BIO LIT"," ",9,86.44,2.6,90,82,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2
UBC,2013,W,CELL,502, ,001,"TPCS DEV BIOL","O'Connor, Timothy",5,87.2,2.86,91,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2013,W,CELL,502, ,OVERALL,"TPCS DEV BIOL"," ",5,87.2,2.86,91,84,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1
UBC,2013,W,CELL,503, ,001,"TPCS CELL COMM","Roskelley, Calvin",7,88.71,6.73,97,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
UBC,2013,W,CELL,503, ,OVERALL,"TPCS CELL COMM"," ",7,88.71,6.73,97,80,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4
UBC,2013,W,CELL,504, ,001,"TPC CYTOSK&CL MO","Vogl, A Wayne",7,86.57,5.19,93,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
UBC,2013,W,CELL,504, ,OVERALL,"TPC CYTOSK&CL MO"," ",7,86.57,5.19,93,82,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
UBC,2013,W,CELL,506, ,001,"FLUOR MICROSCPY","Haas, Kurt",10,92.67,3.28,96,88,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
UBC,2013,W,CELL,506, ,OVERALL,"FLUOR MICROSCPY"," ",10,92.67,3.28,96,88,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7
UBC,2013,W,CELL,507, ,001,"TECH CEL&DEV BIO","Underhill, Tully Michael",11,89.36,2.29,93,87,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
UBC,2013,W,CELL,507, ,OVERALL,"TECH CEL&DEV BIO"," ",11,89.36,2.29,93,87,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
UBC,2013,W,CELL,509, ,001,"CELL SYSTEM BIOL","Tanentzapf, Guy",9,87.78,1.92,92,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
UBC,2013,W,CELL,509, ,OVERALL,"CELL SYSTEM BIOL"," ",9,87.78,1.92,92,85,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1
UBC,2013,W,CELL,511, ,001,"MECH HMN DISEASE","Johnson, James",7,88,5.16,94,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
UBC,2013,W,CELL,511, ,OVERALL,"MECH HMN DISEASE"," ",7,88,5.16,94,81,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
UBC,2013,W,CELL,549, ,003,"M.SC. THESIS","",18,,,,,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,CELL,549, ,OVERALL,"M.SC. THESIS"," ",20,,,,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,CELL,649, ,001,"DOC DISSERTATION","",5,,,,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,CELL,649, ,003,"DOC DISSERTATION","",35,,,,,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBC,2013,W,CELL,649, ,OVERALL,"DOC DISSERTATION"," ",40,,,,,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
