Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,CIVL,200, ,99A,"ENG&SUSTAIN DEV","Nesbit, Susan",42,78.88,9.65,92,50,41,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,7,7,9,10,4
UBC,2013,W,CIVL,200, ,OVERALL,"ENG&SUSTAIN DEV"," ",42,78.88,9.65,92,50,41,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,7,7,9,10,4
UBC,2013,W,CIVL,201, ,101,"CIVL ENGINEER I","Berube, Pierre;Isaacson, Michael D;Johnson, Gregory",134,83.04,4.59,91,64,134,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,16,57,47,7
UBC,2013,W,CIVL,201, ,OVERALL,"CIVL ENGINEER I"," ",134,83.04,4.59,91,64,134,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,16,57,47,7
UBC,2013,W,CIVL,202, ,201,"CIVL ENGINEER II","Nesbit, Susan",134,79.96,8.98,95,40,133,1,0,0,0,0,0,0,0,1,1,1,4,1,6,5,20,8,39,41,8
UBC,2013,W,CIVL,202, ,OVERALL,"CIVL ENGINEER II"," ",134,79.96,8.98,95,40,133,1,0,0,0,0,0,0,0,1,1,1,4,1,6,5,20,8,39,41,8
UBC,2013,W,CIVL,210, ,201,"SOIL MECH I","Taiebat, Mahdi",132,74.36,16.16,98,0,124,7,0,0,1,1,0,2,3,1,7,3,3,9,14,6,18,11,23,17,20
UBC,2013,W,CIVL,210, ,202,"SOIL MECH I","Taiebat, Mahdi",133,73.22,12.09,99,30,126,3,2,0,2,0,0,0,3,0,3,2,6,11,13,14,25,15,15,11,14
UBC,2013,W,CIVL,210, ,OVERALL,"SOIL MECH I"," ",267,73.8,14.27,99,0,250,10,4,0,3,1,0,2,6,1,10,5,9,20,27,20,43,26,38,28,34
UBC,2013,W,CIVL,215, ,101,"FLUID MECH I","Lawrence, Gregory",139,72.12,13.76,100,0,135,4,0,0,0,1,1,0,0,2,4,2,12,14,16,16,21,17,14,6,17
UBC,2013,W,CIVL,215, ,201,"FLUID MECH I","Yonemitsu, Noboru",125,72.64,15.72,98,0,122,3,0,0,0,3,0,0,0,0,3,5,8,8,15,9,23,14,14,14,12
