Campus,Year,Session,Subject,Course,Detail,Section,Title,Professor,Enrolled,Avg,Std dev,High,Low,Pass,Fail,Withdrew,Audit,Other,0-9,"10-19",20-29,30-39,40-49,<50,50-54,55-59,60-63,64-67,68-71,72-75,76-79,80-84,85-89,90-100
UBC,2013,W,FNSP,100, ,OVERALL,"INDIGENOUS FDNS"," ",48,68.98,22.76,93,8,40,6,2,0,0,3,1,0,1,1,6,2,2,2,5,1,2,6,10,5,5
UBC,2013,W,FNSP,100,C,001,"INDIGENOUS FDNS","Gaertner, David;Justice, Daniel",47,68.44,22.72,93,8,39,6,2,0,0,3,1,0,1,1,6,2,2,2,5,1,2,6,10,5,4
UBC,2013,W,FNSP,100, ,OVERALL,"INDIGENOUS FDNS"," ",48,68.98,22.76,93,8,40,6,2,0,0,3,1,0,1,1,6,2,2,2,5,1,2,6,10,5,5
UBC,2013,W,FNSP,210, ,001,"POL & SELF-DTRMN","Coulthard, Glen",43,74.6,10.37,88,23,41,1,0,0,0,0,0,1,0,0,1,0,0,3,1,4,9,13,6,5,0
UBC,2013,W,FNSP,210, ,OVERALL,"POL & SELF-DTRMN"," ",43,74.6,10.37,88,23,41,1,0,0,0,0,0,1,0,0,1,0,0,3,1,4,9,13,6,5,0
UBC,2013,W,FNSP,220, ,001,"REP & CLTR POLTC","Coulthard, Glen",40,77.1,6.94,87,55,40,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,11,13,4,0
UBC,2013,W,FNSP,220, ,OVERALL,"REP & CLTR POLTC"," ",40,77.1,6.94,87,55,40,0,0,0,0,0,0,0,0,0,0,0,1,0,3,4,4,11,13,4,0
UBC,2013,W,FNSP,300, ,001,"WRIT FIRST NTNS","Lew, Janey",18,68.61,19.68,84,0,16,2,0,0,0,1,0,0,0,1,2,0,0,1,2,1,5,4,3,0,0
UBC,2013,W,FNSP,300, ,OVERALL,"WRIT FIRST NTNS"," ",18,68.61,19.68,84,0,16,2,0,0,0,1,0,0,0,1,2,0,0,1,2,1,5,4,3,0,0
UBC,2013,W,FNSP,310, ,001,"THEORY SEMINAR","Nason, Dorothy",15,79.53,6.44,90,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,6,2,1
UBC,2013,W,FNSP,310, ,OVERALL,"THEORY SEMINAR"," ",15,79.53,6.44,90,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,6,2,1
UBC,2013,W,FNSP,320, ,001,"METHODS SEMINAR","Nason, Dorothy",11,84.91,4.76,95,76,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,1
UBC,2013,W,FNSP,320, ,OVERALL,"METHODS SEMINAR"," ",11,84.91,4.76,95,76,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,1
UBC,2013,W,FNSP,400, ,001,"PRACTICM/ADV RES","Lightfoot, Sheryl",9,81.11,5.13,85,70,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,0
UBC,2013,W,FNSP,400, ,OVERALL,"PRACTICM/ADV RES"," ",9,81.11,5.13,85,70,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,4,0
UBC,2013,W,FNSP,401,A,101,"SPECIAL TOPICS","Coulthard, Glen",16,76.93,9.05,89,60,15,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,1,3,3,4,0
UBC,2013,W,FNSP,401, ,OVERALL,"SPECIAL TOPICS"," ",60,79.47,13.92,93,0,56,1,0,3,0,1,0,0,0,0,1,1,0,3,2,1,4,6,18,14,7
UBC,2013,W,FNSP,401,B,101,"SPECIAL TOPICS","Robinson, Dylan",14,84.46,11.24,93,50,13,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,5,5
UBC,2013,W,FNSP,401, ,OVERALL,"SPECIAL TOPICS"," ",60,79.47,13.92,93,0,56,1,0,3,0,1,0,0,0,0,1,1,0,3,2,1,4,6,18,14,7
UBC,2013,W,FNSP,401,D,101,"SPECIAL TOPICS","Nason, Dorothy",19,74,19.82,88,0,17,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,3,2,7,3,0
UBC,2013,W,FNSP,401, ,OVERALL,"SPECIAL TOPICS"," ",60,79.47,13.92,93,0,56,1,0,3,0,1,0,0,0,0,1,1,0,3,2,1,4,6,18,14,7
UBC,2013,W,FNSP,401,E,101,"SPECIAL TOPICS","",11,86,2.79,90,84,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2
UBC,2013,W,FNSP,401, ,OVERALL,"SPECIAL TOPICS"," ",60,79.47,13.92,93,0,56,1,0,3,0,1,0,0,0,0,1,1,0,3,2,1,4,6,18,14,7
UBC,2013,W,FNSP,433,A,001,"DIRECTED STUDY","Justice, Daniel",15,83.79,7.54,94,65,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,3,3
UBC,2013,W,FNSP,433, ,OVERALL,"DIRECTED STUDY"," ",16,83.87,7.27,94,65,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,4,3
UBC,2013,W,FNSP,433, ,OVERALL,"DIRECTED STUDY"," ",16,83.87,7.27,94,65,15,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,4,3
